PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HAX1_1Mwindow.wgt.RDat	HAX1	1	153745105	154748351	0.1335	rs9426830	  8.03	rs36106412	 8.21e-02	  6.14	 4.3483	346	1	top1	0.082	5.4e-20	 4.3483	1.37e-05
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ACADM_1Mwindow.wgt.RDat	ACADM	1	75690394	76729364	0.029	rs1953077	  3.31	rs1146603	 8.03e-03	 -4.95	-1.3651	477	1	top1	0.008	0.003	 1.3651	1.72e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.C1orf50_1Mwindow.wgt.RDat	C1orf50	1	42732920	43745162	0.034	rs841859	 -2.91	rs3738499	-1.60e-05	  4.16	-2.1595	409	409	blup	0.01	0.001	-2.5146	1.19e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HHLA3_1Mwindow.wgt.RDat	HHLA3	1	70320494	71333706	0.0336	rs17131372	  2.40	rs12140479	 5.48e-03	 -4.34	 0.0894	404	404	blup	0.01	0.00094	-0.0165	9.87e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CCDC18-AS1_1Mwindow.wgt.RDat	CCDC18-AS1	1	93275666	94311368	0.1886	rs575367	  2.55	rs1414367	 3.16e-01	-17.51	 0.9363	310	1	top1	0.32	5.4e-82	-0.9363	3.49e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SCAMP3_1Mwindow.wgt.RDat	SCAMP3	1	154725772	155732151	0.0369	rs35117735	 -3.29	rs11264352	 5.77e-02	  8.02	-2.4789	305	2	lasso	0.059	9.5e-15	-2.5772	9.96e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MMEL1_1Mwindow.wgt.RDat	MMEL1	1	2022078	3064455	0.0416	rs260512	  5.07	rs2843401	 2.07e-02	 -6.09	 1.5148	364	2	enet	0.034	3.9e-09	-2.1342	3.28e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FUBP1_1Mwindow.wgt.RDat	FUBP1	1	77909740	78944756	0.0675	rs4949662	 -3.44	rs17391694	 5.88e-02	 -6.92	-1.5406	340	1	top1	0.059	1.2e-14	 1.5406	1.23e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RPA2_1Mwindow.wgt.RDat	RPA2	1	27718035	28741308	0.0611	rs11247811	 -2.77	rs2236074	 3.72e-02	 -6.44	 1.9729	229	7	enet	0.039	3e-10	-1.6086	1.08e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GAS5_1Mwindow.wgt.RDat	GAS5	1	173333037	174338020	0.851	rs1418190	 -2.49	rs16846546	 1.25e-01	  6.62	 0.7564	261	10	enet	0.22	8.6e-54	-2.1119	3.47e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KCNAB2_1Mwindow.wgt.RDat	KCNAB2	1	5552736	6661240	0.1618	rs7521134	 -4.55	rs11120961	 1.24e-01	 10.65	-0.9709	515	9	enet	0.16	7.9e-40	-0.7962	4.26e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ACBD3_1Mwindow.wgt.RDat	ACBD3	1	225832380	226874442	0.0428	rs12039184	  4.16	rs2755093	 5.82e-03	 -5.07	-0.3876	424	424	blup	0.024	6.9e-07	 2.0033	4.51e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DAP3_1Mwindow.wgt.RDat	DAP3	1	155158882	156208801	0.0326	rs2842857	  3.44	rs10908481	 4.99e-02	 -7.46	-1.2460	239	1	top1	0.05	1.2e-12	 1.2460	2.13e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PPT1_1Mwindow.wgt.RDat	PPT1	1	40037133	41062924	0.0494	rs12037222	 -7.34	rs7524958	 1.17e-02	 -5.77	-0.3327	402	1	enet	0.03	3e-08	 0.3327	7.39e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.3158		    NA		       NA	    NA	     NA	0	0	lasso	0.25	6e-63	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KIF21B_1Mwindow.wgt.RDat	KIF21B	1	200438518	201492842	0.0269	rs12134525	  3.21	rs947485	-5.63e-05	  3.84	 0.2016	643	643	blup	0.0054	0.012	-0.4199	6.75e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FLVCR1-DT_1Mwindow.wgt.RDat	FLVCR1-DT	1	212529946	213531480	0.1032	rs12408694	 -3.95	rs1047881	 1.13e-01	-10.76	-1.4608	408	2	lasso	0.12	3.0999999999999997e-29	 1.4078	1.59e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RERE-AS1_1Mwindow.wgt.RDat	RERE-AS1	1	7984705	8995076	0.0159	rs10399665	  3.42	rs1466654	-9.83e-04	 -3.70	 2.2141	313	313	blup	0.0027	0.057	-2.1399	3.24e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TNFRSF4_1Mwindow.wgt.RDat	TNFRSF4	1	646720	1649533	0.0151	rs3766169	  3.34	rs7515488	 3.18e-02	 -5.63	 0.3371	144	1	top1	0.032	1.4e-08	-0.3371	7.36e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LPAR3_1Mwindow.wgt.RDat	LPAR3	1	84777285	85858889	0.0806	rs2911595	  3.57	rs7541524	 4.47e-02	  7.18	 1.7067	577	1	top1	0.045	1.8e-11	 1.7067	8.79e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.S100A10_1Mwindow.wgt.RDat	S100A10	1	151455391	152466335	0.0493	rs11204894	 -3.52	rs3007711	 2.73e-02	 -6.09	 0.3079	342	342	blup	0.032	1.6e-08	-0.7425	4.58e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ALDH9A1_1Mwindow.wgt.RDat	ALDH9A1	1	165131453	166167799	0.0807	rs505877	 -3.46	rs12408101	 4.04e-02	 -6.48	-1.3041	588	1	top1	0.04	1.6e-10	 1.3041	1.92e-01
