PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.PRDM16-DT_1Mwindow.wgt.RDat	PRDM16-DT	1	2476181	3484289	0.0543	rs2260976	 3.79	rs2493254	 2.54e-03	  5.02	-1.8630	328	  1	top1	0.0025	0.066	-1.8630	0.06246
gdT	RA_only/gdT_5pcs_all/gdT.UTS2_1Mwindow.wgt.RDat	UTS2	1	7407672	8413551	0.1189	rs845240	 2.57	rs226484	 8.67e-02	  9.35	 0.0310	441	  4	lasso	0.088	7.2e-21	-0.6597	0.50947
gdT	RA_only/gdT_5pcs_all/gdT.RAB3B_1Mwindow.wgt.RDat	RAB3B	1	51873628	52956372	0.0131	rs1417364	 3.56	rs17372640	 7.54e-05	  4.33	 0.3920	218	  1	top1	7.5e-05	0.3	 0.3920	0.69506
gdT	RA_only/gdT_5pcs_all/gdT.ADORA3_1Mwindow.wgt.RDat	ADORA3	1	111542051	112546255	0.0670	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.17	6.7e-40	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.NBPF11_1Mwindow.wgt.RDat	NBPF11	1	147074428	148124560	0.0267	rs7540419	 2.35	rs3766507	 2.54e-04	 -3.44	 0.1190	172	172	blup	0.0072	0.0052	-0.0920	0.92672
gdT	RA_only/gdT_5pcs_all/gdT.FCRL5_1Mwindow.wgt.RDat	FCRL5	1	156983167	158022305	0.0723	rs16839239	 3.39	rs16837989	 4.08e-03	  5.42	 0.7620	493	  1	top1	0.0041	0.028	 0.7620	0.44606
gdT	RA_only/gdT_5pcs_all/gdT.PADI6_1Mwindow.wgt.RDat	PADI6	1	17198691	18228195	0.0554	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.072	3.2e-17	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.TMEM54_1Mwindow.wgt.RDat	TMEM54	1	32860196	33866990	0.0273	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.011	0.00093	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.EPHX1_1Mwindow.wgt.RDat	EPHX1	1	225497826	226533264	0.0532	rs3795443	 4.62	rs12036489	-1.03e-03	  3.61	 1.0060	403	403	blup	0.0065	0.0076	 1.7570	0.07892
gdT	RA_only/gdT_5pcs_all/gdT.XCL1_1Mwindow.wgt.RDat	XCL1	1	168045843	169051307	0.1270	rs10919036	-3.96	rs1323533	 1.07e-01	 10.29	 1.2140	529	  3	lasso	0.11	2.3e-26	 1.5076	0.13165
gdT	RA_only/gdT_5pcs_all/gdT.SMPDL3B_1Mwindow.wgt.RDat	SMPDL3B	1	27761511	28785663	0.1326	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.1	2.1e-24	     NA	     NA
