PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.DNLZ_1Mwindow.wgt.RDat	DNLZ	9	138753935	139758196	0.0352	rs945385	 4.16	rs11145958	-0.000144	  4.06	 1.353	298	298	blup	0.0041	0.026	 1.9166	0.055294
B_naive	RA_only/B_naive_5pcs_all/B_naive.ENDOG_1Mwindow.wgt.RDat	ENDOG	9	131080779	132084955	0.0368	rs13289095	-4.07	rs2997922	 0.007888	 -4.33	-0.504	277	277	blup	0.012	0.00046	 0.0822	0.934511
B_naive	RA_only/B_naive_5pcs_all/B_naive.RAB14_1Mwindow.wgt.RDat	RAB14	9	123440411	124464147	0.0253	rs3761847	-4.99	rs12551209	 0.003326	  3.49	 1.452	415	415	blup	0.0078	0.0035	 0.8690	0.384852
B_naive	RA_only/B_naive_5pcs_all/B_naive.HACD4_1Mwindow.wgt.RDat	HACD4	9	20499508	21531639	0.0820	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.07	4.9e-17	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS6_1Mwindow.wgt.RDat	RPS6	9	18875713	19880234	0.0341	rs17810415	-3.24	rs10119465	-0.000840	 -3.92	-1.130	529	529	blup	0.007	0.0052	 0.4009	0.688471
B_naive	RA_only/B_naive_5pcs_all/B_naive.CDK20_1Mwindow.wgt.RDat	CDK20	9	90081356	91089448	0.0738	rs7863242	 4.58	rs12346877	 0.002706	  3.68	 1.207	474	  1	top1	0.0027	0.058	 1.2071	0.227394
B_naive	RA_only/B_naive_5pcs_all/B_naive.CEMIP2_1Mwindow.wgt.RDat	CEMIP2	9	73798282	74883429	0.0492	rs13293927	 3.54	rs25688	 0.033472	  6.11	 0.977	441	  1	top1	0.033	6.3e-09	 0.9773	0.328421
B_naive	RA_only/B_naive_5pcs_all/B_naive.FUT7_1Mwindow.wgt.RDat	FUT7	9	139424626	140426540	0.0268	rs7040705	 5.18	rs7047770	 0.027942	  5.72	 3.843	270	  1	top1	0.028	1.1e-07	 3.8427	0.000122
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC01242_1Mwindow.wgt.RDat	LINC01242	9	29888933	30908452	0.3041	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.034	4.2e-09	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.OSTF1_1Mwindow.wgt.RDat	OSTF1	9	77203430	78262181	0.0505	rs2273764	-3.27	rs2273770	 0.023147	 -5.68	 3.049	468	  1	top1	0.023	1.2e-06	-3.0494	0.002293
B_naive	RA_only/B_naive_5pcs_all/B_naive.OMD_1Mwindow.wgt.RDat	OMD	9	94674662	95686753	0.0176	rs7855203	 4.42	rs4744122	 0.002316	  4.84	-0.971	377	  2	enet	0.0066	0.0067	-1.0064	0.314233
B_naive	RA_only/B_naive_5pcs_all/B_naive.SHC3_1Mwindow.wgt.RDat	SHC3	9	91120686	92293733	0.0274	rs1156619	21.57	rs7853231	 0.002626	  4.80	 0.616	487	487	blup	0.007	0.0054	-2.4338	0.014943
B_naive	RA_only/B_naive_5pcs_all/B_naive.CTNNAL1_1Mwindow.wgt.RDat	CTNNAL1	9	111204857	112275779	0.1122	rs7857400	 4.04	rs1140064	 0.081561	  9.08	-0.661	634	  1	top1	0.082	9.1e-20	-0.6614	0.508356
B_naive	RA_only/B_naive_5pcs_all/B_naive.SEC61B_1Mwindow.wgt.RDat	SEC61B	9	101484564	102492897	0.0392	rs11794164	 3.65	rs12336513	 0.020210	 -5.66	-1.259	366	  1	top1	0.02	5.6e-06	 1.2593	0.207922
B_naive	RA_only/B_naive_5pcs_all/B_naive.SNHG7_1Mwindow.wgt.RDat	SNHG7	9	139119046	140122636	0.1269	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.066	3.8e-16	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.PMPCA_1Mwindow.wgt.RDat	PMPCA	9	138805110	139818213	0.0375	rs10781522	 4.73	rs3829112	 0.012103	  4.48	-0.913	304	  1	top1	0.012	0.00036	-0.9135	0.360980
B_naive	RA_only/B_naive_5pcs_all/B_naive.B4GALT1_1Mwindow.wgt.RDat	B4GALT1	9	32604075	33667334	0.0492	rs10971632	 4.97	rs1411609	 0.003092	 -4.57	-0.169	479	479	blup	0.016	4.4e-05	-0.0210	0.983277
B_naive	RA_only/B_naive_5pcs_all/B_naive.TEX48_1Mwindow.wgt.RDat	TEX48	9	116928714	117944472	0.0693	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	-0.00081	0.64	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ALDH1B1_1Mwindow.wgt.RDat	ALDH1B1	9	37892699	38898658	0.0362	rs10118655	-5.94	rs10511950	 0.001536	  3.33	-0.387	422	422	blup	0.0028	0.056	 0.7769	0.437243
B_naive	RA_only/B_naive_5pcs_all/B_naive.NDUFB6_1Mwindow.wgt.RDat	NDUFB6	9	32052999	33073157	0.0346	rs439005	-3.94	rs12551778	 0.005190	 -4.60	 0.319	508	  1	top1	0.0052	0.014	-0.3192	0.749575
