PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ACER1_1Mwindow.wgt.RDat	ACER1	19	5806153	6833623	0.0379	rs731773	 2.88	rs8108134	-8.94e-04	  3.34	-0.308	368	368	blup	0.0054	0.015	-1.4851	0.13751
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SCGB1B2P_1Mwindow.wgt.RDat	SCGB1B2P	19	34567634	35668064	0.0764	rs7251988	-3.66	rs2545992	 2.22e-02	  6.43	 1.511	362	  1	top1	0.022	3.5e-06	 1.5110	0.13079
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GNA11_1Mwindow.wgt.RDat	GNA11	19	2594360	3623997	0.0799	rs12610898	 2.75	rs10402738	-1.07e-03	  6.12	-0.691	309	  1	top1	-0.0011	0.87	-0.6910	0.48957
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.KLC3_1Mwindow.wgt.RDat	KLC3	19	45344008	46354777	0.0622	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.14	3.7e-32	     NA	     NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PRR22_1Mwindow.wgt.RDat	PRR22	19	5282971	6284757	0.0339	rs731773	 2.88	rs16993437	 3.55e-04	  4.99	 0.549	357	357	blup	0.014	0.00016	-0.3005	0.76377
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.APOC2_1Mwindow.wgt.RDat	APOC2	19	44949308	45952822	0.0379	rs3852861	-2.46	rs3760627	 1.84e-02	 -4.85	-1.518	389	  1	top1	0.018	2.3e-05	 1.5180	0.12901
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RGL3_1Mwindow.wgt.RDat	RGL3	19	11004736	12029990	0.0913	rs2075022	-2.72	rs11879596	-1.06e-03	  5.73	 0.883	363	  1	lasso	0.12	5e-28	 0.8830	0.37724
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TMEM86B_1Mwindow.wgt.RDat	TMEM86B	19	55238006	56240131	0.0440	NA	   NA	NA	       NA	    NA	    NA	398	  0	lasso	0.017	4e-05	     NA	     NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.POLRMT_1Mwindow.wgt.RDat	POLRMT	19	117221	1133537	0.0749	rs11666069	 3.15	rs12610384	-2.14e-04	  3.27	 0.166	374	374	blup	0.02	1.2e-05	-0.0365	0.97089
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SAMD1_1Mwindow.wgt.RDat	SAMD1	19	13698663	14701563	0.0543	rs10413657	-2.39	rs8113679	 4.31e-03	  3.60	-0.064	202	  1	top1	0.0043	0.026	-0.0640	0.94897
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ZNF763_1Mwindow.wgt.RDat	ZNF763	19	11575855	12591432	0.0272	rs7248526	 3.13	rs8105452	-9.03e-04	  3.65	-0.055	268	268	blup	0.00073	0.2	-0.4387	0.66090
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.EIF3G_1Mwindow.wgt.RDat	EIF3G	19	9725690	10730575	0.0679	rs10409478	-2.96	rs12460842	 2.76e-02	 -5.70	-1.091	344	  1	top1	0.028	2.6e-07	 1.0910	0.27527
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RPS11_1Mwindow.wgt.RDat	RPS11	19	49499691	50502965	0.0375	rs1559155	-3.07	rs739349	-1.08e-03	 -4.03	-0.909	342	342	blup	0.011	0.00069	-0.3855	0.69988
