PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SIRPB1_1Mwindow.wgt.RDat	SIRPB1	20	1042031	2100655	0.0983	rs6033554	-4.32	rs2253427	 0.106540	  9.87	-0.304	616	  1	top1	0.11	4.4e-24	-0.3041	7.61e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CPNE1_1Mwindow.wgt.RDat	CPNE1	20	33713966	34752822	0.0229	rs2425024	 7.84	rs11167280	 0.021636	 -5.61	 4.141	312	  1	top1	0.022	5.4e-06	-4.1411	3.46e-05
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FNDC11_1Mwindow.wgt.RDat	FNDC11	20	61684373	62688061	0.0835	rs817329	-5.34	rs4809244	-0.001042	  4.67	-2.797	403	  1	top1	-0.001	0.8	-2.7966	5.16e-03
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RRBP1_1Mwindow.wgt.RDat	RRBP1	20	17094324	18162887	0.0402	rs2296902	-6.26	rs6131987	-0.000174	 -3.82	-3.569	652	652	blup	0.014	0.00026	 3.6291	2.84e-04
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SNHG17_1Mwindow.wgt.RDat	SNHG17	20	36549235	37564020	0.0820	rs6069875	-4.00	rs788350	 0.065846	  8.11	 0.907	462	  1	top1	0.066	2.9e-15	 0.9072	3.64e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ABHD16B_1Mwindow.wgt.RDat	ABHD16B	20	61992851	62994341	0.0924	rs8121509	-6.26	rs817322	-0.001055	  6.85	-1.317	374	  1	top1	-0.0011	0.82	-1.3175	1.88e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CST3_1Mwindow.wgt.RDat	CST3	20	23107343	24118592	0.1346	rs8122922	-4.33	rs13037490	 0.128103	-11.56	 1.294	528	  6	enet	0.13	2.6e-29	-0.6070	5.44e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PPP1R16B_1Mwindow.wgt.RDat	PPP1R16B	20	36934340	38051667	0.0630	rs6069875	-4.00	rs6124088	 0.023312	 -5.71	 1.132	476	476	blup	0.037	3.8e-09	 0.0898	9.28e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CHMP4B_1Mwindow.wgt.RDat	CHMP4B	20	31899154	32942172	0.0235	rs4012234	-8.48	rs291700	 0.012752	  3.96	 0.566	238	  1	top1	0.013	0.00039	 0.5656	5.72e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MGME1_1Mwindow.wgt.RDat	MGME1	20	17449661	18471765	0.0308	rs2296902	-6.26	rs6105860	 0.031792	 -4.39	 1.007	564	  1	top1	0.032	4.1e-08	-1.0068	3.14e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TM9SF4_1Mwindow.wgt.RDat	TM9SF4	20	30197517	31255059	0.0135	rs6058753	-4.24	rs293566	 0.000631	  3.76	 0.293	277	277	blup	0.0048	0.021	-0.0270	9.78e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.BIRC7_1Mwindow.wgt.RDat	BIRC7	20	61367257	62371847	0.2746	rs2427530	 4.01	rs6011691	 0.311657	 16.79	-0.538	449	  1	top1	0.31	2.5e-75	-0.5380	5.91e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SULF2_1Mwindow.wgt.RDat	SULF2	20	45786150	46915371	0.0974	rs910187	 4.76	rs6125084	 0.035465	 -6.02	 1.054	557	  3	enet	0.085	2.6e-19	 0.2063	8.37e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TNFRSF6B_1Mwindow.wgt.RDat	TNFRSF6B	20	61828005	62830037	0.0197	rs8121509	-6.26	rs6011040	 0.001704	  4.64	 1.201	378	378	blup	0.0064	0.0092	-0.1505	8.80e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CCN5_1Mwindow.wgt.RDat	CCN5	20	42843502	43856452	0.0479	rs6031601	 9.92	rs244079	-0.001062	  4.43	 0.389	393	393	blup	-8e-04	0.6	 1.1611	2.46e-01
