PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.SNRPD2_1Mwindow.wgt.RDat	SNRPD2	19	45690712	46695574	0.0519	rs34255979	 5.31	rs36040835	 3.32e-02	 -5.51	 1.1680	350	  1	top1	0.033	6.5e-09	-1.1680	0.24281
NK	RA_only/NK_5pcs_all/NK.CAPN12_1Mwindow.wgt.RDat	CAPN12	19	38720832	39735114	0.1020	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.11	9.5e-26	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.ZNF781_1Mwindow.wgt.RDat	ZNF781	19	37658652	38683216	0.0259	rs12982333	-3.61	rs17306900	 2.76e-02	 -5.55	 1.9300	247	  1	top1	0.028	1.2e-07	-1.9300	0.05361
NK	RA_only/NK_5pcs_all/NK.NIBAN3_1Mwindow.wgt.RDat	NIBAN3	19	17134110	18164652	0.0361	rs17533945	-7.66	rs1078000	-9.36e-04	 -3.20	-0.9445	382	382	blup	0.004	0.027	 1.9454	0.05172
NK	RA_only/NK_5pcs_all/NK.ETHE1_1Mwindow.wgt.RDat	ETHE1	19	43510871	44531353	0.0288	rs347518	-2.86	rs349039	 4.65e-03	 -4.04	 1.1922	316	316	blup	0.0091	0.0017	 0.4613	0.64461
NK	RA_only/NK_5pcs_all/NK.C5AR1_1Mwindow.wgt.RDat	C5AR1	19	47313118	48325323	0.0287	rs4804044	 3.65	rs4802376	-3.51e-04	  3.55	 2.0715	239	239	blup	0.0026	0.061	 0.8613	0.38905
NK	RA_only/NK_5pcs_all/NK.EIF3K_1Mwindow.wgt.RDat	EIF3K	19	38609828	39627594	0.0325	rs973009	-3.59	rs2232997	 8.00e-03	  5.02	-2.7585	404	404	blup	0.0096	0.0013	-1.1997	0.23026
NK	RA_only/NK_5pcs_all/NK.ZNF302_1Mwindow.wgt.RDat	ZNF302	19	34668583	35677301	0.0249	rs1672990	-3.42	rs8106017	 1.97e-02	  5.32	 0.1613	327	  1	top1	0.02	6.7e-06	 0.1613	0.87186
NK	RA_only/NK_5pcs_all/NK.PPP5C_1Mwindow.wgt.RDat	PPP5C	19	46350344	47394232	0.0874	rs34255979	 5.31	rs4802307	 8.60e-02	 -9.48	 2.1643	389	  1	enet	0.089	1.2e-21	-2.1643	0.03044
NK	RA_only/NK_5pcs_all/NK.ZNF85_1Mwindow.wgt.RDat	ZNF85	19	20606057	21633503	0.0823	rs33935	 3.47	rs11669114	 1.50e-01	 12.19	 0.1215	233	  1	top1	0.15	3.5e-36	 0.1215	0.90330
NK	RA_only/NK_5pcs_all/NK.ACTN4_1Mwindow.wgt.RDat	ACTN4	19	38638289	39722229	0.0488	rs973009	-3.59	rs2287728	 1.38e-02	 -5.52	-3.4916	417	417	blup	0.018	1.9e-05	 2.6941	0.00706
NK	RA_only/NK_5pcs_all/NK.NLRP2_1Mwindow.wgt.RDat	NLRP2	19	54976652	56012506	0.0843	rs3745920	 4.47	rs269913	 4.19e-02	  6.85	-0.8717	452	  3	lasso	0.046	1.1e-11	-0.9433	0.34551
NK	RA_only/NK_5pcs_all/NK.ZNF544_1Mwindow.wgt.RDat	ZNF544	19	58240280	59288821	0.0418	rs11670864	-5.11	rs260473	 1.11e-02	  4.75	 1.8594	342	  1	top1	0.011	6e-04	 1.8594	0.06297
NK	RA_only/NK_5pcs_all/NK.FOXA3_1Mwindow.wgt.RDat	FOXA3	19	45867584	46877055	0.0407	rs34255979	 5.31	rs12151009	-8.41e-04	  5.36	 2.6772	375	375	blup	0.0036	0.034	 2.2178	0.02657
NK	RA_only/NK_5pcs_all/NK.TYROBP_1Mwindow.wgt.RDat	TYROBP	19	35895305	36899197	0.1014	rs13345681	-3.05	rs7260613	 1.13e-01	-11.02	-0.4962	336	  1	top1	0.11	3e-27	 0.4962	0.61975
NK	RA_only/NK_5pcs_all/NK.CFD_1Mwindow.wgt.RDat	CFD	19	359664	1363641	0.1269	rs10411991	-3.64	rs13090	 7.77e-02	  9.25	-1.1714	378	  2	enet	0.087	3.8e-21	-1.1620	0.24523
NK	RA_only/NK_5pcs_all/NK.RPL36_1Mwindow.wgt.RDat	RPL36	19	5190306	6191886	0.0696	rs4807045	-3.17	rs4807046	 3.94e-02	 -6.31	-2.9927	364	  1	top1	0.039	2.8e-10	 2.9927	0.00277
NK	RA_only/NK_5pcs_all/NK.ZNF584_1Mwindow.wgt.RDat	ZNF584	19	58420016	59429694	0.0439	rs11670864	-5.11	rs11084543	 4.26e-03	 -4.84	-3.2801	286	  3	enet	0.023	1.1e-06	 1.8111	0.07013
NK	RA_only/NK_5pcs_all/NK.ZNF586_1Mwindow.wgt.RDat	ZNF586	19	57781044	58791984	0.0344	rs6510128	-3.81	rs9304805	-1.03e-03	  3.46	 1.3726	472	472	blup	0.0043	0.024	 0.4516	0.65153
NK	RA_only/NK_5pcs_all/NK.MRPL54_1Mwindow.wgt.RDat	MRPL54	19	3262680	4267563	0.0405	rs740568	-3.67	rs12459781	 4.74e-03	 -4.64	 1.4505	265	265	blup	0.0069	0.0055	-0.9344	0.35008
NK	RA_only/NK_5pcs_all/NK.ADGRE3_1Mwindow.wgt.RDat	ADGRE3	19	14229929	15285656	0.0324	rs12327828	-2.44	rs10420894	 2.24e-02	  4.09	-0.6853	430	  1	top1	0.022	1.7e-06	-0.6853	0.49315
NK	RA_only/NK_5pcs_all/NK.ZNF676_1Mwindow.wgt.RDat	ZNF676	19	21861891	22879753	0.0320	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.0026	0.06	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.PRKCSH_1Mwindow.wgt.RDat	PRKCSH	19	11046456	12061783	0.0312	rs6511720	 6.47	rs2291516	-1.03e-03	 -3.59	-0.7275	352	352	blup	-0.00054	0.49	-0.7602	0.44714
NK	RA_only/NK_5pcs_all/NK.ZNF155_1Mwindow.wgt.RDat	ZNF155	19	43988340	45002478	0.0471	rs1594895	 4.52	rs400591	 3.68e-03	 -4.76	-0.4683	462	462	blup	0.02	5e-06	-1.5243	0.12744
NK	RA_only/NK_5pcs_all/NK.RPS16_1Mwindow.wgt.RDat	RPS16	19	39423777	40426589	0.0419	rs16973285	-2.04	rs11881477	 3.57e-02	  6.67	 0.3426	430	  1	top1	0.036	1.8e-09	 0.3426	0.73190
NK	RA_only/NK_5pcs_all/NK.COX6B1_1Mwindow.wgt.RDat	COX6B1	19	35639225	36649684	0.0272	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.016	4e-05	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.CALR_1Mwindow.wgt.RDat	CALR	19	12549423	13555303	0.0322	rs11670895	 3.76	rs8110787	 7.55e-03	 -4.57	 0.0636	302	  2	enet	0.017	3.5e-05	-1.1010	0.27092
NK	RA_only/NK_5pcs_all/NK.MYO1F_1Mwindow.wgt.RDat	MYO1F	19	8085662	9142326	0.0482	rs2918316	-3.30	rs4804311	 8.58e-02	  9.31	-0.0006	411	  1	top1	0.086	7.6e-21	-0.0006	0.99952
NK	RA_only/NK_5pcs_all/NK.EIF3G_1Mwindow.wgt.RDat	EIF3G	19	9725690	10730575	0.3293	rs2304256	-3.78	rs1551570	 2.87e-01	-16.77	 2.1299	344	  8	enet	0.32	2.3e-82	-1.9967	0.04585
NK	RA_only/NK_5pcs_all/NK.NUCB1-AS1_1Mwindow.wgt.RDat	NUCB1-AS1	19	48914187	49922148	0.0587	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.00013	0.29	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.ZNF100_1Mwindow.wgt.RDat	ZNF100	19	21405573	22450381	0.0950	rs2435005	 2.40	rs6511286	 5.43e-02	  7.93	-0.3499	293	  1	lasso	0.058	1.7e-14	-0.3499	0.72641
NK	RA_only/NK_5pcs_all/NK.ZNF416_1Mwindow.wgt.RDat	ZNF416	19	57582934	58590279	0.0307	rs10416425	-2.93	rs7249794	 8.79e-04	  3.27	 0.6569	469	  1	lasso	0.0098	0.0012	 0.6569	0.51125
NK	RA_only/NK_5pcs_all/NK.ZNF600_1Mwindow.wgt.RDat	ZNF600	19	52767417	53790044	0.1904	rs6509631	 3.57	rs10404486	 8.66e-02	 -9.23	-1.7879	419	  6	enet	0.16	1e-38	 0.9976	0.31848
NK	RA_only/NK_5pcs_all/NK.RNF126_1Mwindow.wgt.RDat	RNF126	19	147526	1163214	0.0455	rs10411991	-3.64	rs12610594	-9.81e-04	 -2.99	 1.4064	376	376	blup	-0.00011	0.34	 0.8548	0.39269
NK	RA_only/NK_5pcs_all/NK.RPL28_1Mwindow.wgt.RDat	RPL28	19	55397300	56414710	0.4346	rs3745920	 4.47	rs17700376	 4.16e-01	-20.08	 0.2779	504	  1	top1	0.42	3.8e-115	-0.2779	0.78109
NK	RA_only/NK_5pcs_all/NK.C19orf84_1Mwindow.wgt.RDat	C19orf84	19	51391543	52393845	0.0452	rs3865444	 4.57	rs8111906	 4.18e-04	  4.77	-0.2685	581	581	blup	0.011	0.00081	-0.2662	0.79008
NK	RA_only/NK_5pcs_all/NK.ZNF44_1Mwindow.wgt.RDat	ZNF44	19	11882623	12905698	0.0333	rs983149	-3.60	rs7256140	 1.92e-02	 -5.01	 1.4814	233	  1	top1	0.019	8.9e-06	-1.4814	0.13850
NK	RA_only/NK_5pcs_all/NK.GIPC1_1Mwindow.wgt.RDat	GIPC1	19	14088574	15106939	0.0728	rs12327828	-2.44	rs10418939	 3.94e-02	 -6.29	-1.0375	340	  1	top1	0.039	2.7e-10	 1.0375	0.29950
NK	RA_only/NK_5pcs_all/NK.MED16_1Mwindow.wgt.RDat	MED16	19	367963	1393187	0.0992	rs10411991	-3.64	rs1651895	 8.28e-02	  9.27	-1.0663	389	  1	top1	0.083	3.7e-20	-1.0663	0.28629
NK	RA_only/NK_5pcs_all/NK.PRDX2_1Mwindow.wgt.RDat	PRDX2	19	12407637	13412614	0.1144	rs11670895	 3.76	rs8100505	 6.61e-02	  5.46	 3.2253	279	  1	top1	0.066	2.6e-16	 3.2253	0.00126
NK	RA_only/NK_5pcs_all/NK.FXYD5_1Mwindow.wgt.RDat	FXYD5	19	35145638	36160784	0.0576	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.024	7.2e-07	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.CNN2_1Mwindow.wgt.RDat	CNN2	19	526607	1539064	0.0511	rs10411991	-3.64	rs4807440	 3.42e-02	  5.40	 0.0204	380	  1	lasso	0.039	4.2e-10	 0.0204	0.98372
NK	RA_only/NK_5pcs_all/NK.RPS11_1Mwindow.wgt.RDat	RPS11	19	49499691	50502965	0.0229	rs2335534	-3.73	rs739349	 1.07e-04	 -4.39	-1.8620	342	342	blup	0.0043	0.023	 1.6889	0.09123
NK	RA_only/NK_5pcs_all/NK.ZNF667-AS1_1Mwindow.wgt.RDat	ZNF667-AS1	19	56489243	57506806	0.0354	rs8107062	-3.71	rs9749084	 2.37e-02	  6.07	 0.8716	447	  2	enet	0.032	1.3e-08	 1.3495	0.17719
NK	RA_only/NK_5pcs_all/NK.COL5A3_1Mwindow.wgt.RDat	COL5A3	19	9570237	10621180	0.2919	rs2304256	-3.78	rs4804478	 1.92e-01	 13.89	 0.2883	306	  1	lasso	0.19	1.4e-47	 0.1045	0.91677
NK	RA_only/NK_5pcs_all/NK.FCGBP_1Mwindow.wgt.RDat	FCGBP	19	39853963	40940533	0.1084	rs2304185	 2.81	rs10853730	 2.62e-02	  6.74	-0.0715	426	  3	lasso	0.045	1.5e-11	-1.4432	0.14896
NK	RA_only/NK_5pcs_all/NK.MAST3_1Mwindow.wgt.RDat	MAST3	19	17708588	18762497	0.0473	rs12459566	-3.33	rs1566029	 4.51e-02	  7.07	 0.0258	381	  1	top1	0.045	1.4e-11	 0.0258	0.97942
NK	RA_only/NK_5pcs_all/NK.AP2A1_1Mwindow.wgt.RDat	AP2A1	19	49770258	50810371	0.0416	rs2335534	-3.73	rs4802619	 1.04e-02	 -5.11	 1.9776	339	  2	lasso	0.015	8.7e-05	-1.7142	0.08649
NK	RA_only/NK_5pcs_all/NK.PRSS57_1Mwindow.wgt.RDat	PRSS57	19	185546	1195452	0.2075	rs10411991	-3.64	rs8108922	 1.46e-01	-12.40	-2.0495	383	  1	enet	0.17	3.7e-41	 2.0495	0.04041
NK	RA_only/NK_5pcs_all/NK.ZNF677_1Mwindow.wgt.RDat	ZNF677	19	53238634	54258126	0.0346	rs7249213	 3.45	rs4803071	-3.46e-04	  4.35	 0.9844	402	402	blup	0.012	0.00045	 0.9757	0.32924
