PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RPL12_1Mwindow.wgt.RDat	RPL12	9	129709953	130713685	0.0474	rs1537034	 2.93	rs3824414	 0.044990	-6.93	 0.674	348	  1	top1	0.045	7.2e-11	-0.674	0.500
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LCN12_1Mwindow.wgt.RDat	LCN12	9	139346725	140349949	0.1761	rs3812605	-3.80	rs1142749	 0.001036	 3.82	 0.204	291	  1	top1	0.001	0.16	 0.204	0.838
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GSN_1Mwindow.wgt.RDat	GSN	9	123463761	124595120	0.0827	rs2196311	 3.27	rs4837820	 0.050365	 7.26	-0.346	441	  1	top1	0.05	5.4e-12	-0.346	0.729
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NMRK1_1Mwindow.wgt.RDat	NMRK1	9	77175493	78203071	0.0543	rs11144039	-2.40	rs2376398	 0.020746	 4.57	 0.812	441	  1	top1	0.021	8.3e-06	 0.812	0.417
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FAM166B_1Mwindow.wgt.RDat	FAM166B	9	35061828	36063875	0.0346	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.097	5.5e-22	    NA	   NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LINC01502_1Mwindow.wgt.RDat	LINC01502	9	137966771	138978958	0.0887	rs480422	-2.89	rs2297570	-0.000947	 5.72	 0.745	492	  1	top1	-0.00095	0.7	 0.744	0.457
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NUDT2_1Mwindow.wgt.RDat	NUDT2	9	33829567	34843697	0.1156	rs12001113	-4.02	rs10972032	 0.050701	 7.57	 0.853	345	345	blup	0.057	1.8e-13	-0.836	0.403
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FCN1_1Mwindow.wgt.RDat	FCN1	9	137295078	138309758	0.0528	rs7025292	-2.34	rs10858300	 0.017877	 5.90	 0.285	604	  1	enet	0.03	8e-08	 0.175	0.861
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ANXA1_1Mwindow.wgt.RDat	ANXA1	9	75266781	76285309	0.0286	rs4400456	-1.96	rs7867580	 0.021635	-5.27	-1.226	367	  1	top1	0.022	5.4e-06	 1.226	0.220
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ZDHHC21_1Mwindow.wgt.RDat	ZDHHC21	9	14111069	15193430	0.0367	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.018	2.6e-05	    NA	   NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ZBTB26_1Mwindow.wgt.RDat	ZBTB26	9	125177845	126193791	0.0229	rs10985822	-3.54	rs2302590	 0.013370	 4.10	-0.323	374	  1	top1	0.013	0.00029	-0.323	0.747
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GFI1B_1Mwindow.wgt.RDat	GFI1B	9	135320918	136367074	0.1721	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.14	1e-30	    NA	   NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CENPP_1Mwindow.wgt.RDat	CENPP	9	94587750	95882811	0.0342	rs2131919	 3.15	rs10992308	 0.008122	 4.70	-0.641	508	508	blup	0.0093	0.0021	-0.421	0.674
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PRSS3_1Mwindow.wgt.RDat	PRSS3	9	33250677	34299229	0.0417	rs10814031	-3.26	rs16933401	 0.035861	 6.79	-0.807	309	  1	top1	0.036	5.8e-09	-0.807	0.420
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RALGPS1_1Mwindow.wgt.RDat	RALGPS1	9	129177061	130485445	0.0288	rs10987417	 4.05	rs7859816	 0.002563	 4.54	 1.027	481	481	blup	0.013	0.00028	 0.487	0.626
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NOXA1_1Mwindow.wgt.RDat	NOXA1	9	139817845	140828858	0.0538	rs9411252	-3.51	rs6606590	 0.001063	 4.59	-1.467	287	  6	enet	0.022	5.7e-06	-0.393	0.694
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TMEM250_1Mwindow.wgt.RDat	TMEM250	9	138506435	139510721	0.0499	rs28642252	-4.94	rs9314867	 0.003990	 3.34	 1.575	348	348	blup	0.0068	0.0076	-0.707	0.479
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CARD19_1Mwindow.wgt.RDat	CARD19	9	95358499	96375565	0.0364	rs10992420	 2.94	rs4743923	 0.000274	 3.72	-0.412	427	427	blup	0.012	0.00056	-0.355	0.723
