PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.APIP_1Mwindow.wgt.RDat	APIP	11	34403842	35437926	0.0280	rs7115768	-2.90	rs2785175	-5.08e-04	 3.32	-0.842	 712	  3	enet	0.0095	0.0014	-3.045	0.002329
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TIMM10_1Mwindow.wgt.RDat	TIMM10	11	56795937	57798227	0.0322	rs633129	-4.08	rs2729371	 2.39e-02	 5.92	-1.832	 380	  2	lasso	0.028	8.7e-08	-2.262	0.023668
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02696_1Mwindow.wgt.RDat	LINC02696	11	44876922	45878208	0.0454	rs10838524	 3.50	rs1530872	 2.11e-02	 5.07	 0.974	 493	  1	enet	0.026	3.7e-07	 0.974	0.330057
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SIDT2_1Mwindow.wgt.RDat	SIDT2	11	116549459	117568158	0.0361	rs723953	 3.87	rs1060211	-5.95e-04	-3.98	-0.176	 552	552	blup	0.011	0.00071	 1.278	0.201095
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.XRRA1_1Mwindow.wgt.RDat	XRRA1	11	74051955	75160136	0.1479	rs2270676	 3.79	rs2298746	 1.47e-01	11.91	 1.372	 494	  1	top1	0.15	2.6e-35	 1.372	0.170063
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MARK2_1Mwindow.wgt.RDat	MARK2	11	63106582	64178492	0.0179	rs663743	 4.26	rs570098	-7.61e-04	 3.52	 1.514	 312	312	blup	0.0012	0.15	 3.715	0.000203
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02731_1Mwindow.wgt.RDat	LINC02731	11	133402167	134411236	0.0691	rs11223738	 5.42	rs4937823	 3.29e-03	 4.76	-2.257	 530	  1	lasso	0.015	6.8e-05	-2.257	0.024008
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.FAM180B_1Mwindow.wgt.RDat	FAM180B	11	47108203	48110746	0.2025	NA	   NA	NA	       NA	   NA	    NA	   0	  0	enet	0.016	5.3e-05	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MRPL49_1Mwindow.wgt.RDat	MRPL49	11	64389655	65394843	0.0245	rs17743381	 3.62	rs509303	-5.25e-04	 3.64	 0.358	 329	329	blup	0.01	0.001	 1.231	0.218234
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.FADS1_1Mwindow.wgt.RDat	FADS1	11	61067099	62084475	0.0456	rs174627	 3.35	rs968567	 4.98e-02	 7.03	 2.212	 393	  1	top1	0.05	1.5e-12	 2.212	0.026967
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02728_1Mwindow.wgt.RDat	LINC02728	11	77635028	78640882	0.0144	rs10793277	 3.69	rs7102316	 8.89e-03	 4.51	-2.432	 373	  1	top1	0.0089	0.002	-2.432	0.015016
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MMP1_1Mwindow.wgt.RDat	MMP1	11	102160650	103168891	0.0266	rs470168	 2.58	rs3809018	-7.44e-04	 3.96	 0.860	 513	  1	top1	-0.00074	0.59	 0.860	0.389789
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CEP164_1Mwindow.wgt.RDat	CEP164	11	116692494	117783982	0.0310	rs723953	 3.87	rs10892188	-1.02e-03	 3.18	-1.405	 595	595	blup	0.0047	0.019	-1.689	0.091141
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LGALS12_1Mwindow.wgt.RDat	LGALS12	11	62773556	63784244	0.1124	rs1404504	 4.19	rs12283313	-1.02e-03	 3.61	 0.063	 267	267	blup	-0.001	0.84	 0.129	0.897398
