PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.KLK1_1Mwindow.wgt.RDat	KLK1	19	50822402	51827043	0.0727	rs10403942	-3.37	rs7254514	-0.000973	  4.25	-1.508	456	456	blup	0.0025	0.066	-0.7629	0.44554
gdT	RA_only/gdT_5pcs_all/gdT.PRTN3_1Mwindow.wgt.RDat	PRTN3	19	340999	1348175	0.0570	rs2074916	 2.58	rs2075020	-0.001032	  5.09	 0.023	380	  1	top1	-0.001	0.87	 0.0230	0.98165
gdT	RA_only/gdT_5pcs_all/gdT.EPS8L1_1Mwindow.wgt.RDat	EPS8L1	19	55087237	56099291	0.0301	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.016	5.8e-05	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.RPL28_1Mwindow.wgt.RDat	RPL28	19	55397300	56414710	0.1628	rs3810354	 4.32	rs17700376	 0.123024	-11.08	-0.177	504	  2	enet	0.13	1.4e-29	 0.1773	0.85926
gdT	RA_only/gdT_5pcs_all/gdT.ZNF350-AS1_1Mwindow.wgt.RDat	ZNF350-AS1	19	51952387	52984620	0.1210	NA	   NA	NA	       NA	    NA	    NA	628	  0	lasso	0.16	1.9e-38	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.ZNF414_1Mwindow.wgt.RDat	ZNF414	19	8074562	9079051	0.0536	rs8112582	 2.93	rs301415	 0.020147	 -5.25	 0.238	371	  1	top1	0.02	7.1e-06	-0.2380	0.81188
gdT	RA_only/gdT_5pcs_all/gdT.TSSK6_1Mwindow.wgt.RDat	TSSK6	19	19125028	20126357	0.0331	rs4808200	 4.58	rs12460082	 0.000037	  3.79	 0.000	316	  1	top1	3.7e-05	0.31	 0.0000	1.00000
gdT	RA_only/gdT_5pcs_all/gdT.NOP53_1Mwindow.wgt.RDat	NOP53	19	47748803	48760315	0.0453	rs182420	 3.60	rs4802386	-0.000789	  3.50	 0.651	414	414	blup	0.014	0.00018	 0.4691	0.63901
gdT	RA_only/gdT_5pcs_all/gdT.MAMSTR_1Mwindow.wgt.RDat	MAMSTR	19	48715982	49722982	0.0370	rs4801768	-3.57	rs12980226	 0.001258	  3.55	-0.095	412	412	blup	0.0064	0.008	-0.9454	0.34446
gdT	RA_only/gdT_5pcs_all/gdT.ZNF333_1Mwindow.wgt.RDat	ZNF333	19	14300860	15344554	0.0362	rs498284	-3.07	rs7255465	-0.000621	 -3.13	 1.340	433	433	blup	0.0046	0.021	 1.9771	0.04804
gdT	RA_only/gdT_5pcs_all/gdT.RPS9_1Mwindow.wgt.RDat	RPS9	19	54204726	55211515	0.1114	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.094	2.8e-22	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.RPS5_1Mwindow.wgt.RDat	RPS5	19	58398636	59406171	0.0380	rs292828	 2.75	rs731835	 0.028797	 -5.34	-1.333	290	  1	top1	0.029	9.3e-08	 1.3330	0.18253
