PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.NSA2_1Mwindow.wgt.RDat	NSA2	5	73563074	74575938	0.0378	rs2962189	 2.57	rs957680	 2.49e-02	 5.10	 0.1448	448	  1	top1	0.025	5.1e-07	 0.1448	8.85e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.GTF2H2_1Mwindow.wgt.RDat	GTF2H2	5	69831174	70863503	0.0940	rs7449303	 2.16	rs13168712	 4.97e-02	 6.31	 0.0083	 48	  1	top1	0.05	1.5e-12	 0.0083	9.93e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.0146	rs40107	 3.36	rs6870248	 2.23e-02	-4.95	-0.9042	424	  1	top1	0.022	1.9e-06	 0.9042	3.66e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.NR3C1_1Mwindow.wgt.RDat	NR3C1	5	142157496	143315077	0.0338	rs246600	 4.21	rs12521436	 3.01e-03	 3.37	 0.8277	587	587	blup	0.0067	0.0062	-0.8329	4.05e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.ATG10_1Mwindow.wgt.RDat	ATG10	5	80767842	82051952	0.0381	rs17283946	 3.31	rs150934	 1.93e-02	 6.25	-0.4140	522	522	blup	0.022	2.8e-06	 1.7064	8.79e-02
B_naive	RA_only/B_naive_5pcs_all/B_naive.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.0487	rs27433	-6.11	rs27306	 4.01e-02	 6.77	 3.2735	501	  1	top1	0.04	2.2e-10	 3.2735	1.06e-03
B_naive	RA_only/B_naive_5pcs_all/B_naive.CAST_1Mwindow.wgt.RDat	CAST	5	95497741	96610387	0.0250	rs27433	-6.11	rs26503	 2.07e-02	 4.99	-4.9784	507	  1	top1	0.021	4.3e-06	-4.9784	6.41e-07
B_naive	RA_only/B_naive_5pcs_all/B_naive.SGCD_1Mwindow.wgt.RDat	SGCD	5	155254174	156694799	0.0604	rs244962	 3.11	rs7724912	-9.11e-04	 3.07	 1.9018	568	568	blup	-0.00021	0.37	 0.3554	7.22e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.CRHBP_1Mwindow.wgt.RDat	CRHBP	5	75748870	76765296	0.0652	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0088	0.0021	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.TCERG1_1Mwindow.wgt.RDat	TCERG1	5	145326893	146391524	0.0189	rs589793	 3.92	rs10077240	-4.42e-04	-3.87	 1.8063	370	370	blup	0.0058	0.01	-2.6430	8.22e-03
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC01511_1Mwindow.wgt.RDat	LINC01511	5	863697	1880188	0.0506	rs10069690	 4.88	rs6350	-7.25e-04	 4.25	 0.4678	485	485	blup	0.002	0.085	-1.3239	1.86e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.SETD9_1Mwindow.wgt.RDat	SETD9	5	55705087	56724727	0.0405	rs458036	-6.06	rs2591968	 2.83e-02	-5.72	 1.4305	483	  1	top1	0.028	8.8e-08	-1.4305	1.53e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.FAM53C_1Mwindow.wgt.RDat	FAM53C	5	137173246	138185418	0.0162	rs7713839	-3.50	rs13171173	 6.56e-03	-3.89	 0.8640	287	287	blup	0.012	0.00048	-1.9082	5.64e-02
