PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.SIK1_1Mwindow.wgt.RDat	SIK1	21	44334363	45347011	0.0670	rs234748	-3.34	rs643853	 1.90e-02	 5.29	-1.139	428	428	blup	0.019	8.4e-06	 1.145	0.2524
B_memory	RA_only/B_memory_5pcs_all/B_memory.YBEY_1Mwindow.wgt.RDat	YBEY	21	47206256	48217665	0.0541	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.042	8.4e-11	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.PCBP3_1Mwindow.wgt.RDat	PCBP3	21	46563639	47862364	0.0393	rs3810590	 3.67	rs9637167	-3.70e-05	 3.41	 1.825	607	607	blup	0.0069	0.0057	-2.397	0.0165
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00205_1Mwindow.wgt.RDat	LINC00205	21	46207967	47217269	0.0320	rs2838815	-3.21	rs2838751	-3.54e-04	 3.21	-0.719	477	477	blup	0.003	0.048	-0.828	0.4077
B_memory	RA_only/B_memory_5pcs_all/B_memory.COL6A1_1Mwindow.wgt.RDat	COL6A1	21	46901684	47924962	0.0835	NA	   NA	NA	       NA	   NA	    NA	467	  0	top1	0.026	2.8e-07	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.SLC5A3_1Mwindow.wgt.RDat	SLC5A3	21	34945878	35978559	0.0492	rs8129269	 3.20	rs16997893	 3.32e-02	-6.18	-0.310	462	  1	top1	0.033	7e-09	 0.310	0.7566
B_memory	RA_only/B_memory_5pcs_all/B_memory.CSTB_1Mwindow.wgt.RDat	CSTB	21	44693831	45696189	0.0537	rs17004573	 3.97	rs2838367	 4.09e-02	-6.78	-0.409	422	  1	lasso	0.051	8.4e-13	 0.409	0.6825
B_memory	RA_only/B_memory_5pcs_all/B_memory.MRPS6_1Mwindow.wgt.RDat	MRPS6	21	34945878	36015330	0.0474	rs8129269	 3.20	rs9305540	 2.91e-02	-5.70	-0.631	478	  1	top1	0.029	5.8e-08	 0.631	0.5280
B_memory	RA_only/B_memory_5pcs_all/B_memory.U2AF1_1Mwindow.wgt.RDat	U2AF1	21	44013066	45027688	0.1086	rs234748	-3.34	rs4920040	 7.86e-02	-8.96	 1.375	484	  6	enet	0.083	4.9e-20	-1.323	0.1859
B_memory	RA_only/B_memory_5pcs_all/B_memory.TSPEAR-AS2_1Mwindow.wgt.RDat	TSPEAR-AS2	21	45437098	46438860	0.0556	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.15	5.8e-35	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.CCT8_1Mwindow.wgt.RDat	CCT8	21	29928647	30945969	0.0552	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.046	7.9e-12	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00649_1Mwindow.wgt.RDat	LINC00649	21	34803426	35843487	0.0292	rs8129269	 3.20	rs2834315	 8.01e-05	-3.56	 1.381	429	429	blup	0.012	0.00043	 1.359	0.1742
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00334_1Mwindow.wgt.RDat	LINC00334	21	46154255	47178645	0.0773	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.0081	0.003	    NA	    NA
