PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ARHGAP39_1Mwindow.wgt.RDat	ARHGAP39	8	145254563	146411231	0.0416	rs4628292	 1.54	rs11988651	-0.000679	  3.72	 0.06020	203	203	blup	5.8e-06	0.32	 0.61290	0.5399
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC02235_1Mwindow.wgt.RDat	LINC02235	8	82254854	83335895	0.0342	rs10097139	 2.82	rs16909549	 0.001844	  4.94	-1.60270	335	335	blup	0.0063	0.0079	-0.95055	0.3418
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NKX3-1_1Mwindow.wgt.RDat	NKX3-1	8	23036206	24040451	0.0299	rs11781222	-3.34	rs4273857	 0.001689	  3.39	 0.35846	535	535	blup	0.011	0.00052	-0.82644	0.4086
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FUT10_1Mwindow.wgt.RDat	FUT10	8	32728342	33830664	0.0367	rs11997175	-3.22	rs2581896	 0.007705	  4.34	-0.98890	254	254	blup	0.02	6.5e-06	 0.17675	0.8597
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FAM66A_1Mwindow.wgt.RDat	FAM66A	8	11719528	12768510	0.0304	rs4072535	 2.60	rs7837242	-0.000668	  5.01	 0.71114	172	172	blup	-0.00054	0.49	-0.31528	0.7526
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MSC-AS1_1Mwindow.wgt.RDat	MSC-AS1	8	72255358	73468547	0.0418	rs1431646	 2.74	rs3919904	 0.003714	 -4.63	-1.18758	625	  4	enet	0.016	4.1e-05	 0.44199	0.6585
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SAMD12_1Mwindow.wgt.RDat	SAMD12	8	118644064	120134202	0.0875	rs10113582	-2.50	rs2514602	 0.075760	  8.69	-0.02005	756	  1	top1	0.076	1.7e-18	-0.02005	0.9840
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NEIL2_1Mwindow.wgt.RDat	NEIL2	8	11127219	12144854	0.0258	rs2686187	 3.03	rs1293328	 0.009997	 -3.99	-1.63523	458	  1	top1	0.01	0.0011	 1.63523	0.1020
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.XKR9_1Mwindow.wgt.RDat	XKR9	8	71081574	72148177	0.0146	rs3812429	-2.03	rs10957533	 0.016697	  4.48	-0.95614	347	  1	top1	0.017	3.3e-05	-0.95614	0.3390
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FZD6_1Mwindow.wgt.RDat	FZD6	8	103810722	104845094	0.0222	rs7839419	 2.33	rs16870349	 0.003244	  4.18	-0.80642	411	  1	top1	0.0032	0.042	-0.80642	0.4200
