PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TRAPPC2L_1Mwindow.wgt.RDat	TRAPPC2L	16	88422628	89429086	0.1008	rs8060693	-4.89	rs3826061	 0.096784	-10.52	-2.343	393	  2	enet	0.11	2.3e-27	 2.5232	1.16e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPATA33_1Mwindow.wgt.RDat	SPATA33	16	89224184	90236866	0.0327	rs3114885	 2.57	rs154657	 0.005442	  4.58	 0.059	412	412	blup	0.011	6e-04	 0.1474	8.83e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MT1X_1Mwindow.wgt.RDat	MT1X	16	56216382	57218108	0.1878	rs899236	 3.04	rs1599933	 0.165643	 12.75	-1.008	527	  2	lasso	0.18	6.1e-43	-1.1707	2.42e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.APOBR_1Mwindow.wgt.RDat	APOBR	16	28005964	29010285	0.0268	rs40831	 2.90	rs11401	 0.000240	 -3.64	-0.475	196	196	blup	0.01	0.0011	 1.3223	1.86e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CMTM2_1Mwindow.wgt.RDat	CMTM2	16	66113366	67122178	0.0357	rs233525	-3.05	rs6499075	 0.020432	  2.82	 1.997	396	  1	top1	0.02	4.7e-06	 1.9970	4.58e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PGAP6_1Mwindow.wgt.RDat	PGAP6	16	0	931978	0.1693	rs710079	 3.07	rs11248931	 0.212799	 12.31	 0.717	327	  1	lasso	0.22	1.5e-54	 0.2030	8.39e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPNS1_1Mwindow.wgt.RDat	SPNS1	16	28486099	29495864	0.0242	rs40831	 2.90	rs9929088	 0.024009	  6.20	 1.962	166	  1	top1	0.024	7.5e-07	 1.9620	4.98e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TGFB1I1_1Mwindow.wgt.RDat	TGFB1I1	16	30983473	31989281	0.0579	rs11865038	-4.89	rs13337037	 0.017467	  5.77	 0.126	247	  5	enet	0.035	2.6e-09	 0.9722	3.31e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ENKD1_1Mwindow.wgt.RDat	ENKD1	16	67196848	68200653	0.0153	rs12927959	-2.58	rs9922594	 0.004691	  3.54	 1.759	201	201	blup	0.0059	0.0097	-0.2615	7.94e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MT2A_1Mwindow.wgt.RDat	MT2A	16	56142496	57143409	0.3336	rs899236	 3.04	rs11642055	 0.270307	-12.28	-0.938	516	  7	enet	0.3	8.8e-78	-0.4782	6.33e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DNAJA3_1Mwindow.wgt.RDat	DNAJA3	16	3975869	5006776	0.1484	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.11	1.9e-27	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NME3_1Mwindow.wgt.RDat	NME3	16	1320321	2321544	0.0349	rs2575329	-3.57	rs12149777	 0.016732	  5.18	-3.027	429	  1	top1	0.017	3.2e-05	-3.0270	2.47e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EXOSC6_1Mwindow.wgt.RDat	EXOSC6	16	69780681	70785843	0.0141	rs2168608	-3.88	rs936994	 0.000345	  4.17	 0.931	182	182	blup	0.0053	0.013	 0.4377	6.62e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CEP20_1Mwindow.wgt.RDat	CEP20	16	15459576	16482460	0.0215	rs4781668	 3.87	rs3743517	 0.022331	  4.82	 0.467	433	  1	top1	0.022	1.8e-06	 0.4670	6.40e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HEATR3_1Mwindow.wgt.RDat	HEATR3	16	49599881	50641183	0.0314	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.027	1.8e-07	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SLX4_1Mwindow.wgt.RDat	SLX4	16	3131182	4161607	0.0511	rs8061528	-3.77	rs2238400	-0.000147	 -3.40	-0.262	354	354	blup	0.0053	0.013	 1.9663	4.93e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CMTM1_1Mwindow.wgt.RDat	CMTM1	16	66100342	67113038	0.0191	rs233525	-3.05	rs4783598	 0.017805	  4.94	-1.509	402	  1	top1	0.018	1.8e-05	-1.5090	1.31e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IL32_1Mwindow.wgt.RDat	IL32	16	2615404	3619531	0.4089	rs2107321	-3.59	rs4786377	 0.182168	 10.68	-0.922	330	  1	lasso	0.27	9.9e-68	 0.1410	8.88e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SGF29_1Mwindow.wgt.RDat	SGF29	16	28065241	29103111	0.0538	rs40831	 2.90	rs480400	 0.082994	 -9.47	 1.901	181	  1	lasso	0.09	9.3e-22	-2.5290	1.14e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MYH11_1Mwindow.wgt.RDat	MYH11	16	15296992	16450885	0.1300	rs4781668	 3.87	rs16967494	 0.125797	 11.71	 0.573	434	  2	lasso	0.14	3.2e-33	 0.5730	5.67e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ATP2C2_1Mwindow.wgt.RDat	ATP2C2	16	83902144	84997793	0.0794	rs7195745	-3.07	rs416330	 0.043777	  6.94	-0.542	889	  1	top1	0.044	2.9e-11	-0.5420	5.88e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ADAT1_1Mwindow.wgt.RDat	ADAT1	16	75130766	76157179	0.0293	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.013	0.00019	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NLRC5_1Mwindow.wgt.RDat	NLRC5	16	56523469	57617432	0.0672	rs8054916	 2.89	rs7192652	 0.018680	 -5.67	 0.853	572	  3	lasso	0.021	2.8e-06	-1.0744	2.83e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CARHSP1_1Mwindow.wgt.RDat	CARHSP1	16	8446799	9462863	0.0446	rs12447788	-3.10	rs2437704	 0.036561	  6.45	 0.201	483	  1	top1	0.037	1.2e-09	 0.2010	8.41e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PGP_1Mwindow.wgt.RDat	PGP	16	1761594	2764841	0.0381	rs2575329	-3.57	rs26849	 0.004797	  4.30	-2.132	296	  1	top1	0.0048	0.017	-2.1320	3.30e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NAA60_1Mwindow.wgt.RDat	NAA60	16	2993611	4036963	0.0554	rs8061528	-3.77	rs40223	 0.029072	  5.15	 2.635	350	  1	top1	0.029	5.6e-08	 2.6350	8.41e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CDK10_1Mwindow.wgt.RDat	CDK10	16	89253097	90262762	0.2268	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.066	3.5e-16	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SNAI3_1Mwindow.wgt.RDat	SNAI3	16	88244096	89252915	0.0434	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.014	0.00015	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MRPS34_1Mwindow.wgt.RDat	MRPS34	16	1321896	2323135	0.0646	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.02	5e-06	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KAT8_1Mwindow.wgt.RDat	KAT8	16	30628985	31642714	0.0152	rs11865038	-4.89	rs7200879	 0.005435	  3.47	-2.181	244	244	blup	0.014	0.00011	-3.2424	1.19e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HAGH_1Mwindow.wgt.RDat	HAGH	16	1357630	2377195	0.1805	rs2575329	-3.57	rs2437744	 0.213008	 13.93	-2.155	432	  3	lasso	0.23	3.2e-57	-1.6750	9.39e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BOLA2_1Mwindow.wgt.RDat	BOLA2	16	28964909	29966285	0.0612	rs12716974	-2.77	rs8052502	 0.033497	  6.55	-2.587	148	  1	top1	0.033	5.7e-09	-2.5870	9.68e-03
