PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SEC23IP_1Mwindow.wgt.RDat	SEC23IP	10	121152242	122204169	0.0340	NA	   NA	NA	       NA	   NA	     NA	   0	   0	lasso	0.0044	0.023	    NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.UNC5B-AS1_1Mwindow.wgt.RDat	UNC5B-AS1	10	72476981	73477985	0.0369	rs10823631	 6.97	rs7069807	 0.003182	 5.85	-0.0686	 713	   2	lasso	0.0034	0.039	-1.125	2.61e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CALY_1Mwindow.wgt.RDat	CALY	10	134637576	135650400	0.0306	rs7906120	 2.92	rs12768641	 0.020546	 4.66	 0.7447	 363	   1	top1	0.021	5.5e-06	 0.745	4.56e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.DPYSL4_1Mwindow.wgt.RDat	DPYSL4	10	133500452	134519263	0.0768	NA	   NA	NA	       NA	   NA	     NA	   0	   0	lasso	0.061	6.7e-15	    NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.VCL_1Mwindow.wgt.RDat	VCL	10	75257874	76381121	0.0283	rs12268338	 4.80	rs3180427	 0.024554	-5.63	-0.5146	 243	   1	top1	0.025	7.3e-07	 0.515	6.07e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ADARB2_1Mwindow.wgt.RDat	ADARB2	10	723253	2279719	0.0392	rs4881529	-6.03	rs4880907	-0.000905	 5.05	-1.6086	1004	1004	blup	0.003	0.05	 0.545	5.85e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CCSER2_1Mwindow.wgt.RDat	CCSER2	10	85588345	86778273	0.0235	rs12781048	-3.59	rs17663697	 0.013963	-4.81	-0.4604	 620	   1	top1	0.014	0.00016	 0.460	6.45e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0491	rs10159477	24.17	rs12268631	 0.036421	 6.58	 1.9441	 432	   1	top1	0.036	1.9e-09	 1.944	5.19e-02
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.RAB18_1Mwindow.wgt.RDat	RAB18	10	27293233	28331168	0.0407	rs2815548	 3.69	rs7086946	 0.001099	-3.80	-1.0262	 458	 458	blup	0.0055	0.013	 2.730	6.33e-03
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ANK3_1Mwindow.wgt.RDat	ANK3	10	61286056	62993286	0.0493	rs1171617	-4.46	rs1904418	 0.043561	-6.68	-2.8511	 852	   1	top1	0.044	5.1e-11	 2.851	4.36e-03
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.IDI2_1Mwindow.wgt.RDat	IDI2	10	564850	1571799	0.0413	rs4881529	-6.03	rs816304	-0.000995	 5.19	 2.0288	 497	 497	blup	0.0036	0.036	 1.111	2.67e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.KIFBP_1Mwindow.wgt.RDat	KIFBP	10	70248559	71276738	0.0469	rs10159477	24.17	rs7095976	-0.000433	 3.72	 0.0851	 442	 442	blup	0.0044	0.023	 3.149	1.64e-03
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ADIRF_1Mwindow.wgt.RDat	ADIRF	10	88228239	89230672	0.0540	rs3128151	 3.44	rs10887679	 0.006095	-4.17	-0.8701	 245	   2	enet	0.016	5.3e-05	 0.872	3.83e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MASTL_1Mwindow.wgt.RDat	MASTL	10	26944281	27976882	0.0335	rs2815548	 3.69	rs7477806	 0.002503	-4.15	 0.1566	 476	 476	blup	0.015	8.5e-05	 0.142	8.87e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MMRN2_1Mwindow.wgt.RDat	MMRN2	10	88195297	89217372	0.0755	rs3128151	 3.44	rs7919226	-0.001028	 5.70	-1.1082	 259	   1	top1	-0.001	0.87	-1.108	2.68e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.BTRC_1Mwindow.wgt.RDat	BTRC	10	102613922	103817070	0.0166	rs12355803	-6.05	rs7921510	-0.001053	 3.56	-4.0497	 403	 403	blup	0.0078	0.0036	-3.603	3.14e-04
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.HELLS_1Mwindow.wgt.RDat	HELLS	10	95805545	96861856	0.0429	rs11187998	-4.70	rs2244241	 0.026096	 5.66	-4.0541	 372	   1	top1	0.026	3.4e-07	-4.054	5.03e-05
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.PPA1_1Mwindow.wgt.RDat	PPA1	10	71462591	72493185	0.0967	rs7086334	-3.09	rs7072230	 0.054104	 8.13	 1.3140	 702	 702	blup	0.059	1.8e-14	 2.653	7.97e-03
