PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RWDD1_1Mwindow.wgt.RDat	RWDD1	6	116392667	117418838	0.0932	rs2243368	-3.18	rs2637660	 0.058389	  8.18	-0.7418	374	374	blup	0.067	1.7e-16	-2.5738	0.010058
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SNX9_1Mwindow.wgt.RDat	SNX9	6	157744278	158866109	0.0413	rs634718	 3.01	rs6908844	 0.026652	  6.05	-0.0129	563	  1	top1	0.027	1.9e-07	-0.0129	0.989708
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SFT2D1_1Mwindow.wgt.RDat	SFT2D1	6	166233216	167256033	0.0834	rs2498580	-3.85	rs9356478	 0.072900	 -8.52	 1.6186	717	  3	lasso	0.074	3.6e-18	-1.3128	0.189263
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MANEA_1Mwindow.wgt.RDat	MANEA	6	95525411	96557328	0.0232	rs12175153	 2.64	rs9489578	 0.010475	  4.99	-1.1178	328	  1	top1	0.01	0.00083	-1.1178	0.263652
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MAP3K7_1Mwindow.wgt.RDat	MAP3K7	6	90723298	91796791	0.0273	rs1999090	 4.21	rs16879996	-0.001032	 -3.28	-0.5786	531	531	blup	0.0036	0.035	 0.5560	0.578226
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FOXCUT_1Mwindow.wgt.RDat	FOXCUT	6	1105766	2107593	0.0649	rs238052	 2.58	rs12209110	-0.001028	  4.07	 1.5085	606	606	blup	-0.00096	0.79	 0.2871	0.774066
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CRYBG1_1Mwindow.wgt.RDat	CRYBG1	6	106308592	107519892	0.0622	rs2749083	 3.19	rs898895	 0.048919	 -6.95	-0.2457	662	  1	top1	0.049	2e-12	 0.2457	0.805914
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TULP4_1Mwindow.wgt.RDat	TULP4	6	158233497	159432860	0.0381	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.011	0.00052	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MRPL14_1Mwindow.wgt.RDat	MRPL14	6	43581188	44595189	0.0846	rs9369482	-3.13	rs12212365	 0.084832	 -9.24	 0.6419	528	  1	top1	0.085	1.3e-20	-0.6419	0.520938
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RNF217_1Mwindow.wgt.RDat	RNF217	6	124783583	125913780	0.1057	rs7741075	 2.68	rs12193003	 0.064982	  8.06	 2.0124	508	  1	top1	0.065	4.7e-16	 2.0124	0.044178
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.C6orf62_1Mwindow.wgt.RDat	C6orf62	6	24205089	25219382	0.1251	rs1056283	-3.87	rs3756814	 0.085598	 -9.27	-0.0269	602	  1	top1	0.086	8.5e-21	 0.0269	0.978539
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LYRM4_1Mwindow.wgt.RDat	LYRM4	6	4568561	5761183	0.1630	rs9405267	-4.26	rs10458086	 0.020339	  6.70	 0.8547	707	 12	enet	0.13	9.7e-31	 1.4364	0.150887
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SERPINB6_1Mwindow.wgt.RDat	SERPINB6	6	2448393	3472027	0.4489	rs6908773	-3.56	rs11242810	 0.352108	-18.52	-0.2510	655	  6	enet	0.38	7.3e-102	 0.4805	0.630881
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CAPN11_1Mwindow.wgt.RDat	CAPN11	6	43626557	44652138	0.2170	rs9369482	-3.13	rs7763358	 0.206483	 14.37	 1.1244	560	  1	top1	0.21	9.3e-51	 1.1244	0.260843
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.UFL1_1Mwindow.wgt.RDat	UFL1	6	96469682	97503152	0.0166	rs9320281	-3.30	rs7770889	 0.021222	  4.89	-0.4150	443	  1	top1	0.021	3.1e-06	-0.4150	0.678142
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SDHAF4_1Mwindow.wgt.RDat	SDHAF4	6	70776633	71799272	0.0152	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0075	0.004	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SLC18B1_1Mwindow.wgt.RDat	SLC18B1	6	132590509	133619776	0.0546	rs4144146	 2.90	rs12215941	 0.006291	 -5.21	 0.2970	541	541	blup	0.025	5.8e-07	-0.2604	0.794577
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RPS12_1Mwindow.wgt.RDat	RPS12	6	132635708	133638703	0.0739	rs4144146	 2.90	rs9389034	 0.072260	  6.63	-0.1431	541	  2	lasso	0.089	1.5e-21	-0.1431	0.886208
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SNX14_1Mwindow.wgt.RDat	SNX14	6	85715214	86803576	0.0165	rs6931497	-2.40	rs9344532	 0.001610	 -3.53	 0.6001	417	417	blup	0.0068	0.0059	-1.9994	0.045564
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MICAL1_1Mwindow.wgt.RDat	MICAL1	6	109265265	110287171	0.0217	rs351739	 2.38	rs1476386	 0.017966	  4.84	 0.0863	381	  1	top1	0.018	1.7e-05	 0.0863	0.931228
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FAM83B_1Mwindow.wgt.RDat	FAM83B	6	54211569	55309897	0.0568	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.00063	0.53	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RMND1_1Mwindow.wgt.RDat	RMND1	6	151225897	152273261	0.0470	rs1159327	 3.55	rs2982561	-0.000306	  3.88	-0.3983	611	611	blup	0.0068	0.0058	 0.3853	0.700026
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ETV7_1Mwindow.wgt.RDat	ETV7	6	35821865	36855446	0.0872	rs6934844	 4.04	rs1076928	 0.138921	-11.74	 2.1115	488	  1	top1	0.14	1.6e-33	-2.1115	0.034729
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KHDC1L_1Mwindow.wgt.RDat	KHDC1L	6	73433267	74435219	0.0351	rs12191488	 3.30	rs7763873	 0.001823	  4.29	 1.5189	385	385	blup	0.004	0.027	-1.1101	0.266968
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC02527_1Mwindow.wgt.RDat	LINC02527	6	111721508	112730600	0.5589	rs1327200	 2.52	rs11970757	 0.290544	  9.88	 0.0649	504	  1	top1	0.29	2.4e-74	 0.0649	0.948254
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EPM2A_1Mwindow.wgt.RDat	EPM2A	6	145446441	146557159	0.0154	rs511290	 3.32	rs398060	 0.014500	 -4.81	 0.4852	330	330	blup	0.015	7.2e-05	 0.9280	0.353408
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PNRC1_1Mwindow.wgt.RDat	PNRC1	6	89290470	90294879	0.0246	rs12201676	 3.91	rs7745708	 0.004720	 -4.39	-2.2865	400	400	blup	0.0079	0.0032	 2.3123	0.020761
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.REV3L_1Mwindow.wgt.RDat	REV3L	6	111120236	112304914	0.0737	rs9400461	-3.10	rs240965	 0.052607	 -7.49	-1.0981	469	  1	top1	0.053	3e-13	 1.0981	0.272161
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BACH2_1Mwindow.wgt.RDat	BACH2	6	90136247	91506562	0.0422	rs1999090	 4.21	rs1321859	 0.024555	 -5.82	-0.9214	649	  1	top1	0.025	5.7e-07	 0.9214	0.356842
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DST_1Mwindow.wgt.RDat	DST	6	55822794	57319628	0.1502	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.13	6.2e-32	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TTLL2_1Mwindow.wgt.RDat	TTLL2	6	167238574	168256176	0.0932	rs6921588	 3.82	rs4710118	-0.000893	  6.04	 0.9575	416	416	blup	2.3e-05	0.31	 2.0812	0.037414
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LY86-AS1_1Mwindow.wgt.RDat	LY86-AS1	6	5846698	7123059	0.1013	rs12204361	 3.34	rs41502044	 0.024414	  6.47	-1.6070	906	  6	enet	0.036	1.8e-09	-1.7549	0.079285
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GTF2H5_1Mwindow.wgt.RDat	GTF2H5	6	158089382	159120376	0.0583	rs9459154	 2.68	rs10946136	 0.013550	 -5.25	 1.1580	537	537	blup	0.02	7.3e-06	-0.9819	0.326169
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SOD2_1Mwindow.wgt.RDat	SOD2	6	159590101	160683313	0.1693	rs9457732	 3.15	rs7855	 0.049696	  9.16	-0.1053	602	  2	lasso	0.12	7.5e-29	-0.9070	0.364409
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BTN3A2_1Mwindow.wgt.RDat	BTN3A2	6	25865426	26878548	0.4317	NA	   NA	NA	       NA	    NA	     NA	541	  0	blup	0.39	4.7e-106	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SERPINB9_1Mwindow.wgt.RDat	SERPINB9	6	2387504	3403543	0.2469	rs6908773	-3.56	rs12530071	 0.138267	-10.05	-0.9570	640	  9	enet	0.18	5e-44	 0.0811	0.935380
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ADTRP_1Mwindow.wgt.RDat	ADTRP	6	11213756	12279036	0.1230	rs12525800	 5.99	rs4713831	 0.065685	 -8.34	 3.7562	650	 12	enet	0.076	1.4e-18	-1.7427	0.081379
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LGSN_1Mwindow.wgt.RDat	LGSN	6	63485856	64529888	0.0208	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.017	3e-05	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IRAK1BP1_1Mwindow.wgt.RDat	IRAK1BP1	6	79077268	80112819	0.0424	rs4706768	 3.62	rs10943611	 0.006768	  5.28	-0.8872	377	  3	enet	0.026	2.2e-07	 0.1936	0.846459
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MTRF1L_1Mwindow.wgt.RDat	MTRF1L	6	152808497	153823844	0.0209	rs1159927	-3.44	rs545323	 0.009675	  4.40	-1.4818	526	  1	top1	0.0097	0.0013	-1.4818	0.138394
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SERPINB9P1_1Mwindow.wgt.RDat	SERPINB9P1	6	2354891	3376744	0.0889	rs6908773	-3.56	rs380779	 0.027155	  6.27	 2.0973	652	  2	lasso	0.036	1.3e-09	 2.0918	0.036459
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DCBLD1_1Mwindow.wgt.RDat	DCBLD1	6	117303837	118391021	0.0406	rs491902	-3.17	rs9489217	 0.018750	 -5.25	-1.7590	441	  1	top1	0.019	1.1e-05	 1.7590	0.078578
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GJB7_1Mwindow.wgt.RDat	GJB7	6	87492698	88538996	0.0224	rs16878044	-5.03	rs41398947	-0.000370	 -3.80	 1.5430	417	417	blup	0.0035	0.037	-1.9783	0.047897
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DNPH1_1Mwindow.wgt.RDat	DNPH1	6	42693367	43697219	0.0355	rs6924555	 5.06	rs7832	 0.030136	 -6.35	 3.8183	334	  1	top1	0.03	3.2e-08	-3.8183	0.000134
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CCDC167_1Mwindow.wgt.RDat	CCDC167	6	36950714	37967669	0.3927	rs16889902	-4.28	rs1757181	 0.472162	-21.64	-0.8187	473	  2	lasso	0.53	1.8e-161	 0.1286	0.897674
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TIAM2_1Mwindow.wgt.RDat	TIAM2	6	154816449	156078857	0.0647	rs12195819	-4.28	rs3011895	 0.030631	  6.27	-1.5172	538	  3	lasso	0.047	6.4e-12	 0.4268	0.669551
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MRPL18_1Mwindow.wgt.RDat	MRPL18	6	159710844	160719461	0.0652	rs9457732	 3.15	rs9365097	 0.046877	  6.93	 0.0063	550	  1	top1	0.047	5.8e-12	 0.0063	0.994973
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RUNX2_1Mwindow.wgt.RDat	RUNX2	6	44796067	46018819	0.0256	rs3777612	 2.82	rs7754378	-0.000645	 -3.76	-0.3695	496	496	blup	0.01	0.001	 0.2232	0.823394
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HBS1L_1Mwindow.wgt.RDat	HBS1L	6	134781516	135875960	0.0301	rs2614264	-3.78	rs1547247	 0.030630	 -6.03	-0.6888	400	  1	top1	0.031	2.5e-08	 0.6888	0.490949
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PPIL1_1Mwindow.wgt.RDat	PPIL1	6	36322605	37342579	0.0361	rs6901884	 4.13	rs4594944	-0.000830	  3.55	-1.1180	518	518	blup	0.0057	0.011	-1.0921	0.274785
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CCND3_1Mwindow.wgt.RDat	CCND3	6	41402671	42516632	0.0475	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.026	2.8e-07	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HDDC2_1Mwindow.wgt.RDat	HDDC2	6	125096496	126123113	0.0725	rs7741075	 2.68	rs2275623	 0.058397	 -7.92	-0.4653	418	  1	top1	0.058	1.5e-14	 0.4653	0.641717
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.3156	rs2327647	-3.96	rs7750586	 0.395752	-19.35	-3.7746	432	  1	top1	0.4	4.1e-108	 3.7746	0.000160
