PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ARHGAP39_1Mwindow.wgt.RDat	ARHGAP39	8	145254563	146411231	0.0416	rs3757971	 2.95	rs11988651	-0.000679	  3.72	 0.2028	203	203	blup	5.8e-06	0.32	 0.368	0.7128
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC02235_1Mwindow.wgt.RDat	LINC02235	8	82254854	83335895	0.0342	rs1376843	-3.31	rs16909549	 0.001844	  4.94	 0.0608	335	335	blup	0.0063	0.0079	-0.811	0.4171
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NKX3-1_1Mwindow.wgt.RDat	NKX3-1	8	23036206	24040451	0.0299	rs17089442	 3.46	rs4273857	 0.001689	  3.39	 0.3370	535	535	blup	0.011	0.00052	 0.140	0.8888
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FUT10_1Mwindow.wgt.RDat	FUT10	8	32728342	33830664	0.0367	rs1530344	 2.86	rs2581896	 0.007705	  4.34	 1.7451	254	254	blup	0.02	6.5e-06	 1.596	0.1105
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FAM66A_1Mwindow.wgt.RDat	FAM66A	8	11719528	12768510	0.0304	rs4831364	 3.96	rs7837242	-0.000668	  5.01	 3.3028	172	172	blup	-0.00054	0.49	 2.307	0.0211
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MSC-AS1_1Mwindow.wgt.RDat	MSC-AS1	8	72255358	73468547	0.0418	rs10091093	 3.02	rs3919904	 0.003714	 -4.63	 1.7140	625	  4	enet	0.016	4.1e-05	-0.989	0.3225
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SAMD12_1Mwindow.wgt.RDat	SAMD12	8	118644064	120134202	0.0875	rs9297578	 3.40	rs2514602	 0.075760	  8.69	 0.2785	756	  1	top1	0.076	1.7e-18	 0.279	0.7806
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NEIL2_1Mwindow.wgt.RDat	NEIL2	8	11127219	12144854	0.0258	rs11777273	 3.05	rs1293328	 0.009997	 -3.99	 1.9860	458	  1	top1	0.01	0.0011	-1.986	0.0470
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.XKR9_1Mwindow.wgt.RDat	XKR9	8	71081574	72148177	0.0146	rs13263973	 2.19	rs10957533	 0.016697	  4.48	 0.8982	347	  1	top1	0.017	3.3e-05	 0.898	0.3691
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FZD6_1Mwindow.wgt.RDat	FZD6	8	103810722	104845094	0.0222	rs1157213	 2.35	rs16870349	 0.003244	  4.18	 0.6438	411	  1	top1	0.0032	0.042	 0.644	0.5197
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MYOM2_1Mwindow.wgt.RDat	MYOM2	8	1493161	2593380	0.2104	rs7387547	 3.25	rs3824183	 0.242529	 15.33	 1.1616	697	  1	enet	0.27	4.2e-68	 0.779	0.4362
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.REEP4_1Mwindow.wgt.RDat	REEP4	8	21495533	22499420	0.0309	rs10100426	 3.68	rs12678092	 0.020815	  4.85	 0.2838	435	  1	top1	0.021	3.9e-06	 0.284	0.7766
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LACTB2-AS1_1Mwindow.wgt.RDat	LACTB2-AS1	8	71020812	72075514	0.0246	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.035	3e-09	    NA	    NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MIR124-1HG_1Mwindow.wgt.RDat	MIR124-1HG	8	9257574	10260839	0.0358	rs6984111	 5.87	rs877390	 0.009563	  5.27	 0.3779	609	  1	top1	0.0096	0.0013	 0.378	0.7055
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ATP6V0D2_1Mwindow.wgt.RDat	ATP6V0D2	8	86611139	87666454	0.0397	rs4961198	 2.85	rs1863580	-0.000988	  5.02	 0.9875	298	298	blup	-0.00064	0.54	-0.988	0.3232
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NCALD_1Mwindow.wgt.RDat	NCALD	8	102198770	103637135	0.0335	rs2168689	 4.12	rs648119	 0.007688	 -4.31	 1.2029	699	699	blup	0.009	0.0019	-1.343	0.1794
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DENND3_1Mwindow.wgt.RDat	DENND3	8	141638688	142705903	0.0856	rs11167021	-3.74	rs7462379	 0.053243	  8.35	 1.8511	452	  1	lasso	0.065	5.2e-16	 1.339	0.1806
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RIMS2_1Mwindow.wgt.RDat	RIMS2	8	104012838	105768322	0.0521	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.0043	0.023	    NA	    NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FAM110B_1Mwindow.wgt.RDat	FAM110B	8	58407082	59561343	0.0594	rs7845957	 3.30	rs6471703	 0.066455	  8.22	 1.0362	523	  1	top1	0.066	2.2e-16	 1.036	0.3001
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MSC_1Mwindow.wgt.RDat	MSC	8	72253795	73256647	0.1088	rs10091093	 3.02	rs2035376	 0.021862	  6.51	 0.5493	542	  5	lasso	0.061	3.2e-15	-0.773	0.4397
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FDFT1_1Mwindow.wgt.RDat	FDFT1	8	11153091	12196818	0.0336	rs11777273	 3.05	rs2645415	 0.000379	 -3.30	 0.5584	450	450	blup	0.0024	0.068	-0.819	0.4128
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC01606_1Mwindow.wgt.RDat	LINC01606	8	57630835	58645513	0.0225	rs7845957	 3.30	rs6474100	-0.000779	  5.32	 0.7402	397	  1	top1	-0.00078	0.62	 0.740	0.4592
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NAPRT_1Mwindow.wgt.RDat	NAPRT	8	144156955	145160500	0.1326	rs3812436	 2.15	rs10282929	 0.093983	 -9.98	 0.2727	347	  1	top1	0.094	9.9e-23	-0.273	0.7851
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.HMBOX1_1Mwindow.wgt.RDat	HMBOX1	8	28247912	29410787	0.1255	rs11786952	 4.23	rs1487969	 0.155724	-11.10	 2.0452	451	  3	lasso	0.16	4.1e-38	-2.085	0.0371
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MAF1_1Mwindow.wgt.RDat	MAF1	8	144659364	145662514	0.0324	rs3757971	 2.95	rs7836836	 0.001651	 -4.08	 1.6072	222	222	blup	0.0047	0.018	-1.437	0.1508
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SMIM19_1Mwindow.wgt.RDat	SMIM19	8	41896291	42910338	0.0237	rs16891454	 2.23	rs2974340	 0.020520	  5.07	 0.8211	212	  1	top1	0.021	4.6e-06	 0.821	0.4116
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PTP4A3_1Mwindow.wgt.RDat	PTP4A3	8	141902121	142942554	0.1584	rs11167021	-3.80	rs6578177	 0.131269	 11.46	 1.3751	464	  1	top1	0.13	1.3e-31	 1.375	0.1691
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LRRC14_1Mwindow.wgt.RDat	LRRC14	8	145243376	146250556	0.0185	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0072	0.0048	    NA	    NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FGFR1_1Mwindow.wgt.RDat	FGFR1	8	37768661	38826153	0.0365	rs2445007	 3.50	rs881301	 0.023657	  5.17	 2.0215	280	  1	top1	0.024	9.1e-07	 2.022	0.0432
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PIP4P2_1Mwindow.wgt.RDat	PIP4P2	8	91506030	92553087	0.0257	rs2187983	 2.86	rs10111737	 0.017790	  5.29	-0.0840	313	313	blup	0.021	3.4e-06	 0.531	0.5953
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CSGALNACT1_1Mwindow.wgt.RDat	CSGALNACT1	8	18761672	20115419	0.1082	rs1979680	 3.72	rs4427190	 0.096675	  9.87	 2.0142	919	  1	top1	0.097	2.3e-23	 2.014	0.0440
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TPD52_1Mwindow.wgt.RDat	TPD52	8	80443317	81583799	0.0710	rs400824	 2.80	rs717340	 0.069973	  8.23	 0.6761	417	  1	top1	0.07	3.5e-17	 0.676	0.4990
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MTUS1_1Mwindow.wgt.RDat	MTUS1	8	17001311	18159030	0.0364	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.014	0.00012	    NA	    NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FOXH1_1Mwindow.wgt.RDat	FOXH1	8	145198795	146201232	0.0174	rs3757971	 2.95	rs2722486	 0.005505	  4.58	 1.1326	172	  1	top1	0.0055	0.012	 1.133	0.2574
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.HHLA1_1Mwindow.wgt.RDat	HHLA1	8	132573727	133623404	0.0323	rs2673603	 3.14	rs3779968	-0.001022	  4.31	 0.3562	589	  1	top1	-0.001	0.91	 0.356	0.7217
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CPQ_1Mwindow.wgt.RDat	CPQ	8	97157470	98655729	0.0524	rs10093864	 2.60	rs2651447	 0.006922	 -5.04	 0.1986	616	  1	top1	0.0069	0.0055	-0.199	0.8426
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TUSC3_1Mwindow.wgt.RDat	TUSC3	8	14897596	16124158	0.0995	rs12680843	 4.04	rs1495070	 0.001738	  4.58	 0.6720	927	927	blup	0.0025	0.065	-0.403	0.6870
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RPL8_1Mwindow.wgt.RDat	RPL8	8	145515154	146517775	0.1568	rs3757971	 2.95	rs11784860	 0.254417	 15.11	 1.0531	190	  1	top1	0.25	8e-64	 1.053	0.2923
