PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SYNE2_1Mwindow.wgt.RDat	SYNE2	14	63819722	65193167	0.0383	rs8021563	-3.50	rs11158515	 0.033794	  6.11	 0.4632	505	  1	top1	0.034	5e-09	 0.463	0.6432
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPL36AL_1Mwindow.wgt.RDat	RPL36AL	14	49585248	50587344	0.0591	rs12891892	 2.80	rs7146248	 0.062031	 -8.32	 0.2153	360	  1	top1	0.062	2.3e-15	-0.215	0.8295
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRAV41_1Mwindow.wgt.RDat	TRAV41	14	22288620	23289123	0.0345	rs12891079	 3.54	rs1263656	-0.000346	  3.97	 0.4009	707	707	blup	0.0096	0.0013	-0.137	0.8912
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FUT8-AS1_1Mwindow.wgt.RDat	FUT8-AS1	14	65377310	66379335	0.0171	rs2412107	 2.85	rs11847263	 0.000073	 -3.48	-0.0196	371	371	blup	0.0083	0.0026	-0.936	0.3491
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC25A29_1Mwindow.wgt.RDat	SLC25A29	14	100257453	101272781	0.0635	rs11846102	 4.57	rs1059264	 0.053685	  8.05	 2.5291	405	  1	lasso	0.054	1.7e-13	 2.529	0.0114
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MARK3_1Mwindow.wgt.RDat	MARK3	14	103351752	104470168	0.0191	rs11623869	-4.03	rs12879663	 0.006218	 -4.11	 2.7189	385	385	blup	0.01	0.00089	-1.251	0.2108
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.POLE2_1Mwindow.wgt.RDat	POLE2	14	49610273	50654932	0.0183	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.012	0.00035	    NA	    NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ESR2_1Mwindow.wgt.RDat	ESR2	14	64193425	65305331	0.1895	rs8021563	-3.50	rs8018687	 0.123930	 11.04	 1.3161	503	  7	enet	0.13	1.8e-31	 0.411	0.6810
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C14orf132_1Mwindow.wgt.RDat	C14orf132	14	96005699	97060308	0.0890	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.06	5.6e-15	    NA	    NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LIN52_1Mwindow.wgt.RDat	LIN52	14	74051659	75168196	0.0182	rs28548133	 2.65	rs4903202	 0.015292	  4.73	 0.9120	453	  1	top1	0.015	6.8e-05	 0.912	0.3618
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SDR39U1_1Mwindow.wgt.RDat	SDR39U1	14	24408972	25412049	0.0278	rs10483287	 3.38	rs10140911	-0.000704	 -4.11	-0.7382	557	  2	lasso	0.0089	0.0019	-1.225	0.2207
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FNTB_1Mwindow.wgt.RDat	FNTB	14	64953613	66029368	0.0315	rs229677	-3.21	rs7158239	 0.016957	  5.35	 1.2914	484	  1	top1	0.017	2.9e-05	 1.291	0.1966
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CFL2_1Mwindow.wgt.RDat	CFL2	14	34678319	35683799	0.0366	rs2254990	 4.17	rs17525149	 0.019845	  4.71	-1.5254	397	  1	lasso	0.022	1.7e-06	 0.503	0.6152
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ACOT4_1Mwindow.wgt.RDat	ACOT4	14	73558577	74562470	0.0360	rs8013402	 2.79	rs4903128	 0.023751	 -4.42	-0.7964	361	  1	top1	0.024	8.6e-07	 0.796	0.4258
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.INF2_1Mwindow.wgt.RDat	INF2	14	104655955	105688872	0.0440	rs2841279	-3.14	rs11160818	 0.005791	 -4.46	-0.8177	353	353	blup	0.015	7.2e-05	 1.679	0.0932
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ERH_1Mwindow.wgt.RDat	ERH	14	69346845	70365016	0.0226	rs1275195	 5.02	rs1275207	 0.000486	  3.88	-0.1763	437	437	blup	0.007	0.0052	 0.449	0.6535
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GLRX5_1Mwindow.wgt.RDat	GLRX5	14	95501387	96511051	0.0561	rs910792	 3.85	rs17092105	 0.001996	 -4.46	 0.7959	671	671	blup	0.0048	0.017	 1.053	0.2922
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ATG14_1Mwindow.wgt.RDat	ATG14	14	55333109	56378548	0.0403	rs11622351	 3.07	rs12880540	 0.000592	 -4.15	 0.6773	430	430	blup	0.014	0.00011	-1.003	0.3159
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM121_1Mwindow.wgt.RDat	TMEM121	14	105492920	106496535	0.0256	rs3803322	 2.47	rs11628497	 0.017793	 -5.12	-0.1354	104	  1	top1	0.018	1.9e-05	 0.135	0.8923
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.BEGAIN_1Mwindow.wgt.RDat	BEGAIN	14	100503484	101553754	0.0569	rs11846102	 4.57	rs4073738	 0.028435	 -5.92	 1.0659	423	  1	top1	0.028	7.8e-08	-1.066	0.2865
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NUDT14_1Mwindow.wgt.RDat	NUDT14	14	105139276	106147649	0.0337	rs2841279	-3.14	rs9788593	-0.000843	  2.81	 1.7307	231	231	blup	0.004	0.028	 2.176	0.0296
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GMFB_1Mwindow.wgt.RDat	GMFB	14	54441203	55455698	0.0298	rs41333449	-3.90	rs9646153	 0.003465	 -4.41	 1.5736	425	  2	lasso	0.012	3e-04	-1.452	0.1464
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC7A8_1Mwindow.wgt.RDat	SLC7A8	14	23094504	24152869	0.1825	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.13	1e-31	    NA	    NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FBLN5_1Mwindow.wgt.RDat	FBLN5	14	91835755	92914038	0.1621	rs1951245	 3.29	rs2284339	 0.144561	-11.47	 0.7442	495	  1	top1	0.14	7.2e-35	-0.744	0.4568
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MIDEAS_1Mwindow.wgt.RDat	MIDEAS	14	73681825	74753911	0.0248	rs8013402	 2.79	rs7150772	 0.008323	 -4.43	 1.2353	424	  1	top1	0.0083	0.0026	-1.235	0.2167
