PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.SIK1_1Mwindow.wgt.RDat	SIK1	21	44334363	45347011	0.0670	rs2839613	 3.45	rs643853	 1.90e-02	 5.29	 1.254	428	428	blup	0.019	8.4e-06	 0.912	0.3616
B_memory	RA_only/B_memory_5pcs_all/B_memory.YBEY_1Mwindow.wgt.RDat	YBEY	21	47206256	48217665	0.0541	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.042	8.4e-11	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.PCBP3_1Mwindow.wgt.RDat	PCBP3	21	46563639	47862364	0.0393	rs11702425	-6.32	rs9637167	-3.70e-05	 3.41	 1.227	607	607	blup	0.0069	0.0057	-1.599	0.1099
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00205_1Mwindow.wgt.RDat	LINC00205	21	46207967	47217269	0.0320	rs11702425	-6.32	rs2838751	-3.54e-04	 3.21	 1.200	477	477	blup	0.003	0.048	 0.288	0.7735
B_memory	RA_only/B_memory_5pcs_all/B_memory.COL6A1_1Mwindow.wgt.RDat	COL6A1	21	46901684	47924962	0.0835	rs11702425	-6.32	rs7275336	 2.60e-02	 9.02	-1.555	467	  1	top1	0.026	2.8e-07	-1.555	0.1199
B_memory	RA_only/B_memory_5pcs_all/B_memory.SLC5A3_1Mwindow.wgt.RDat	SLC5A3	21	34945878	35978559	0.0492	rs9647067	 3.33	rs16997893	 3.32e-02	-6.18	-1.711	462	  1	top1	0.033	7e-09	 1.711	0.0871
B_memory	RA_only/B_memory_5pcs_all/B_memory.CSTB_1Mwindow.wgt.RDat	CSTB	21	44693831	45696189	0.0537	rs7276207	-2.75	rs2838367	 4.09e-02	-6.78	 1.655	422	  1	lasso	0.051	8.4e-13	-1.655	0.0979
B_memory	RA_only/B_memory_5pcs_all/B_memory.MRPS6_1Mwindow.wgt.RDat	MRPS6	21	34945878	36015330	0.0474	rs9647067	 3.33	rs9305540	 2.91e-02	-5.70	-1.555	478	  1	top1	0.029	5.8e-08	 1.555	0.1199
B_memory	RA_only/B_memory_5pcs_all/B_memory.U2AF1_1Mwindow.wgt.RDat	U2AF1	21	44013066	45027688	0.1086	rs2839613	 3.45	rs4920040	 7.86e-02	-8.96	 0.994	484	  6	enet	0.083	4.9e-20	-0.635	0.5253
B_memory	RA_only/B_memory_5pcs_all/B_memory.TSPEAR-AS2_1Mwindow.wgt.RDat	TSPEAR-AS2	21	45437098	46438860	0.0556	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.15	5.8e-35	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.CCT8_1Mwindow.wgt.RDat	CCT8	21	29928647	30945969	0.0552	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.046	7.9e-12	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00649_1Mwindow.wgt.RDat	LINC00649	21	34803426	35843487	0.0292	rs9647067	 3.33	rs2834315	 8.01e-05	-3.56	-1.311	429	429	blup	0.012	0.00043	-0.132	0.8950
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00334_1Mwindow.wgt.RDat	LINC00334	21	46154255	47178645	0.0773	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.0081	0.003	    NA	    NA
