PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ADAMTS6_1Mwindow.wgt.RDat	ADAMTS6	5	63944565	65277747	0.0366	rs10491469	 -4.80	rs266590	 0.019045	-4.68	  2.137	522	  1	top1	0.019	1e-05	-2.1374	3.26e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CXCL14_1Mwindow.wgt.RDat	CXCL14	5	134406369	135414681	0.0438	rs2069885	  3.85	rs10045924	-0.000906	 5.04	 -1.228	532	532	blup	-0.00076	0.6	-0.0711	9.43e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02234_1Mwindow.wgt.RDat	LINC02234	5	96676462	97759179	0.8538	rs1124028	 -3.80	rs1378438	 0.008649	 4.27	  0.462	303	  1	top1	0.0086	0.0022	 0.4615	6.44e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.HMHB1_1Mwindow.wgt.RDat	HMHB1	5	142691726	143700281	0.1312	rs6877893	 -6.25	rs17100739	 0.009032	 8.82	  0.946	464	  1	lasso	0.015	7.3e-05	 0.2386	8.11e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.BHMT_1Mwindow.wgt.RDat	BHMT	5	77907632	78928111	0.0661	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	-0.001	0.94	     NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TNIP1_1Mwindow.wgt.RDat	TNIP1	5	149909504	150967246	0.0306	rs1061837	 -9.89	rs10515647	 0.000110	-3.15	 -0.220	615	615	blup	0.0036	0.035	 1.5789	1.14e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NHP2_1Mwindow.wgt.RDat	NHP2	5	177076464	178080886	0.0385	rs4958955	 -3.46	rs12521560	 0.011347	 4.74	  1.033	387	387	blup	0.012	0.00042	 1.5479	1.22e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.GM2A_1Mwindow.wgt.RDat	GM2A	5	150132746	151150001	0.0681	rs1061837	 -9.89	rs1004736	 0.036582	 6.14	 -8.459	618	  1	top1	0.037	1.3e-09	-8.4592	2.69e-17
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ADAM19_1Mwindow.wgt.RDat	ADAM19	5	156404312	157502783	0.0303	rs4331881	-20.87	rs11134766	 0.024312	-5.43	-15.962	570	  1	top1	0.024	6.9e-07	15.9618	2.36e-57
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC00461_1Mwindow.wgt.RDat	LINC00461	5	87334084	88486858	0.0695	rs17559660	 -4.53	rs302484	-0.000860	 6.27	 -2.761	298	298	blup	0.00015	0.28	 3.4770	5.07e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.BTNL9_1Mwindow.wgt.RDat	BTNL9	5	179967266	180988521	0.0172	rs11738129	 -4.02	rs4078420	 0.010478	 4.95	  1.846	269	  1	top1	0.01	0.00086	 1.8463	6.48e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.0408	rs11948888	 -4.29	rs27993	 0.059563	 7.83	  3.195	501	  1	top1	0.06	9.6e-15	 3.1954	1.40e-03
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PRR7-AS1_1Mwindow.wgt.RDat	PRR7-AS1	5	176364890	177374945	0.0774	rs7719125	 -7.08	rs466256	 0.054398	-7.62	  0.816	237	  1	top1	0.054	1.4e-13	-0.8156	4.15e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DHFR_1Mwindow.wgt.RDat	DHFR	5	79422045	80450802	0.0243	rs3923123	  3.05	rs1643665	 0.006635	 4.11	  2.469	501	501	blup	0.009	0.0018	 3.0707	2.14e-03
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02211_1Mwindow.wgt.RDat	LINC02211	5	24691062	25802389	0.0196	rs1842249	 -2.61	rs7734820	-0.000816	 3.80	  0.629	353	353	blup	0.0016	0.11	 0.7604	4.47e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TEX43_1Mwindow.wgt.RDat	TEX43	5	125467397	126471976	0.0626	rs4835921	 -7.86	rs17154090	-0.001038	 4.60	 -1.923	409	409	blup	-0.001	0.88	-0.8057	4.20e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02213_1Mwindow.wgt.RDat	LINC02213	5	10005102	11022196	0.0456	rs16884244	 -4.25	rs16898829	-0.000975	 3.49	 -0.771	581	  1	top1	-0.00098	0.8	-0.7706	4.41e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PDZD2_1Mwindow.wgt.RDat	PDZD2	5	31139238	32611038	0.0462	rs7725382	 -3.42	rs16901087	-0.000710	 4.06	  0.466	775	775	blup	0.0041	0.026	 1.6241	1.04e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.GTF2H2_1Mwindow.wgt.RDat	GTF2H2	5	69831174	70863503	0.0768	rs4976210	  1.35	rs13168712	 0.041395	 5.75	  0.875	 48	  1	top1	0.041	1.1e-10	 0.8752	3.81e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.FAM81B_1Mwindow.wgt.RDat	FAM81B	5	94227070	95286145	0.9983	rs153911	 14.72	rs1820043	-0.000919	 5.67	 -0.397	472	 27	lasso	0.0011	0.15	-0.1681	8.66e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ANXA2R_1Mwindow.wgt.RDat	ANXA2R	5	42539473	43543349	0.0183	rs12520489	 -6.60	rs9292867	-0.000956	-3.18	 -3.511	304	  1	enet	0.0043	0.024	 0.9795	3.27e-01
