PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.PTENP1-AS_1Mwindow.wgt.RDat	PTENP1-AS	9	33177266	34188009	0.0338	rs10971709	-4.07	rs16933401	 0.039003	 6.56	-0.583	327	  1	top1	0.039	5.6e-10	-0.583	5.60e-01
gdT	RA_only/gdT_5pcs_all/gdT.CTNNAL1_1Mwindow.wgt.RDat	CTNNAL1	9	111204857	112275779	0.0454	rs10816820	-3.76	rs1140064	-0.000168	 4.49	-2.432	634	  1	top1	-0.00017	0.36	-2.432	1.50e-02
gdT	RA_only/gdT_5pcs_all/gdT.LCN8_1Mwindow.wgt.RDat	LCN8	9	139148838	140152995	0.0445	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	-0.00083	0.64	    NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.RORB_1Mwindow.wgt.RDat	RORB	9	76612251	77808093	0.0261	rs2274925	 2.21	rs10746953	 0.002875	 4.33	 0.994	455	  1	lasso	0.0097	0.0014	 0.994	3.20e-01
gdT	RA_only/gdT_5pcs_all/gdT.PLGRKT_1Mwindow.wgt.RDat	PLGRKT	9	4857971	5937925	0.0282	rs10758669	 5.87	rs4742109	 0.001267	 3.90	-0.266	486	486	blup	0.0076	0.0042	 0.985	3.25e-01
gdT	RA_only/gdT_5pcs_all/gdT.IL11RA_1Mwindow.wgt.RDat	IL11RA	9	34152182	35161899	0.0193	rs504082	 6.04	rs10972023	-0.000171	-3.47	-1.015	358	358	blup	0.008	0.0035	 2.556	1.06e-02
gdT	RA_only/gdT_5pcs_all/gdT.SNHG7_1Mwindow.wgt.RDat	SNHG7	9	139119046	140122636	0.0580	rs4880118	-5.22	rs945381	 0.009257	 4.73	-1.476	322	  5	enet	0.022	2.2e-06	-1.314	1.89e-01
gdT	RA_only/gdT_5pcs_all/gdT.PTGDS_1Mwindow.wgt.RDat	PTGDS	9	139371956	140376194	0.0271	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.017	3.6e-05	    NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.FBP1_1Mwindow.wgt.RDat	FBP1	9	96865415	97902545	0.0317	rs12379483	 4.66	rs3739747	 0.002707	-2.71	 1.706	370	  1	top1	0.0027	0.06	-1.706	8.80e-02
gdT	RA_only/gdT_5pcs_all/gdT.NUDT2_1Mwindow.wgt.RDat	NUDT2	9	33829567	34843697	0.0202	rs10971738	-3.72	rs3808876	 0.012518	-3.48	 0.568	345	  1	top1	0.013	0.00034	-0.568	5.70e-01
gdT	RA_only/gdT_5pcs_all/gdT.PGM5P3-AS1_1Mwindow.wgt.RDat	PGM5P3-AS1	9	0	588826	0.0352	rs10813766	25.34	rs10491689	-0.001057	 6.27	-5.932	333	  1	lasso	0.06	1.4e-14	-5.932	2.99e-09
gdT	RA_only/gdT_5pcs_all/gdT.TLE4_1Mwindow.wgt.RDat	TLE4	9	81686880	82841797	0.0323	rs4877149	-3.09	rs11138328	 0.005188	 4.33	-0.739	561	561	blup	0.0058	0.011	 0.356	7.22e-01
gdT	RA_only/gdT_5pcs_all/gdT.DNAJB5_1Mwindow.wgt.RDat	DNAJB5	9	34489742	35498897	0.0302	rs504082	 6.04	rs10972262	 0.003080	 4.54	 0.755	337	337	blup	0.0077	0.004	 4.036	5.43e-05
gdT	RA_only/gdT_5pcs_all/gdT.TRMO_1Mwindow.wgt.RDat	TRMO	9	100159137	101184782	0.0321	rs7025609	-6.28	rs3780420	 0.003559	 4.88	-5.782	490	490	blup	0.013	0.00032	-3.614	3.01e-04
gdT	RA_only/gdT_5pcs_all/gdT.RPL12_1Mwindow.wgt.RDat	RPL12	9	129709953	130713685	0.0217	rs913987	 3.17	rs13292096	 0.005678	-4.71	-1.311	348	348	blup	0.012	0.00045	 0.530	5.96e-01
