PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ATP5MJ_1Mwindow.wgt.RDat	ATP5MJ	14	103878625	104887866	0.0202	rs2403197	 2.60	rs11850704	 0.017368	 -4.97	 0.9200	319	  1	top1	0.017	2.3e-05	-0.9200	0.35757
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.OR4Q3_1Mwindow.wgt.RDat	OR4Q3	14	19715587	20716528	0.9564	rs1188535	 3.16	rs11846995	-0.000819	  4.12	 0.1946	163	  7	lasso	-0.00041	0.44	-1.0269	0.30446
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.IGHV2-5_1Mwindow.wgt.RDat	IGHV2-5	14	105994134	106994577	0.1388	NA	   NA	NA	       NA	    NA	     NA	  8	  0	top1	0.0015	0.11	     NA	     NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RPPH1_1Mwindow.wgt.RDat	RPPH1	14	20311230	21311570	0.0359	rs1270408	 3.38	rs3093939	 0.000545	 -4.09	-2.4380	577	577	blup	0.0055	0.012	 1.2422	0.21415
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TRAV29DV5_1Mwindow.wgt.RDat	TRAV29DV5	14	22131245	23131766	0.0367	rs1882705	 3.35	rs12879331	-0.000902	  3.60	-1.0710	691	691	blup	0.0034	0.038	-0.1932	0.84682
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CEP128_1Mwindow.wgt.RDat	CEP128	14	80462822	81908082	0.0317	rs1885601	 3.32	rs179249	 0.000227	 -3.91	 0.6270	564	564	blup	0.01	0.00087	-2.1516	0.03143
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CDCA4_1Mwindow.wgt.RDat	CDCA4	14	104975910	105987420	0.0198	rs8013827	 2.47	rs7158479	 0.007203	 -3.64	 1.4820	289	  1	top1	0.0072	0.0047	-1.4820	0.13834
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RPL36AL_1Mwindow.wgt.RDat	RPL36AL	14	49585248	50587344	0.1668	rs11620675	-2.59	rs7146248	 0.264003	-16.05	-1.4800	360	  1	top1	0.26	1.5e-66	 1.4800	0.13887
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ESR2_1Mwindow.wgt.RDat	ESR2	14	64193425	65305331	0.2256	rs17102161	-2.62	rs944045	 0.162102	 13.00	-0.5750	503	  6	lasso	0.21	7e-52	-0.5324	0.59444
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CPSF2_1Mwindow.wgt.RDat	CPSF2	14	92088313	93138489	0.0252	rs4904864	-3.32	rs3814833	 0.008099	 -4.49	 0.3370	544	  1	top1	0.0081	0.0029	-0.3370	0.73612
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LGALS3_1Mwindow.wgt.RDat	LGALS3	14	55095970	56112148	0.0162	rs12893610	-3.56	rs10144418	 0.010551	  4.22	-0.3070	405	  1	top1	0.011	8e-04	-0.3070	0.75884
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.WDR25_1Mwindow.wgt.RDat	WDR25	14	100342822	101496640	0.0350	rs11160562	 3.03	rs1951519	-0.000382	 -3.37	 0.2030	462	462	blup	0.0047	0.019	-0.7592	0.44773
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LIN52_1Mwindow.wgt.RDat	LIN52	14	74051659	75168196	0.0204	rs17782520	-2.94	rs2358630	 0.008471	  4.44	 1.0230	453	  1	top1	0.0085	0.0024	 1.0230	0.30631
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TMEM121_1Mwindow.wgt.RDat	TMEM121	14	105492920	106496535	0.0435	NA	   NA	NA	       NA	    NA	     NA	104	  0	top1	0.05	9.5e-13	     NA	     NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CKB_1Mwindow.wgt.RDat	CKB	14	103486004	104489167	0.0417	rs8022345	-2.88	rs11622835	 0.017470	  5.43	-1.1330	350	  1	top1	0.017	2.2e-05	-1.1330	0.25721
