PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.NQO2_1Mwindow.wgt.RDat	NQO2	6	2500128	3519989	0.0609	rs9392465	 -9.60	rs4149370	 0.013441	  5.19	 2.064	649	649	blup	0.027	2.6e-07	 -2.190	 2.86e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TSPYL4_1Mwindow.wgt.RDat	TSPYL4	6	116071127	117075238	0.0389	rs1336974	 -3.94	rs2858844	 0.011915	 -4.56	-1.227	374	  1	lasso	0.015	9.6e-05	  1.227	 2.20e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PEX6_1Mwindow.wgt.RDat	PEX6	6	42431603	43446919	0.0273	rs2268684	  3.16	rs3763236	 0.012348	 -4.34	-0.372	341	  1	top1	0.012	4e-04	  0.372	 7.10e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CALHM6_1Mwindow.wgt.RDat	CALHM6	6	116282538	117284934	0.0897	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.038	1.4e-09	     NA	       NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CARMIL1_1Mwindow.wgt.RDat	CARMIL1	6	24779602	26120758	0.0438	rs1800562	-60.45	rs17317669	 0.001008	  4.57	 3.121	830	830	blup	0.01	0.0011	  4.998	 5.79e-07
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.BTN3A2_1Mwindow.wgt.RDat	BTN3A2	6	25865426	26878548	0.0427	rs1800562	-62.28	rs9467704	 0.018004	 -5.10	18.220	541	541	blup	0.022	2.9e-06	-25.644	4.99e-145
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.BTN2A1_1Mwindow.wgt.RDat	BTN2A1	6	25958183	26976850	0.0228	rs1800562	-62.66	rs1985732	-0.000838	  3.69	11.852	488	488	blup	0.0047	0.02	  9.671	 3.99e-22
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.RPS12_1Mwindow.wgt.RDat	RPS12	6	132635708	133638703	0.0287	rs3813356	  9.45	rs17061930	 0.004859	  3.81	 0.613	541	541	blup	0.0057	0.012	  0.742	 4.58e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.BTBD9_1Mwindow.wgt.RDat	BTBD9	6	37636227	39107705	0.0410	rs6932648	  2.51	rs9470825	-0.000477	  4.41	-0.013	683	683	blup	0.0029	0.054	 -0.909	 3.64e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TMEM200A_1Mwindow.wgt.RDat	TMEM200A	6	130187162	131264212	0.0539	rs915172	 -4.57	rs6924980	 0.024441	  5.02	 1.598	527	  1	top1	0.024	9.8e-07	  1.598	 1.10e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.VTA1_1Mwindow.wgt.RDat	VTA1	6	141968400	143045822	0.0278	rs7750359	 -3.69	rs9496268	-0.000610	 -3.74	-3.547	348	348	blup	0.00074	0.19	  2.481	 1.31e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SNHG5_1Mwindow.wgt.RDat	SNHG5	6	85886725	86888451	0.1435	rs17443200	  4.14	rs1059307	 0.177459	-12.93	 0.583	329	  1	top1	0.18	1.5e-41	 -0.583	 5.60e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.0251	rs4895441	-42.79	rs7750586	 0.002118	 -3.77	-4.651	432	432	blup	0.013	0.00031	 24.001	2.72e-127
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.RPL10A_1Mwindow.wgt.RDat	RPL10A	6	34936178	35938557	0.0300	rs9348957	  7.84	rs2284197	-0.001066	 -4.57	 2.737	427	427	blup	-0.00038	0.42	 -4.158	 3.21e-05
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MDGA1_1Mwindow.wgt.RDat	MDGA1	6	37098455	38165659	0.0627	rs262908	  2.79	rs6938061	 0.001840	  4.37	-1.476	463	463	blup	0.017	4.4e-05	 -0.650	 5.15e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MANEA-DT_1Mwindow.wgt.RDat	MANEA-DT	6	95507972	96525327	0.0217	rs4579361	 -4.53	rs10498990	 0.011753	 -3.62	-1.175	314	  1	top1	0.012	0.00054	  1.175	 2.40e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.B3GAT2_1Mwindow.wgt.RDat	B3GAT2	6	71066382	72166763	0.0370	NA	    NA	NA	       NA	    NA	    NA	  0	  0	enet	0.0033	0.043	     NA	       NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.RNASET2_1Mwindow.wgt.RDat	RNASET2	6	166835601	167870038	0.0178	rs3817783	 -3.65	rs1894603	 0.005390	 -4.58	 1.036	682	682	blup	0.0072	0.0054	 -1.071	 2.84e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PTPRK-AS1_1Mwindow.wgt.RDat	PTPRK-AS1	6	127849010	128907438	0.0408	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	-7e-04	0.55	     NA	       NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TSTD3_1Mwindow.wgt.RDat	TSTD3	6	99468925	100481061	0.0339	rs9389250	  3.09	rs12198321	 0.011125	  4.42	-1.818	467	467	blup	0.012	0.00059	 -2.671	 7.55e-03
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CCDC167_1Mwindow.wgt.RDat	CCDC167	6	36950714	37967669	0.0450	rs831489	 -4.08	rs914349	 0.038954	 -6.45	 0.583	473	  1	top1	0.039	7.5e-10	 -0.583	 5.60e-01
