PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.MIAT_1Mwindow.wgt.RDat	MIAT	22	26553446	27572441	0.0879	rs6005084	 3.56	rs9625066	 0.072282	  8.47	-0.7540	863	  1	top1	0.072	1e-17	-0.7540	0.4508
NK	RA_only/NK_5pcs_all/NK.LRRC75B_1Mwindow.wgt.RDat	LRRC75B	22	24481603	25489040	0.0295	rs9612745	 2.46	rs5760492	 0.004197	 -3.58	 1.3454	351	351	blup	0.011	7e-04	-1.6345	0.1022
NK	RA_only/NK_5pcs_all/NK.GRAMD4_1Mwindow.wgt.RDat	GRAMD4	22	46472985	47578653	0.0317	rs11090819	 2.72	rs9616086	 0.006614	  4.07	-0.3460	559	  1	top1	0.0066	0.0065	-0.3460	0.7293
NK	RA_only/NK_5pcs_all/NK.TYMP_1Mwindow.wgt.RDat	TYMP	22	50464181	51468514	0.0394	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.011	7e-04	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.GCAT_1Mwindow.wgt.RDat	GCAT	22	37703941	38713190	0.0223	rs132946	 3.17	rs11703407	 0.008779	  4.69	-1.1540	341	  5	enet	0.013	0.00025	-1.1653	0.2439
NK	RA_only/NK_5pcs_all/NK.APOBEC3C_1Mwindow.wgt.RDat	APOBEC3C	22	38910262	39916357	0.0444	rs2235137	 2.75	rs139316	 0.001903	 -3.95	-0.2250	371	371	blup	0.026	3.2e-07	-0.7746	0.4386
NK	RA_only/NK_5pcs_all/NK.MIF_1Mwindow.wgt.RDat	MIF	22	23736570	24737410	0.2684	rs5760101	-3.19	rs4822443	 0.181443	-14.14	 1.2120	381	  6	enet	0.32	5.6e-82	-1.3948	0.1631
NK	RA_only/NK_5pcs_all/NK.IGLL1_1Mwindow.wgt.RDat	IGLL1	22	23415312	24422477	0.0492	rs5760101	-3.19	rs6003826	 0.042038	  7.03	-0.2880	430	  1	top1	0.042	7e-11	-0.2880	0.7733
NK	RA_only/NK_5pcs_all/NK.EFCAB6-AS1_1Mwindow.wgt.RDat	EFCAB6-AS1	22	43412134	44432485	0.0646	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.00017	0.28	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.TTC38_1Mwindow.wgt.RDat	TTC38	22	46163905	47189905	0.1283	NA	   NA	NA	       NA	    NA	     NA	421	  0	lasso	0.098	9e-24	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.RPL3_1Mwindow.wgt.RDat	RPL3	22	39208887	40215628	0.0770	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.052	5.2e-13	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.SNAP29_1Mwindow.wgt.RDat	SNAP29	22	20713295	21745502	0.0599	rs9625334	 2.82	rs178048	 0.032158	  6.78	 0.2090	365	365	blup	0.055	1e-13	 0.1044	0.9169
NK	RA_only/NK_5pcs_all/NK.DDT_1Mwindow.wgt.RDat	DDT	22	23813559	24822695	0.0425	rs5760101	-3.19	rs9624364	 0.017025	 -5.70	-1.1115	370	  2	enet	0.024	9.3e-07	 1.1204	0.2625
NK	RA_only/NK_5pcs_all/NK.DDTL_1Mwindow.wgt.RDat	DDTL	22	23809076	24814745	0.0577	rs5760101	-3.19	rs5742303	 0.066477	  7.73	-1.4422	368	  1	top1	0.066	2.1e-16	-1.4422	0.1493
NK	RA_only/NK_5pcs_all/NK.SMDT1_1Mwindow.wgt.RDat	SMDT1	22	41975704	42980288	0.1216	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.22	6.3e-54	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.LINC02556_1Mwindow.wgt.RDat	LINC02556	22	23168803	24170680	0.0387	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0059	0.0095	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.SYNGR1_1Mwindow.wgt.RDat	SYNGR1	22	39245996	40281580	0.2134	NA	   NA	NA	       NA	    NA	     NA	371	  0	enet	0.23	1.1e-56	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.LZTR1_1Mwindow.wgt.RDat	LZTR1	22	20836586	21853321	0.0250	rs9625334	 2.82	rs653137	-0.001029	 -3.33	-0.8640	302	302	blup	0.007	0.0054	 0.2411	0.8094
NK	RA_only/NK_5pcs_all/NK.CRYBB2_1Mwindow.wgt.RDat	CRYBB2	22	25115606	26127836	0.4164	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.49	3.4e-144	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.UBE2L3_1Mwindow.wgt.RDat	UBE2L3	22	21403736	22478323	0.0267	rs1016547	-2.67	rs2298429	 0.021282	 -4.92	-1.2510	295	  1	top1	0.021	3e-06	 1.2510	0.2109
NK	RA_only/NK_5pcs_all/NK.RSPH14_1Mwindow.wgt.RDat	RSPH14	22	22901593	23984177	0.0413	rs5996419	 2.11	rs5759624	 0.020735	  5.94	 0.3780	340	  1	top1	0.021	4e-06	 0.3780	0.7054
NK	RA_only/NK_5pcs_all/NK.ARHGAP8_1Mwindow.wgt.RDat	ARHGAP8	22	44648455	45758664	0.0413	rs9614922	 2.83	rs3761481	 0.003513	  4.33	 0.7380	736	  2	enet	0.011	5e-04	-1.8561	0.0634
NK	RA_only/NK_5pcs_all/NK.APOBEC3G_1Mwindow.wgt.RDat	APOBEC3G	22	38973010	39983748	0.1205	NA	   NA	NA	       NA	    NA	     NA	386	  0	enet	0.11	6.8e-26	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.FAM118A_1Mwindow.wgt.RDat	FAM118A	22	45204841	46237836	0.2021	rs720682	-2.69	rs3827393	 0.228942	 15.15	 0.2340	586	  9	enet	0.23	5.5e-58	 0.2671	0.7894
NK	RA_only/NK_5pcs_all/NK.MEI1_1Mwindow.wgt.RDat	MEI1	22	41595507	42695458	0.0261	rs10483213	 7.69	rs132793	 0.014224	  4.55	-0.3650	326	  1	top1	0.014	0.00012	-0.3650	0.7151
NK	RA_only/NK_5pcs_all/NK.PARVB_1Mwindow.wgt.RDat	PARVB	22	43895091	45068819	0.0775	rs130318	-2.92	rs6006622	 0.070169	  8.35	-0.0870	777	  2	lasso	0.079	2.3e-19	-0.1273	0.8987
