PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RPL23A_1Mwindow.wgt.RDat	RPL23A	17	26547003	27551377	0.0270	rs9912465	-3.97	rs3744638	-0.001069	-3.55	 0.55574	303	303	blup	0.0054	0.014	 1.7130	0.086711
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ABCC3_1Mwindow.wgt.RDat	ABCC3	17	48212242	49269614	0.0588	NA	   NA	NA	       NA	   NA	      NA	  0	  0	enet	0.042	1.4e-10	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC01977_1Mwindow.wgt.RDat	LINC01977	17	77297251	78301503	0.0503	rs4790035	 3.05	rs1663196	-0.001052	 5.11	-0.92300	420	  1	lasso	0.16	1.6e-37	-0.9230	0.356007
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CSF3_1Mwindow.wgt.RDat	CSF3	17	37671693	38674066	0.0125	NA	   NA	NA	       NA	   NA	      NA	  0	  0	lasso	0.053	7.6e-13	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RAD51C_1Mwindow.wgt.RDat	RAD51C	17	56269934	57312972	0.0398	rs758377	 2.52	rs2877877	 0.013899	 4.77	-0.15600	220	220	blup	0.024	1.1e-06	 0.6853	0.493147
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TOB1-AS1_1Mwindow.wgt.RDat	TOB1-AS1	17	48444040	49445732	0.0342	rs2214566	-2.73	rs2428684	-0.000606	-3.43	 1.32800	386	386	blup	0.013	0.00027	-1.5608	0.118567
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KCNH4_1Mwindow.wgt.RDat	KCNH4	17	39808909	40833160	0.0484	NA	   NA	NA	       NA	   NA	      NA	  0	  0	lasso	-0.00088	0.67	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TMEM220_1Mwindow.wgt.RDat	TMEM220	17	10114450	11133340	0.0372	rs7226199	 2.68	rs9898817	 0.021761	 5.46	-0.70700	479	  1	top1	0.022	3.8e-06	-0.7070	0.479566
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.MYO1D_1Mwindow.wgt.RDat	MYO1D	17	30319540	31704142	0.0575	NA	   NA	NA	       NA	   NA	      NA	  0	  0	lasso	0.012	0.00049	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NME1_1Mwindow.wgt.RDat	NME1	17	48730920	49739529	0.0194	rs16949202	 2.54	rs16949649	 0.004423	 4.07	-0.31000	412	412	blup	0.01	0.0013	-0.7860	0.431879
