PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SYNE2_1Mwindow.wgt.RDat	SYNE2	14	63819722	65193167	0.0383	rs11158542	 2.55	rs11158515	 0.033794	  6.11	-0.463	505	  1	top1	0.034	5e-09	-0.463	6.43e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPL36AL_1Mwindow.wgt.RDat	RPL36AL	14	49585248	50587344	0.0591	rs6572630	 2.49	rs7146248	 0.062031	 -8.32	-0.564	360	  1	top1	0.062	2.3e-15	 0.564	5.73e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRAV41_1Mwindow.wgt.RDat	TRAV41	14	22288620	23289123	0.0345	rs4982566	 2.93	rs1263656	-0.000346	  3.97	-0.984	707	707	blup	0.0096	0.0013	-0.661	5.09e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FUT8-AS1_1Mwindow.wgt.RDat	FUT8-AS1	14	65377310	66379335	0.0171	rs4902368	 4.09	rs11847263	 0.000073	 -3.48	 0.758	371	371	blup	0.0083	0.0026	 0.160	8.73e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC25A29_1Mwindow.wgt.RDat	SLC25A29	14	100257453	101272781	0.0635	rs7151749	 3.37	rs1059264	 0.053685	  8.05	 0.300	405	  1	lasso	0.054	1.7e-13	 0.300	7.64e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MARK3_1Mwindow.wgt.RDat	MARK3	14	103351752	104470168	0.0191	rs2296487	 3.79	rs12879663	 0.006218	 -4.11	 3.560	385	385	blup	0.01	0.00089	-2.863	4.20e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.POLE2_1Mwindow.wgt.RDat	POLE2	14	49610273	50654932	0.0183	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.012	0.00035	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ESR2_1Mwindow.wgt.RDat	ESR2	14	64193425	65305331	0.1895	rs11158542	 2.55	rs8018687	 0.123930	 11.04	-0.239	503	  7	enet	0.13	1.8e-31	-1.305	1.92e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C14orf132_1Mwindow.wgt.RDat	C14orf132	14	96005699	97060308	0.0890	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.06	5.6e-15	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LIN52_1Mwindow.wgt.RDat	LIN52	14	74051659	75168196	0.0182	rs12717560	 2.91	rs4903202	 0.015292	  4.73	 0.475	453	  1	top1	0.015	6.8e-05	 0.475	6.35e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SDR39U1_1Mwindow.wgt.RDat	SDR39U1	14	24408972	25412049	0.0278	rs854334	-4.53	rs10140911	-0.000704	 -4.11	-3.533	557	  2	lasso	0.0089	0.0019	 4.186	2.84e-05
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FNTB_1Mwindow.wgt.RDat	FNTB	14	64953613	66029368	0.0315	rs4902368	 4.09	rs7158239	 0.016957	  5.35	 1.832	484	  1	top1	0.017	2.9e-05	 1.832	6.70e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CFL2_1Mwindow.wgt.RDat	CFL2	14	34678319	35683799	0.0366	rs3783316	-2.94	rs17525149	 0.019845	  4.71	-0.356	397	  1	lasso	0.022	1.7e-06	 2.887	3.89e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ACOT4_1Mwindow.wgt.RDat	ACOT4	14	73558577	74562470	0.0360	rs4903115	 2.59	rs4903128	 0.023751	 -4.42	-1.250	361	  1	top1	0.024	8.6e-07	 1.250	2.11e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.INF2_1Mwindow.wgt.RDat	INF2	14	104655955	105688872	0.0440	rs12878589	-2.98	rs11160818	 0.005791	 -4.46	-0.853	353	353	blup	0.015	7.2e-05	-0.963	3.35e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ERH_1Mwindow.wgt.RDat	ERH	14	69346845	70365016	0.0226	rs4902750	-4.31	rs1275207	 0.000486	  3.88	-1.176	437	437	blup	0.007	0.0052	-0.282	7.78e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GLRX5_1Mwindow.wgt.RDat	GLRX5	14	95501387	96511051	0.0561	rs10147857	 3.30	rs17092105	 0.001996	 -4.46	 0.166	671	671	blup	0.0048	0.017	 1.043	2.97e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ATG14_1Mwindow.wgt.RDat	ATG14	14	55333109	56378548	0.0403	rs8003279	 2.60	rs12880540	 0.000592	 -4.15	-0.843	430	430	blup	0.014	0.00011	 1.206	2.28e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM121_1Mwindow.wgt.RDat	TMEM121	14	105492920	106496535	0.0256	rs4983425	 1.60	rs11628497	 0.017793	 -5.12	 0.196	104	  1	top1	0.018	1.9e-05	-0.196	8.45e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.BEGAIN_1Mwindow.wgt.RDat	BEGAIN	14	100503484	101553754	0.0569	rs7151749	 3.37	rs4073738	 0.028435	 -5.92	 1.440	423	  1	top1	0.028	7.8e-08	-1.440	1.50e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NUDT14_1Mwindow.wgt.RDat	NUDT14	14	105139276	106147649	0.0337	rs3809456	 2.33	rs9788593	-0.000843	  2.81	-0.604	231	231	blup	0.004	0.028	 1.448	1.48e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GMFB_1Mwindow.wgt.RDat	GMFB	14	54441203	55455698	0.0298	rs4324049	-2.94	rs9646153	 0.003465	 -4.41	 0.144	425	  2	lasso	0.012	3e-04	-0.483	6.29e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC7A8_1Mwindow.wgt.RDat	SLC7A8	14	23094504	24152869	0.1825	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.13	1e-31	    NA	      NA
