PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LIN28B-AS1_1Mwindow.wgt.RDat	LIN28B-AS1	6	104884169	105888402	0.0486	rs314262	 -6.94	rs12206917	-0.000997	  5.85	-0.587	360	  1	lasso	-0.00057	0.5	-0.587	5.57e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MDGA1_1Mwindow.wgt.RDat	MDGA1	6	37098455	38165659	0.1834	rs1757188	  3.49	rs6938061	 0.100097	 10.02	-0.601	463	  5	enet	0.1	2.4e-24	-1.821	6.87e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CCR6_1Mwindow.wgt.RDat	CCR6	6	167025283	168052629	0.0210	rs206991	 -2.56	rs6907666	-0.000742	  3.90	-0.626	532	532	blup	0.0072	0.005	-0.706	4.80e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TREML4_1Mwindow.wgt.RDat	TREML4	6	40696087	41706620	0.0697	rs9471554	 -2.69	rs1929794	 0.002384	  4.73	-2.330	525	525	blup	0.016	5.7e-05	 0.185	8.53e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CEP43_1Mwindow.wgt.RDat	CEP43	6	166912885	167966206	0.0604	rs3799577	 -2.56	rs637191	-0.000873	  4.04	-1.282	615	 10	enet	0.0044	0.022	-0.740	4.59e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.0748	rs6941396	 -5.34	rs6908428	 0.072918	 -8.50	-4.637	432	  1	top1	0.073	9e-18	 4.637	3.54e-06
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CLPSL2_1Mwindow.wgt.RDat	CLPSL2	6	35244375	36247329	0.0364	rs4713884	  6.45	rs2284197	-0.001025	  6.51	-1.052	417	  1	lasso	0.13	5e-31	-1.165	2.44e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ELOVL5_1Mwindow.wgt.RDat	ELOVL5	6	52632202	53713748	0.0437	rs385636	 -3.80	rs2518579	 0.004198	 -4.57	 1.419	566	566	blup	0.019	1e-05	 0.867	3.86e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.GINM1_1Mwindow.wgt.RDat	GINM1	6	149387511	150412884	0.0208	rs7747354	 -4.55	rs2880075	 0.008168	 -4.27	-2.121	431	  1	top1	0.0082	0.0029	 2.121	3.39e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NCOA7_1Mwindow.wgt.RDat	NCOA7	6	125602261	126753180	0.0256	rs6919397	  8.33	rs641860	 0.016008	 -4.66	-0.526	326	  1	top1	0.016	4.9e-05	 0.526	5.99e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CENPW_1Mwindow.wgt.RDat	CENPW	6	126161261	127304466	0.0168	rs6918725	 -8.92	rs6930280	-0.000945	  3.58	-3.207	230	230	blup	0.0072	0.0049	-8.564	1.09e-17
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SMIM8_1Mwindow.wgt.RDat	SMIM8	6	87532306	88552047	0.0122	rs107690	  4.58	rs242287	 0.010610	 -4.59	 4.543	417	  1	top1	0.011	8e-04	-4.543	5.55e-06
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC01558_1Mwindow.wgt.RDat	LINC01558	6	167685217	168697539	0.0289	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	-0.00071	0.57	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RPS10_1Mwindow.wgt.RDat	RPS10	6	33885231	34893846	0.1174	rs2780226	  6.56	rs6925243	 0.089691	  9.66	 2.220	348	  3	lasso	0.096	4.1e-23	 2.112	3.47e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RNF146_1Mwindow.wgt.RDat	RNF146	6	127087827	128109707	0.0482	rs1930953	 -5.02	rs270015	 0.000231	  3.58	 1.795	322	322	blup	0.013	0.00019	 1.707	8.79e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DYNLT1_1Mwindow.wgt.RDat	DYNLT1	6	158557506	159565775	0.0347	rs262825	 -6.61	rs9364973	 0.007665	  3.71	 0.749	496	  1	top1	0.0077	0.0038	 0.749	4.54e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SNRPC_1Mwindow.wgt.RDat	SNRPC	6	34225282	35241634	0.0198	rs6457792	 -5.85	rs2744961	 0.000251	 -3.98	-3.655	351	351	blup	0.0068	0.0061	 3.688	2.26e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TSTD3_1Mwindow.wgt.RDat	TSTD3	6	99468925	100481061	0.0491	rs170710	  3.76	rs9402863	 0.042656	  6.99	 1.168	467	  1	top1	0.043	5.9e-11	 1.168	2.43e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TDRD6_1Mwindow.wgt.RDat	TDRD6	6	46148005	47172056	0.1423	rs1527702	  3.02	rs2295003	-0.001025	  6.19	-0.009	518	518	blup	-0.00048	0.46	 0.994	3.20e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RNF144B_1Mwindow.wgt.RDat	RNF144B	6	17887581	18969101	0.0613	rs9368002	  4.67	rs9477700	 0.019162	  5.50	 3.639	541	541	blup	0.033	6.4e-09	 2.209	2.72e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NT5E_1Mwindow.wgt.RDat	NT5E	6	85659801	86705502	0.0331	rs12207406	  2.73	rs7753022	 0.026994	 -5.51	-0.292	442	  4	enet	0.031	2.8e-08	 0.365	7.15e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PHACTR1_1Mwindow.wgt.RDat	PHACTR1	6	12216999	13788069	0.0496	rs9381634	  3.37	rs2002961	 0.013666	  5.08	-0.815	793	  1	top1	0.014	0.00016	-0.815	4.15e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NEDD9_1Mwindow.wgt.RDat	NEDD9	6	10683531	11882581	0.0283	rs9348938	  4.50	rs479526	 0.005168	 -3.75	 1.589	665	665	blup	0.0098	0.0012	-0.441	6.59e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RPL10A_1Mwindow.wgt.RDat	RPL10A	6	34936178	35938557	0.0319	rs4713884	  6.45	rs2395626	 0.029305	  5.82	-3.998	427	  1	top1	0.029	5.4e-08	-3.998	6.39e-05
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DSP_1Mwindow.wgt.RDat	DSP	6	7041904	8086947	0.0354	rs13216391	-11.56	rs12196679	 0.036539	 -6.19	-2.355	604	  1	top1	0.037	1.3e-09	 2.355	1.85e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.L3MBTL3_1Mwindow.wgt.RDat	L3MBTL3	6	129839726	130962583	0.0650	rs1415701	 -3.92	rs7769599	 0.044369	  6.78	 3.462	612	  1	top1	0.044	2.4e-11	 3.462	5.36e-04
