PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.C6orf141_1Mwindow.wgt.RDat	C6orf141	6	49018381	50029629	0.0644	rs1340825	  2.68	rs627990	-9.94e-04	  5.67	  2.241	339	339	blup	-0.00099	0.79	-0.303	7.62e-01
gdT	RA_only/gdT_5pcs_all/gdT.GPR63_1Mwindow.wgt.RDat	GPR63	6	96742001	97785353	0.0294	rs12524602	  2.98	rs9398363	-9.70e-04	  5.50	 -0.954	420	420	blup	0.0026	0.063	-0.712	4.77e-01
gdT	RA_only/gdT_5pcs_all/gdT.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.0259	rs9399137	-19.98	rs7750586	 2.35e-02	 -5.20	 -8.293	432	  1	top1	0.024	1.3e-06	 8.293	1.10e-16
gdT	RA_only/gdT_5pcs_all/gdT.FBXL4_1Mwindow.wgt.RDat	FBXL4	6	98816411	99895822	0.0259	rs4407721	 -2.59	rs11154824	-5.67e-04	  3.84	 -2.144	465	465	blup	0.0037	0.035	 0.467	6.40e-01
gdT	RA_only/gdT_5pcs_all/gdT.LINC02532_1Mwindow.wgt.RDat	LINC02532	6	106665327	107735416	0.0385	NA	    NA	NA	       NA	    NA	     NA	  0	  0	enet	-9e-04	0.7	    NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.SCIRT_1Mwindow.wgt.RDat	SCIRT	6	43463460	44542389	0.0543	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0058	0.011	    NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.KIAA0319_1Mwindow.wgt.RDat	KIAA0319	6	24044335	25146419	0.0848	rs303011	 -7.43	rs11963128	-1.04e-03	  5.72	  0.240	674	  1	top1	-0.001	0.87	 0.240	8.10e-01
gdT	RA_only/gdT_5pcs_all/gdT.NQO2_1Mwindow.wgt.RDat	NQO2	6	2500128	3519989	0.0467	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.02	9.8e-06	    NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.NUP43_1Mwindow.wgt.RDat	NUP43	6	149545451	150567665	0.0133	rs4870236	 -4.15	rs10872656	 2.36e-03	 -3.87	  0.643	455	455	blup	0.0091	0.0019	-0.525	6.00e-01
gdT	RA_only/gdT_5pcs_all/gdT.H3C8_1Mwindow.wgt.RDat	H3C8	6	25771146	26771641	0.8205	NA	    NA	NA	       NA	    NA	     NA	  0	  0	enet	-9e-04	0.69	    NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.H4C3_1Mwindow.wgt.RDat	H4C3	6	25604161	26604565	0.0214	rs13198716	-20.18	rs198810	 1.90e-03	  4.23	  0.915	673	673	blup	0.0022	0.08	 7.462	8.51e-14
gdT	RA_only/gdT_5pcs_all/gdT.SNHG5_1Mwindow.wgt.RDat	SNHG5	6	85886725	86888451	0.1095	rs7755996	  5.90	rs1059307	 1.67e-01	-12.83	  5.117	329	  1	top1	0.17	1.8e-39	-5.117	3.10e-07
gdT	RA_only/gdT_5pcs_all/gdT.CCDC170_1Mwindow.wgt.RDat	CCDC170	6	151315152	152442328	0.0310	rs2145744	 -4.46	rs17760616	-1.03e-03	  4.38	 -1.838	610	  1	top1	-0.001	0.86	-1.838	6.61e-02
