PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ASL_1Mwindow.wgt.RDat	ASL	7	65040806	66058563	0.0333	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.026	2.6e-07	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EPHB6_1Mwindow.wgt.RDat	EPHB6	7	142052838	143068847	0.0357	rs6464543	 2.36	rs2886994	 0.003092	  4.29	 0.1780	378	378	blup	0.012	0.00041	 0.5843	5.59e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NT5C3A_1Mwindow.wgt.RDat	NT5C3A	7	32553725	33602388	0.0251	rs41470452	-2.77	rs4338000	 0.005755	  4.72	 0.8519	347	347	blup	0.0082	0.0027	 0.4069	6.84e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GIMAP4_1Mwindow.wgt.RDat	GIMAP4	7	149764478	150771041	0.0387	rs2303929	 4.15	rs6464078	 0.035389	  6.38	-1.3003	425	  1	top1	0.035	2.2e-09	-1.3003	1.93e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.HIPK2_1Mwindow.wgt.RDat	HIPK2	7	138746316	139977797	0.0367	rs1990354	 2.55	rs28642156	-0.000518	 -4.08	-0.2209	482	482	blup	0.0048	0.018	-0.4761	6.34e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.VWDE_1Mwindow.wgt.RDat	VWDE	7	11870511	12943491	0.0762	rs10251790	-2.75	rs17444259	 0.079688	  6.40	-1.7849	668	  1	top1	0.08	2.1e-19	-1.7849	7.43e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DAGLB_1Mwindow.wgt.RDat	DAGLB	7	5948760	6987585	0.0486	rs6966217	 3.21	rs12537894	 0.027464	  4.62	 2.5792	278	  1	top1	0.027	1.3e-07	 2.5792	9.90e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.JAZF1_1Mwindow.wgt.RDat	JAZF1	7	27370196	28720414	0.0385	rs17156432	-5.62	rs2189966	 0.032349	  5.91	-4.9434	711	  1	top1	0.032	1e-08	-4.9434	7.68e-07
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TOMM7_1Mwindow.wgt.RDat	TOMM7	7	22352593	23362468	0.2558	rs2286498	 4.35	rs10276099	 0.222435	-14.91	 3.6086	500	  1	top1	0.22	5.5e-55	-3.6086	3.08e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LAMB1_1Mwindow.wgt.RDat	LAMB1	7	107064244	108143606	0.1903	rs7785962	-3.09	rs6944829	 0.235051	-15.48	 0.4070	528	  5	enet	0.24	1.2e-60	-0.4755	6.34e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EMSLR_1Mwindow.wgt.RDat	EMSLR	7	100451588	101454620	0.0611	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.035	3.3e-09	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KLHL7-DT_1Mwindow.wgt.RDat	KLHL7-DT	7	22640847	23645322	0.0206	rs2286498	 4.35	rs10256996	 0.006413	  3.90	 0.0772	424	424	blup	0.0099	0.0011	-1.2280	2.19e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZNF713_1Mwindow.wgt.RDat	ZNF713	7	55455149	56509918	0.0359	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.035	2.8e-09	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SEMA3A_1Mwindow.wgt.RDat	SEMA3A	7	83085093	84324105	0.0497	rs7801391	-2.97	rs1990046	 0.014802	  5.92	 1.1199	503	  1	enet	0.041	1.4e-10	 0.8247	4.10e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TBRG4_1Mwindow.wgt.RDat	TBRG4	7	44639699	45651296	0.0324	rs11971136	 2.25	rs799449	-0.000165	 -3.67	-0.5050	427	427	blup	0.013	0.00028	 0.7738	4.39e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RAC1_1Mwindow.wgt.RDat	RAC1	7	5914158	6943598	0.0499	rs6966217	 3.21	rs836549	 0.027737	  5.54	 1.8674	282	  1	enet	0.029	5.7e-08	 1.8674	6.18e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRBV28_1Mwindow.wgt.RDat	TRBV28	7	141928504	142928984	0.1289	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.15	4.6e-37	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRGC1_1Mwindow.wgt.RDat	TRGC1	7	37799689	38805279	0.0337	rs17416951	 3.32	rs6953248	-0.000526	  3.62	-0.2502	627	627	blup	0.0042	0.024	-1.5016	1.33e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ASB15_1Mwindow.wgt.RDat	ASB15	7	122741875	123779535	0.0199	rs4731120	 2.80	rs608447	 0.017231	  4.91	-0.8443	373	  1	top1	0.017	2.5e-05	-0.8443	3.99e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRGV3_1Mwindow.wgt.RDat	TRGV3	7	37898113	38898580	0.0404	rs17416951	 3.32	rs7781415	-0.000786	  3.62	-0.2943	608	608	blup	0.0082	0.0028	-0.4220	6.73e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DUS4L-BCAP29_1Mwindow.wgt.RDat	DUS4L-BCAP29	7	106704416	107763762	0.0340	rs13224682	-3.88	rs11762604	-0.000671	  3.61	 0.1290	357	357	blup	0.0042	0.025	-0.9206	3.57e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PILRB_1Mwindow.wgt.RDat	PILRB	7	99455740	100465454	0.0535	rs13222543	 2.84	rs7783550	 0.051788	  8.16	-0.8974	300	  3	enet	0.058	2.1e-14	 0.1600	8.73e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.STYXL1_1Mwindow.wgt.RDat	STYXL1	7	75125655	76177318	0.0268	rs11770635	 3.27	rs11553096	 0.032458	  6.03	-1.1767	324	  1	lasso	0.033	7.8e-09	-1.1767	2.39e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC26A5_1Mwindow.wgt.RDat	SLC26A5	7	102493177	103586654	0.0654	rs39332	 2.96	rs1476678	 0.061054	  6.41	 0.3125	394	  1	top1	0.061	3.8e-15	 0.3125	7.55e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CHCHD2_1Mwindow.wgt.RDat	CHCHD2	7	55669266	56674169	0.0298	rs2538048	 3.65	rs2304376	 0.016422	  5.22	 2.9457	273	  1	top1	0.016	3.8e-05	 2.9457	3.22e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZP3_1Mwindow.wgt.RDat	ZP3	7	75526839	76571386	0.0983	rs11770635	 3.27	rs13232187	 0.027233	  7.01	-0.6964	207	  2	enet	0.053	2.5e-13	 0.9201	3.58e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CCZ1B_1Mwindow.wgt.RDat	CCZ1B	7	6338568	7365906	0.1465	rs6966217	 3.21	rs10242703	 0.112823	 -9.59	 1.7840	370	  2	lasso	0.11	3.2e-27	-0.4978	6.19e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZDHHC4_1Mwindow.wgt.RDat	ZDHHC4	7	6117085	7129005	0.0294	rs6966217	 3.21	rs12055961	-0.000768	  3.52	 0.5426	262	262	blup	0.0066	0.0067	-1.2469	2.12e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.STMP1_1Mwindow.wgt.RDat	STMP1	7	134847262	135861164	0.0354	rs6467622	 3.57	rs9801253	 0.016540	  3.28	-0.8689	453	  1	top1	0.017	3.5e-05	-0.8689	3.85e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FGL2_1Mwindow.wgt.RDat	FGL2	7	76322686	77329136	0.0884	rs17230010	-2.80	rs3093273	 0.055226	  7.43	-0.2360	291	  1	top1	0.055	7.8e-14	-0.2360	8.13e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SEM1_1Mwindow.wgt.RDat	SEM1	7	95610938	96839158	0.0444	rs2016644	 2.96	rs12216616	 0.001305	  4.51	-1.7446	468	  4	enet	0.0015	0.12	-1.6803	9.29e-02
