PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CSTB_1Mwindow.wgt.RDat	CSTB	21	44693831	45696189	0.0476	rs743451	-3.48	rs2838378	 0.001502	-3.91	-1.4332	422	422	blup	0.0094	0.0015	 0.630	5.29e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC01689_1Mwindow.wgt.RDat	LINC01689	21	25176863	26193690	0.1730	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0013	0.13	    NA	      NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PRMT2_1Mwindow.wgt.RDat	PRMT2	21	47555586	48585036	0.0349	rs1980983	 4.29	rs1029231	 0.011195	 4.35	 2.7973	254	254	blup	0.018	1.9e-05	 3.810	1.39e-04
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ITGB2-AS1_1Mwindow.wgt.RDat	ITGB2-AS1	21	45840950	46849595	0.0342	rs17004706	 3.90	rs2226687	 0.000212	-3.07	-0.0386	542	542	blup	0.0029	0.051	-0.657	5.11e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC00205_1Mwindow.wgt.RDat	LINC00205	21	46207967	47217269	0.0263	rs17004706	 3.90	rs9977111	 0.006082	 3.11	 3.1869	477	  1	top1	0.0061	0.0089	 3.187	1.44e-03
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.S100B_1Mwindow.wgt.RDat	S100B	21	47518517	48524995	0.1924	rs1980983	 4.29	rs1029231	 0.056241	 8.88	 2.7973	282	  1	lasso	0.14	6.4e-33	 2.797	5.15e-03
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CCT8_1Mwindow.wgt.RDat	CCT8	21	29928647	30945969	0.0313	rs2065260	 4.03	rs2070610	 0.021173	 5.60	 3.7234	408	  1	lasso	0.022	2.6e-06	 3.723	1.97e-04
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PWP2_1Mwindow.wgt.RDat	PWP2	21	45027280	46051063	0.0236	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0067	0.0063	    NA	      NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.DIP2A_1Mwindow.wgt.RDat	DIP2A	21	47378804	48491139	0.0232	rs1980983	 4.29	rs2070432	 0.003619	 4.56	 2.9243	339	339	blup	0.007	0.0055	 4.022	5.77e-05
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RBM11_1Mwindow.wgt.RDat	RBM11	21	15088478	16100693	0.0312	rs1882882	-2.76	rs2245637	-0.000951	 3.86	-0.0689	422	422	blup	0.012	0.00041	-1.285	1.99e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SPATC1L_1Mwindow.wgt.RDat	SPATC1L	21	47081074	48104373	0.0762	rs1980983	 4.29	rs4818826	 0.046890	-7.16	-0.1498	467	467	blup	0.055	1e-13	 1.349	1.77e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.COL6A2_1Mwindow.wgt.RDat	COL6A2	21	47018026	48052762	0.0432	rs1980983	 4.29	rs1475915	 0.010085	-4.41	 0.7711	489	  1	top1	0.01	0.0011	-0.771	4.41e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.COL18A1_1Mwindow.wgt.RDat	COL18A1	21	46325080	47433634	0.2009	rs9977111	 3.19	rs2246749	 0.171682	11.71	 0.6888	514	  1	top1	0.17	2e-41	 0.689	4.91e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.GRIK1-AS1_1Mwindow.wgt.RDat	GRIK1-AS1	21	30620494	31636325	0.2004	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.022	2.8e-06	    NA	      NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.U2AF1_1Mwindow.wgt.RDat	U2AF1	21	44013066	45027688	0.1791	rs8132468	-3.56	rs2839633	 0.057930	-7.62	-0.5531	484	484	blup	0.064	1.2e-15	 1.008	3.13e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC00649_1Mwindow.wgt.RDat	LINC00649	21	34803426	35843487	0.0284	rs2040113	-5.31	rs8130507	 0.016536	-5.08	-4.1733	429	  1	top1	0.017	3.7e-05	 4.173	3.00e-05
