PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.FRY-AS1_1Mwindow.wgt.RDat	FRY-AS1	13	32098183	33105776	0.0324	rs10492397	-4.68	rs4943675	 2.62e-03	 3.94	 0.502	469	469	blup	0.0066	0.0067	 1.404	0.1602
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SKA3_1Mwindow.wgt.RDat	SKA3	13	21227734	22250691	0.0408	rs4770145	 2.38	rs1325788	-8.76e-04	 4.31	-1.447	343	343	blup	0.0064	0.0074	-1.150	0.2500
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.COMMD6_1Mwindow.wgt.RDat	COMMD6	13	75599350	76623575	0.0228	rs17065277	 2.71	rs7325969	 1.05e-02	-4.54	 0.258	545	  1	top1	0.011	0.00085	-0.258	0.7964
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.EBPL_1Mwindow.wgt.RDat	EBPL	13	49734810	50765623	0.0356	rs9568292	 3.62	rs3809325	 2.80e-02	 6.04	-1.579	401	  1	enet	0.029	6.7e-08	-1.579	0.1143
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC00347_1Mwindow.wgt.RDat	LINC00347	13	74626980	75631257	0.0851	rs17063141	-2.48	rs17062063	-1.01e-03	 6.00	 0.162	496	  1	top1	-0.001	0.86	 0.162	0.8713
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CUL4A_1Mwindow.wgt.RDat	CUL4A	13	113362507	114421422	0.0280	rs2257612	-2.83	rs491455	-1.02e-03	 3.29	 0.881	402	402	blup	0.011	0.00067	 2.003	0.0451
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TPT1_1Mwindow.wgt.RDat	TPT1	13	45407606	46415318	0.0220	rs11618506	-3.21	rs4942401	-1.04e-03	 4.02	-0.435	435	435	blup	0.011	0.00078	-1.213	0.2252
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.POLR1D_1Mwindow.wgt.RDat	POLR1D	13	27694880	28741548	0.0440	rs9579128	-3.33	rs880214	 1.38e-02	 4.34	 0.762	496	  1	lasso	0.014	0.00012	 0.438	0.6614
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.GPR12_1Mwindow.wgt.RDat	GPR12	13	26829337	27834923	0.1376	rs9319324	-2.70	rs17084457	-4.15e-04	 6.65	 0.563	538	  1	top1	-0.00041	0.44	 0.563	0.5735
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.N4BP2L2-IT2_1Mwindow.wgt.RDat	N4BP2L2-IT2	13	32578643	33583532	0.0232	rs10492397	-4.68	rs7332527	 4.33e-04	 3.62	-1.410	459	459	blup	0.0075	0.0041	-0.614	0.5395
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RCBTB1_1Mwindow.wgt.RDat	RCBTB1	13	49606082	50659694	0.0250	rs9568292	 3.62	rs1359541	-3.78e-04	-4.14	 0.075	403	403	blup	0.012	0.00044	-0.976	0.3293
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.DNAJC15_1Mwindow.wgt.RDat	DNAJC15	13	43097722	44188349	0.0664	rs9567132	-3.53	rs2281782	 7.63e-02	-8.87	-0.825	624	  1	top1	0.076	1.6e-18	 0.825	0.4094
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.EPSTI1_1Mwindow.wgt.RDat	EPSTI1	13	42960524	44066377	0.0376	rs9567132	-3.74	rs3825511	 3.12e-02	 5.72	 1.364	626	  1	top1	0.031	2.1e-08	 1.364	0.1725
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.FRY_1Mwindow.wgt.RDat	FRY	13	32105911	33373262	0.0257	rs10492397	-4.68	rs364	-3.66e-05	 4.46	 0.278	530	530	blup	0.0094	0.0015	 0.582	0.5604
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LCP1_1Mwindow.wgt.RDat	LCP1	13	46200058	47256312	0.0316	rs1998556	-2.73	rs4942430	 3.76e-04	 3.43	 0.810	533	533	blup	0.0066	0.0065	 1.414	0.1575
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.MED4-AS1_1Mwindow.wgt.RDat	MED4-AS1	13	48151273	49154129	0.0373	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.061	5.3e-15	    NA	    NA
