PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.KLK1_1Mwindow.wgt.RDat	KLK1	19	50822402	51827043	0.0727	rs2569430	 4.05	rs7254514	-0.000973	  4.25	-1.8156	456	456	blup	0.0025	0.066	-0.7654	4.44e-01
gdT	RA_only/gdT_5pcs_all/gdT.PRTN3_1Mwindow.wgt.RDat	PRTN3	19	340999	1348175	0.0570	rs7250902	-4.91	rs2075020	-0.001032	  5.09	 0.1320	380	  1	top1	-0.001	0.87	 0.1320	8.95e-01
gdT	RA_only/gdT_5pcs_all/gdT.EPS8L1_1Mwindow.wgt.RDat	EPS8L1	19	55087237	56099291	0.0301	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.016	5.8e-05	     NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.RPL28_1Mwindow.wgt.RDat	RPL28	19	55397300	56414710	0.1628	rs2864436	 5.61	rs17700376	 0.123024	-11.08	 0.9218	504	  2	enet	0.13	1.4e-29	-0.9216	3.57e-01
gdT	RA_only/gdT_5pcs_all/gdT.ZNF350-AS1_1Mwindow.wgt.RDat	ZNF350-AS1	19	51952387	52984620	0.1210	rs8105105	-3.12	rs867341	-0.001048	 10.23	 1.0885	628	  1	lasso	0.16	1.9e-38	 1.0885	2.76e-01
gdT	RA_only/gdT_5pcs_all/gdT.ZNF414_1Mwindow.wgt.RDat	ZNF414	19	8074562	9079051	0.0536	rs4542783	-5.37	rs301415	 0.020147	 -5.25	 0.2705	371	  1	top1	0.02	7.1e-06	-0.2705	7.87e-01
gdT	RA_only/gdT_5pcs_all/gdT.TSSK6_1Mwindow.wgt.RDat	TSSK6	19	19125028	20126357	0.0331	rs17699261	 5.53	rs12460082	 0.000037	  3.79	 1.6603	316	  1	top1	3.7e-05	0.31	 1.6603	9.69e-02
gdT	RA_only/gdT_5pcs_all/gdT.NOP53_1Mwindow.wgt.RDat	NOP53	19	47748803	48760315	0.0453	rs3730920	-3.20	rs4802386	-0.000789	  3.50	 0.3977	414	414	blup	0.014	0.00018	-0.8064	4.20e-01
gdT	RA_only/gdT_5pcs_all/gdT.MAMSTR_1Mwindow.wgt.RDat	MAMSTR	19	48715982	49722982	0.0370	rs973579	 5.97	rs12980226	 0.001258	  3.55	-0.6587	412	412	blup	0.0064	0.008	 0.3774	7.06e-01
gdT	RA_only/gdT_5pcs_all/gdT.ZNF333_1Mwindow.wgt.RDat	ZNF333	19	14300860	15344554	0.0362	rs1803768	-4.52	rs7255465	-0.000621	 -3.13	 1.0060	433	433	blup	0.0046	0.021	-0.0706	9.44e-01
gdT	RA_only/gdT_5pcs_all/gdT.RPS9_1Mwindow.wgt.RDat	RPS9	19	54204726	55211515	0.1114	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.094	2.8e-22	     NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.RPS5_1Mwindow.wgt.RDat	RPS5	19	58398636	59406171	0.0380	rs11670075	 3.32	rs731835	 0.028797	 -5.34	 1.6511	290	  1	top1	0.029	9.3e-08	-1.6511	9.87e-02
gdT	RA_only/gdT_5pcs_all/gdT.ILF3-DT_1Mwindow.wgt.RDat	ILF3-DT	19	10262538	11264548	0.0344	rs11085744	-5.94	rs2228611	 0.001638	  3.75	 3.2564	359	359	blup	0.0095	0.0016	-3.7352	1.88e-04
gdT	RA_only/gdT_5pcs_all/gdT.ZNF878_1Mwindow.wgt.RDat	ZNF878	19	11654620	12663776	0.0659	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.001	0.82	     NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.ZNF555_1Mwindow.wgt.RDat	ZNF555	19	2341473	3360469	0.0321	rs11670333	 3.38	rs8100809	 0.002862	  5.08	 0.5710	336	  1	top1	0.0029	0.054	 0.5710	5.68e-01
gdT	RA_only/gdT_5pcs_all/gdT.CFD_1Mwindow.wgt.RDat	CFD	19	359664	1363641	0.0572	rs7250902	-4.91	rs1683591	 0.035988	  6.17	-0.8808	378	  1	top1	0.036	2.5e-09	-0.8808	3.78e-01
gdT	RA_only/gdT_5pcs_all/gdT.TMEM145_1Mwindow.wgt.RDat	TMEM145	19	42317461	43329216	0.0210	rs1206029	-5.21	rs11880124	-0.000975	  4.15	-2.5735	 95	  1	top1	-0.00098	0.78	-2.5735	1.01e-02
gdT	RA_only/gdT_5pcs_all/gdT.RABAC1_1Mwindow.wgt.RDat	RABAC1	19	41960835	42963473	0.0187	rs1206029	-5.21	rs7251154	-0.001030	  3.49	 0.0464	173	173	blup	0.0074	0.0048	-0.6245	5.32e-01
gdT	RA_only/gdT_5pcs_all/gdT.TYROBP_1Mwindow.wgt.RDat	TYROBP	19	35895305	36899197	0.0274	rs2967490	 3.41	rs230261	 0.005583	 -4.06	-0.1776	336	  1	enet	0.008	0.0035	-1.1970	2.31e-01
gdT	RA_only/gdT_5pcs_all/gdT.NLRP9_1Mwindow.wgt.RDat	NLRP9	19	55719804	56749768	0.0432	rs2864436	 5.61	rs7252639	-0.001037	  4.86	 1.8943	523	  1	lasso	0.15	1.1e-35	 1.8943	5.82e-02
gdT	RA_only/gdT_5pcs_all/gdT.PIH1D1_1Mwindow.wgt.RDat	PIH1D1	19	49449555	50455071	0.0453	rs4802605	 4.78	rs12610107	 0.002353	  3.87	-0.0056	333	  5	enet	0.012	0.00048	-0.3946	6.93e-01
gdT	RA_only/gdT_5pcs_all/gdT.ZNF69_1Mwindow.wgt.RDat	ZNF69	19	11498597	12525371	0.0307	rs7246440	-3.37	rs17001788	-0.000585	  3.72	 1.8270	267	267	blup	0.0048	0.019	 1.9166	5.53e-02
gdT	RA_only/gdT_5pcs_all/gdT.IGFLR1_1Mwindow.wgt.RDat	IGFLR1	19	35729702	36733353	0.0295	rs6510528	 3.29	rs3848662	 0.022546	 -5.31	 0.6227	406	  3	enet	0.023	1.9e-06	-0.9062	3.65e-01
gdT	RA_only/gdT_5pcs_all/gdT.PET100_1Mwindow.wgt.RDat	PET100	19	7194679	8196842	0.0291	rs1035941	 5.86	rs7256394	 0.014194	 -3.77	 0.7205	385	  1	top1	0.014	0.00014	-0.7205	4.71e-01
gdT	RA_only/gdT_5pcs_all/gdT.MAST3_1Mwindow.wgt.RDat	MAST3	19	17708588	18762497	0.0250	rs12608504	13.09	rs1566029	 0.008793	  4.24	 4.2791	381	  1	top1	0.0088	0.0023	 4.2791	1.88e-05
gdT	RA_only/gdT_5pcs_all/gdT.PRR36_1Mwindow.wgt.RDat	PRR36	19	7433605	8439275	0.0380	rs7258466	-3.65	rs522776	-0.001058	  6.78	 0.4072	418	418	blup	-7e-04	0.56	-1.6978	8.95e-02
gdT	RA_only/gdT_5pcs_all/gdT.GNA15-DT_1Mwindow.wgt.RDat	GNA15-DT	19	2641574	3655173	0.1027	rs122691	 2.90	rs10402738	-0.000975	  4.33	-1.6827	315	315	blup	0.00036	0.25	-1.4351	1.51e-01
gdT	RA_only/gdT_5pcs_all/gdT.ZNF302_1Mwindow.wgt.RDat	ZNF302	19	34668583	35677301	0.0343	rs2277981	 3.40	rs17718247	 0.022852	  5.27	-0.6905	327	  1	enet	0.03	4.7e-08	-0.9766	3.29e-01
gdT	RA_only/gdT_5pcs_all/gdT.ZNF563_1Mwindow.wgt.RDat	ZNF563	19	11928291	12944447	0.0154	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0075	0.0045	     NA	      NA
