PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ZNF396_1Mwindow.wgt.RDat	ZNF396	18	32446658	33457301	0.0666	rs17561133	 -3.56	rs8093346	 3.32e-02	 -4.31	  1.080	366	  1	top1	0.033	6.6e-09	-1.080	2.80e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ROCK1_1Mwindow.wgt.RDat	ROCK1	18	18026867	19191774	0.0229	rs4800462	 -1.65	rs17202361	 1.99e-02	 -4.96	 -1.015	106	  1	lasso	0.021	4.2e-06	 1.015	3.10e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KIAA1328_1Mwindow.wgt.RDat	KIAA1328	18	33909090	35312135	0.0395	rs10502660	  3.44	rs12958534	 1.07e-02	  5.77	  1.175	628	628	blup	0.022	1.6e-06	 0.628	5.30e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC01882_1Mwindow.wgt.RDat	LINC01882	18	12239485	13249421	0.0450	rs11080618	  4.15	rs12959287	 2.06e-02	  5.31	 -3.791	394	  1	lasso	0.027	1.4e-07	-0.292	7.70e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CD226_1Mwindow.wgt.RDat	CD226	18	67020510	68124035	0.0438	rs727088	-14.79	rs1790588	 1.51e-02	  4.74	-14.670	518	  1	enet	0.026	2.3e-07	 7.696	1.40e-14
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ENOSF1_1Mwindow.wgt.RDat	ENOSF1	18	170318	1212630	0.1086	rs3875086	  6.01	rs7228136	 8.83e-02	  9.90	 -1.126	562	  6	enet	0.099	8e-24	-1.089	2.76e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TPGS2_1Mwindow.wgt.RDat	TPGS2	18	33859987	34908965	0.2227	rs10502660	  3.44	rs1045781	 1.56e-01	-11.98	 -2.132	450	  4	lasso	0.17	2e-40	 1.875	6.07e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SERPINB5_1Mwindow.wgt.RDat	SERPINB5	18	60644191	61672318	0.0621	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.00052	0.48	    NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NDUFV2-AS1_1Mwindow.wgt.RDat	NDUFV2-AS1	18	8621263	9636718	0.0768	rs4797352	  4.26	rs7228251	 5.50e-02	 -8.12	  3.891	528	  1	top1	0.055	8.4e-14	-3.891	9.98e-05
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SOCS6_1Mwindow.wgt.RDat	SOCS6	18	67456281	68497435	0.0266	rs727088	-14.79	rs9966831	 1.13e-02	 -4.14	  0.583	388	  2	lasso	0.016	4.7e-05	 6.965	3.28e-12
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GTSCR1_1Mwindow.wgt.RDat	GTSCR1	18	67797755	68818190	0.0373	rs8089194	  7.43	rs12458157	 7.95e-03	  4.38	 -0.935	443	443	blup	0.012	4e-04	-1.171	2.41e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GATA6_1Mwindow.wgt.RDat	GATA6	18	19249550	20282491	0.0276	rs177996	  7.95	rs2040227	-4.17e-04	  4.07	  0.539	321	  1	top1	-0.00042	0.44	 0.539	5.90e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NAPG_1Mwindow.wgt.RDat	NAPG	18	10026024	11052761	0.0328	rs12604920	  2.83	rs2584732	 2.56e-03	  3.76	 -2.387	670	670	blup	0.0053	0.013	-1.318	1.87e-01
