PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RTBDN_1Mwindow.wgt.RDat	RTBDN	19	12436296	13446242	0.0393	rs7246440	  4.51	rs35866106	 1.42e-03	 6.72	 1.311	292	  1	top1	0.0014	0.13	 1.3110	1.90e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.EPS8L1_1Mwindow.wgt.RDat	EPS8L1	19	55087237	56099291	0.0395	rs3729841	  3.46	rs588373	 5.38e-04	 4.00	-0.598	422	422	blup	0.0076	0.0046	 1.2853	1.99e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CYP4F3_1Mwindow.wgt.RDat	CYP4F3	19	15251707	16273635	0.0245	rs4809110	 -3.31	rs4808350	 8.56e-03	 5.22	 0.412	515	  1	top1	0.0086	0.0028	 0.4120	6.80e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SPTBN4_1Mwindow.wgt.RDat	SPTBN4	19	40472908	41582370	0.0295	rs4803336	 -5.88	rs533318	-1.03e-03	 4.40	 1.080	431	431	blup	0.0026	0.065	-1.8684	6.17e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RHPN2_1Mwindow.wgt.RDat	RHPN2	19	32969498	34055794	0.0789	rs731839	  7.22	rs6510379	 1.58e-04	 4.10	-0.372	461	  1	lasso	6e-04	0.21	-0.5530	5.80e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC39A3_1Mwindow.wgt.RDat	SLC39A3	19	2232522	3240074	0.0370	rs8105695	 -4.25	rs759071	-1.02e-03	 3.33	 0.568	332	332	blup	0.0068	0.0067	-2.4923	1.27e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ICAM4_1Mwindow.wgt.RDat	ICAM4	19	9897631	10899196	0.1260	rs8113091	 11.03	rs281437	 1.22e-01	10.79	 0.842	370	  1	top1	0.12	3.2e-28	 0.8420	4.00e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.VSTM1_1Mwindow.wgt.RDat	VSTM1	19	54044079	55067151	0.1780	rs641738	 -5.77	rs10500316	 9.02e-02	 9.87	 0.202	351	  2	lasso	0.11	2.5e-26	 0.1558	8.76e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RFPL4AL1_1Mwindow.wgt.RDat	RFPL4AL1	19	55780484	56784786	0.0769	rs610811	  4.50	rs299190	 1.13e-02	 5.41	 0.332	512	  1	lasso	0.021	5.8e-06	 0.3320	7.40e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ACER1_1Mwindow.wgt.RDat	ACER1	19	5806153	6833623	0.0480	rs8106574	 -5.34	rs17625356	-9.94e-04	 4.70	 0.279	368	368	blup	-5e-04	0.46	 1.1598	2.46e-01
