PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SORBS2_1Mwindow.wgt.RDat	SORBS2	4	186006677	187377526	0.1528	NA	    NA	NA	       NA	    NA	    NA	  0	  0	enet	0.082	6.7e-20	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ETNPPL_1Mwindow.wgt.RDat	ETNPPL	4	109163209	110184209	0.0511	rs219493	 -3.71	rs9998000	 1.01e-03	  5.60	-0.858	412	  1	top1	0.001	0.16	-0.8580	0.390892
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CORIN_1Mwindow.wgt.RDat	CORIN	4	47096018	48340084	0.0499	rs4694890	  2.92	rs10012874	 1.24e-03	  5.92	-0.827	522	  1	top1	0.0012	0.14	-0.8270	0.408237
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.C4orf33_1Mwindow.wgt.RDat	C4orf33	4	129514867	130537792	0.0224	rs17014259	 -3.11	rs6847753	 2.08e-03	  4.31	 1.160	373	373	blup	0.0059	0.0095	 0.1380	0.890262
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.HMGB2_1Mwindow.wgt.RDat	HMGB2	4	173752527	174755509	0.0821	rs7655560	 -3.60	rs2653828	-1.03e-03	 -5.71	 2.911	312	312	blup	1.7e-05	0.31	-1.6245	0.104271
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SNHG27_1Mwindow.wgt.RDat	SNHG27	4	132185993	133212637	0.0231	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	-4e-04	0.43	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CNOT6L_1Mwindow.wgt.RDat	CNOT6L	4	78134541	79241423	0.0409	rs345515	 -3.87	rs2866688	 2.02e-02	  5.50	-0.159	524	524	blup	0.027	1.5e-07	-0.8605	0.389540
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.THAP9-AS1_1Mwindow.wgt.RDat	THAP9-AS1	4	83314605	84322069	0.0411	rs4484290	  3.63	rs6837835	 2.70e-02	 -5.99	 3.523	388	  1	top1	0.027	1.6e-07	-3.5230	0.000427
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SEPSECS-AS1_1Mwindow.wgt.RDat	SEPSECS-AS1	4	24662294	25700128	0.0995	rs4697525	 -3.89	rs3796795	 7.27e-02	 -7.62	 0.264	524	  1	top1	0.073	8.2e-18	-0.2640	0.791780
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FAM184B_1Mwindow.wgt.RDat	FAM184B	4	17130929	18283244	0.2129	rs1553464	  4.54	rs2286771	 3.99e-01	 19.58	 0.403	469	  1	top1	0.4	4.6e-109	 0.4030	0.686948
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.AREG_1Mwindow.wgt.RDat	AREG	4	74810853	75820722	0.0174	rs11938276	  9.93	rs2125399	 1.13e-03	 -4.58	-0.327	306	  4	enet	0.0058	0.01	-0.3862	0.699357
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SPON2_1Mwindow.wgt.RDat	SPON2	4	660720	1702632	0.0532	rs6815946	  4.13	rs10002437	 2.61e-02	  5.68	-0.113	389	389	blup	0.028	7.6e-08	-1.1626	0.244987
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC02273_1Mwindow.wgt.RDat	LINC02273	4	152521905	153525872	0.0939	rs11099839	 -3.23	rs17276450	 8.41e-02	 -9.45	 1.185	351	  1	top1	0.084	1.9e-20	-1.1850	0.236017
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.IL21_1Mwindow.wgt.RDat	IL21	4	123031263	124042221	0.0282	rs898091	 -4.36	rs17473132	-9.78e-04	  4.07	-1.117	283	283	blup	0.0014	0.13	-1.7782	0.075365
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SMAD1_1Mwindow.wgt.RDat	SMAD1	4	145902458	146980328	0.2492	rs10016839	-11.40	rs2043779	 1.59e-02	  6.50	-1.908	319	  6	lasso	0.018	1.5e-05	-1.9080	0.056394
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PPAT_1Mwindow.wgt.RDat	PPAT	4	56759528	57801781	0.0407	rs4339274	 -4.49	rs11133443	 1.34e-02	  4.11	-1.526	445	  1	top1	0.013	0.00018	-1.5260	0.127010
