PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.0449	rs13374935	-3.21	rs11573562	 0.025960	-5.39	 1.609	328	328	blup	0.031	5.6e-08	-2.4068	0.016091
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SNAPIN_1Mwindow.wgt.RDat	SNAPIN	1	153131130	154134328	0.0249	rs4459102	 3.76	rs11548104	 0.001639	-4.42	 0.119	382	4	lasso	0.0081	0.0038	-0.1190	0.905275
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NT5C1A_1Mwindow.wgt.RDat	NT5C1A	1	39616901	40637779	0.0256	rs12118846	 3.31	rs16826104	-0.000868	 5.34	-1.644	366	366	blup	-0.00018	0.36	-0.7257	0.468048
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SERINC2_1Mwindow.wgt.RDat	SERINC2	1	31382624	32407525	0.0494		   NA		       NA	   NA	    NA	0	0	lasso	0.0071	0.0061	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GIPC2_1Mwindow.wgt.RDat	GIPC2	1	78010654	79104128	0.0627	rs17391694	-4.42	rs17101082	-0.000720	 5.61	 2.012	347	1	top1	-0.00072	0.56	 2.0120	0.044220
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.WNT4_1Mwindow.wgt.RDat	WNT4	1	21943806	22969590	0.0634		   NA		       NA	   NA	    NA	0	0	lasso	0.21	9.9e-50	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PRDM16_1Mwindow.wgt.RDat	PRDM16	1	2485767	3855185	0.0329	rs10910097	-3.49	rs1563469	-0.000952	 3.89	 0.863	475	475	blup	0.0015	0.12	 0.5157	0.606068
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NHLH1_1Mwindow.wgt.RDat	NHLH1	1	159836861	160842636	0.0856	rs955371	-5.51	rs17384911	 0.000164	 6.18	 1.164	451	1	lasso	0.15	2.5e-33	 1.1640	0.244424
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.IGSF9_1Mwindow.wgt.RDat	IGSF9	1	159396831	160415403	0.0512		   NA		       NA	   NA	    NA	0	0	lasso	0.19	7.499999999999999e-43	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TOR3A_1Mwindow.wgt.RDat	TOR3A	1	178551205	179565131	0.0242	rs2793796	-3.06	rs7547733	 0.005488	 3.98	-2.194	464	464	blup	0.011	0.0007	-1.4310	0.152437
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.FCRL3_1Mwindow.wgt.RDat	FCRL3	1	157146271	158170559	0.02	rs2224902	 4.75	rs11264794	 0.012376	-4.58	-1.082	522	1	top1	0.012	0.00044	 1.0820	0.279253
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ACBD3_1Mwindow.wgt.RDat	ACBD3	1	225832380	226874442	0.0363	rs10753415	 3.88	rs1151809	 0.010569	 4.57	-0.340	424	1	top1	0.011	0.0011	-0.3400	0.733857
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.MASP2_1Mwindow.wgt.RDat	MASP2	1	10586580	11607296	0.9988	rs1782455	-3.31	rs7547302	-0.001026	 5.62	 0.262	346	7	lasso	0.013	0.00036	-1.7027	0.088621
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.XCL1_1Mwindow.wgt.RDat	XCL1	1	168045843	169051307	0.0431	rs10800335	-3.00	rs12049040	 0.000347	-3.77	 0.417	529	529	blup	0.003	0.052	-0.5111	0.609273
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.COA7_1Mwindow.wgt.RDat	COA7	1	52650121	53664019	0.0221	rs1288344	 2.36	rs1775540	-0.001022	-3.25	 0.498	346	346	blup	0.008	0.0039	-0.0619	0.950679
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.UTS2_1Mwindow.wgt.RDat	UTS2	1	7407672	8413551	0.1427	rs697693	 5.38	rs161803	 0.139455	11.29	 1.326	441	1	top1	0.14	7.1e-32	 1.3260	0.184840
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.HPCAL4_1Mwindow.wgt.RDat	HPCAL4	1	39644320	40657105	0.1233		   NA		       NA	   NA	    NA	0	0	lasso	0.18	1.3e-42	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.AIDA_1Mwindow.wgt.RDat	AIDA	1	222341355	223385833	0.0264	rs1640811	 2.89	rs2068483	 0.001631	-4.24	 0.103	315	4	enet	0.0085	0.003	-0.6758	0.499142
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LINC01359_1Mwindow.wgt.RDat	LINC01359	1	64945260	65968159	0.0316	rs17127247	-3.11	rs2256298	 0.006302	 4.81	-0.963	441	1	top1	0.0063	0.0093	-0.9630	0.335548
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LINC02801_1Mwindow.wgt.RDat	LINC02801	1	87178352	88217014	0.0348	rs7517567	-2.31	rs10801868	-0.000929	 6.34	 1.214	425	1	top1	-0.00093	0.7	 1.2140	0.224748
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.S100A13_1Mwindow.wgt.RDat	S100A13	1	153091275	154106837	0.0819	rs4459102	 3.76	rs12564925	 0.070235	 8.31	 1.015	385	1	top1	0.07	2.2e-16	 1.0150	0.310106
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NEXN_1Mwindow.wgt.RDat	NEXN	1	77854309	78909580	0.0442	rs17391694	-4.42	rs2136682	 0.001078	 4.64	 1.507	371	371	blup	0.0067	0.0075	 2.5097	0.012083
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RPA2_1Mwindow.wgt.RDat	RPA2	1	27718035	28741308	0.0224	rs7523070	 3.13	rs2295367	 0.011630	-4.45	-2.643	229	1	top1	0.012	0.00063	 2.6430	0.008218
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PGBD5_1Mwindow.wgt.RDat	PGBD5	1	229950236	231062078	0.0367	rs7529009	-4.37	rs16851315	 0.011068	 3.80	-0.301	667	1	top1	0.011	0.00084	-0.3010	0.763414
