PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.TNC_1Mwindow.wgt.RDat	TNC	9	117281854	118380436	0.0777	rs1271449	-3.21	rs13300423	-0.000899	  4.79	-0.4460	 659	 659	blup	0.0063	0.0078	-0.3376	0.7357
NK	RA_only/NK_5pcs_all/NK.INPP5E_1Mwindow.wgt.RDat	INPP5E	9	138823071	139834297	0.0408	rs10870194	-5.45	rs4842074	-0.001003	 -2.97	 0.0273	 308	 308	blup	0.0095	0.0014	 0.5421	0.5878
NK	RA_only/NK_5pcs_all/NK.OSTF1_1Mwindow.wgt.RDat	OSTF1	9	77203430	78262181	0.1199	rs1410227	-2.60	rs10869516	 0.033269	 -7.85	 1.4070	 468	   2	lasso	0.098	1.2e-23	-1.2666	0.2053
NK	RA_only/NK_5pcs_all/NK.ERMP1_1Mwindow.wgt.RDat	ERMP1	9	5284572	6333117	0.0392	rs7027298	 2.66	rs12377641	 0.029482	 -5.44	-0.0462	 472	   1	top1	0.029	4.5e-08	 0.0462	0.9632
NK	RA_only/NK_5pcs_all/NK.RORB_1Mwindow.wgt.RDat	RORB	9	76612251	77808093	0.0607	rs1410227	-2.60	rs10869383	 0.076933	 -9.08	 1.4860	 455	   5	enet	0.079	2.5e-19	-1.9200	0.0549
NK	RA_only/NK_5pcs_all/NK.BNC2_1Mwindow.wgt.RDat	BNC2	9	15909501	17370668	0.1378	rs10738467	 3.02	rs10962668	 0.073487	 -8.61	 1.3500	 803	   1	top1	0.073	5.3e-18	-1.3500	0.1770
NK	RA_only/NK_5pcs_all/NK.NMRK1_1Mwindow.wgt.RDat	NMRK1	9	77175493	78203071	0.0781	rs1410227	-2.60	rs2273766	 0.037823	 -6.80	-1.6530	 441	   3	lasso	0.05	1e-12	 0.5670	0.5707
NK	RA_only/NK_5pcs_all/NK.TAL2_1Mwindow.wgt.RDat	TAL2	9	107924738	108925405	0.8426	NA	   NA	NA	       NA	    NA	     NA	 378	   0	top1	-7e-04	0.57	     NA	    NA
NK	RA_only/NK_5pcs_all/NK.UBE2R2-AS1_1Mwindow.wgt.RDat	UBE2R2-AS1	9	33224083	34318866	0.0159	rs706133	-3.53	rs10814048	 0.002789	  4.41	 0.1910	 333	 333	blup	0.0056	0.011	-1.3267	0.1846
NK	RA_only/NK_5pcs_all/NK.LINC01242_1Mwindow.wgt.RDat	LINC01242	9	29888933	30908452	0.5222	NA	   NA	NA	       NA	    NA	     NA	   0	   0	enet	0.19	2.7e-45	     NA	    NA
