PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.DNAJA4_1Mwindow.wgt.RDat	DNAJA4	15	78056487	79074533	0.0354	rs2037348	-2.81	rs7173851	 0.000564	  3.73	 0.2720	391	391	blup	0.0024	0.073	 1.0011	0.3168
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ANPEP_1Mwindow.wgt.RDat	ANPEP	15	89828126	90858084	0.1395	rs7178909	 2.88	rs11073891	 0.120165	-10.62	 1.7576	374	  2	lasso	0.12	1e-28	-1.7331	0.0831
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ALDH1A2_1Mwindow.wgt.RDat	ALDH1A2	15	57745627	58857909	0.0256	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.012	0.00043	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SAXO2_1Mwindow.wgt.RDat	SAXO2	15	82055159	83077268	0.0262	rs1532750	-2.94	rs9972386	-0.000343	  5.16	 0.0689	242	  1	top1	-0.00034	0.41	 0.0689	0.9450
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ST20-AS1_1Mwindow.wgt.RDat	ST20-AS1	15	79715113	80717196	0.0291	NA	   NA	NA	       NA	    NA	     NA	574	  0	blup	0.0044	0.024	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PSTPIP1_1Mwindow.wgt.RDat	PSTPIP1	15	76787021	77829816	0.0140	NA	   NA	NA	       NA	    NA	     NA	219	  0	blup	0.0032	0.046	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RBPMS2_1Mwindow.wgt.RDat	RBPMS2	15	64532090	65567788	0.0414	NA	   NA	NA	       NA	    NA	     NA	267	  0	blup	0.0043	0.025	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.BLM_1Mwindow.wgt.RDat	BLM	15	90760577	91859396	0.0555	NA	   NA	NA	       NA	    NA	     NA	510	  0	top1	0.038	1.4e-09	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.GABPB1-AS1_1Mwindow.wgt.RDat	GABPB1-AS1	15	50146371	51150509	0.0484	NA	   NA	NA	       NA	    NA	     NA	422	  0	top1	0.045	5.1e-11	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FAN1_1Mwindow.wgt.RDat	FAN1	15	30696055	31735311	0.0196	rs8036176	-3.08	rs12905321	 0.010845	 -4.09	 0.4680	318	  2	enet	0.015	1e-04	-0.4718	0.6371
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ARPIN_1Mwindow.wgt.RDat	ARPIN	15	89938238	90956184	0.0865	rs7178909	 2.76	rs1256854	 0.060579	 -7.02	 1.1280	390	  5	enet	0.062	8.4e-15	-1.2909	0.1968
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CLN6_1Mwindow.wgt.RDat	CLN6	15	67999330	69022066	0.0230	rs1584135	 3.48	rs1049493	 0.021396	 -4.69	 0.6070	465	  1	top1	0.021	4.6e-06	-0.6070	0.5439
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NOP10_1Mwindow.wgt.RDat	NOP10	15	34133920	35135337	0.0321	rs489832	-3.32	rs6495662	 0.021302	  5.10	-1.0173	361	  1	top1	0.021	4.8e-06	-1.0173	0.3090
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.THBS1_1Mwindow.wgt.RDat	THBS1	15	39373280	40391667	0.1677	rs1440802	-2.25	rs7496544	 0.075790	  6.13	-1.4634	519	  3	lasso	0.12	9.2e-28	 0.3047	0.7606
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RAD51-AS1_1Mwindow.wgt.RDat	RAD51-AS1	15	40485932	41487303	0.0224	NA	   NA	NA	       NA	    NA	     NA	290	  0	blup	0.01	0.0013	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NR2F2_1Mwindow.wgt.RDat	NR2F2	15	96369275	97383492	0.0618	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.006	0.01	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.AP4E1_1Mwindow.wgt.RDat	AP4E1	15	50700880	51798092	0.0257	rs6493489	 2.77	rs2614763	 0.000187	  3.63	 2.4760	495	495	blup	0.0095	0.0017	 0.8927	0.3720
