PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.PRDM16-DT_1Mwindow.wgt.RDat	PRDM16-DT	1	2476181	3484289	0.0543	rs11578011	  8.45	rs2493254	 2.54e-03	  5.02	 1.3493	328	1	top1	0.0025	0.066	 1.3493	1.77e-01
gdT	RA_only/gdT_5pcs_all/gdT.ANXA9_1Mwindow.wgt.RDat	ANXA9	1	150454768	151468110	0.0288	rs2878950	 -4.51	rs10305740	-8.45e-04	  5.73	-3.2059	298	1	top1	-0.00085	0.65	-3.2059	1.35e-03
gdT	RA_only/gdT_5pcs_all/gdT.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.0279	rs3767876	 -7.84	rs7555931	-6.15e-04	 -3.71	 1.1200	391	391	blup	0.0041	0.028	-2.1356	3.27e-02
gdT	RA_only/gdT_5pcs_all/gdT.PPOX_1Mwindow.wgt.RDat	PPOX	1	160636216	161641010	0.0266	rs2099684	  7.23	rs16832823	 1.20e-02	  4.11	 1.4799	369	369	blup	0.015	0.0001	 0.3339	7.38e-01
gdT	RA_only/gdT_5pcs_all/gdT.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.1094	rs1546924	  3.69	rs654997	 7.87e-02	  8.81	-1.2245	566	1	top1	0.079	9.2e-19	-1.2245	2.21e-01
gdT	RA_only/gdT_5pcs_all/gdT.SFN_1Mwindow.wgt.RDat	SFN	1	26689640	27690947	0.0244	rs2278979	 -4.49	rs34676516	-1.03e-03	  3.43	 1.5357	243	1	top1	-0.001	0.87	 1.5357	1.25e-01
gdT	RA_only/gdT_5pcs_all/gdT.XCL2_1Mwindow.wgt.RDat	XCL2	1	168010006	169013235	0.1542	rs2786758	  4.12	rs1323533	 1.15e-01	-10.84	-0.1915	514	1	lasso	0.12	1.4e-27	 0.1915	8.48e-01
gdT	RA_only/gdT_5pcs_all/gdT.LINC00339_1Mwindow.wgt.RDat	LINC00339	1	21851684	22857717	0.0448	rs12568930	  5.95	rs2235529	 1.87e-02	 -4.42	 1.5456	503	1	lasso	0.027	2.1e-07	 0.1312	8.96e-01
gdT	RA_only/gdT_5pcs_all/gdT.KCNAB2_1Mwindow.wgt.RDat	KCNAB2	1	5552736	6661240	0.0295	rs2247392	  2.82	rs6683017	 2.53e-04	 -3.87	 0.0703	515	515	blup	0.01	0.0012	-0.9673	3.33e-01
gdT	RA_only/gdT_5pcs_all/gdT.PPIAL4G_1Mwindow.wgt.RDat	PPIAL4G	1	147454635	148455394	0.0419		    NA		       NA	    NA	     NA	  0	0	lasso	0.027	2.3e-07	     NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.NBPF15_1Mwindow.wgt.RDat	NBPF15	1	148055984	149096263	0.0104		    NA		       NA	    NA	     NA	 NA	0	enet	0.0021	0.084	     NA	      NA
