PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PAX9_1Mwindow.wgt.RDat	PAX9	14	36626773	37648567	0.07389	rs4900717	-3.644	rs7159241	-0.001034	 5.13	-0.364	532	532	blup	4e-04	0.24	-1.528	0.12651
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHV3-23_1Mwindow.wgt.RDat	IGHV3-23	14	106225199	107225654	0.00923	rs2013423	-0.794	rs1024350	 0.007830	-3.34	-0.383	 20	  1	enet	0.012	4e-04	-0.306	0.75960
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHG1_1Mwindow.wgt.RDat	IGHG1	14	105707810	106709407	0.03243	rs6576094	 2.185	rs8021330	 0.000743	-3.57	-1.539	 39	 39	blup	0.0071	0.0051	 1.765	0.07765
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.L3HYPDH_1Mwindow.wgt.RDat	L3HYPDH	14	59439324	60451126	0.01943	rs2180426	 3.234	rs1262135	 0.013374	-4.49	 2.561	464	  1	lasso	0.013	0.00019	-2.561	0.01044
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.POLE2_1Mwindow.wgt.RDat	POLE2	14	49610273	50654932	0.03945	rs17830933	-3.213	rs6572597	 0.010293	 3.94	-0.272	375	  1	top1	0.01	0.00094	-0.272	0.78562
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHV3-48_1Mwindow.wgt.RDat	IGHV3-48	14	106493812	107494267	0.06126	rs17112078	 1.197	rs7145254	 0.001145	-2.10	-0.052	 36	  1	top1	0.0011	0.15	 0.052	0.95853
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MIR4307HG_1Mwindow.wgt.RDat	MIR4307HG	14	26842339	27883949	0.02393	NA	    NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.076	1.4e-18	    NA	     NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ZFP36L1_1Mwindow.wgt.RDat	ZFP36L1	14	68754372	69762960	0.02497	rs10148085	-3.319	rs4902647	 0.003004	 3.84	-0.049	618	618	blup	0.0051	0.015	 0.519	0.60382
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02325_1Mwindow.wgt.RDat	LINC02325	14	97425153	98547720	0.03786	rs751439	 3.548	rs8017053	-0.000634	 4.02	 0.505	528	  1	top1	-0.00063	0.53	 0.505	0.61356
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CCDC175_1Mwindow.wgt.RDat	CCDC175	14	59471785	60543530	0.04398	rs1956356	 2.958	rs10483718	-0.001033	 4.66	 0.599	465	  1	top1	-0.001	0.93	 0.599	0.54917
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.WARS1_1Mwindow.wgt.RDat	WARS1	14	100300127	101342664	0.10430	rs6575763	 5.585	rs941931	 0.112382	10.64	-3.043	429	  1	top1	0.11	6.1e-27	-3.043	0.00234
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHV1-58_1Mwindow.wgt.RDat	IGHV1-58	14	106578371	107578808	0.01332	NA	    NA	NA	       NA	   NA	    NA	 36	  0	lasso	-0.00025	0.38	    NA	     NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.OR10G3_1Mwindow.wgt.RDat	OR10G3	14	21536651	22548210	0.02580	rs17197037	-2.460	rs7141803	-0.000929	 4.01	-1.028	497	497	blup	0.0029	0.052	-0.782	0.43450
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHG4_1Mwindow.wgt.RDat	IGHG4	14	105590813	106592402	0.04313	rs3825761	-3.130	rs4075104	 0.007918	-4.20	-0.768	 74	 74	blup	0.013	2e-04	 0.629	0.52905
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MIPOL1_1Mwindow.wgt.RDat	MIPOL1	14	37167142	38521566	0.02940	rs4901140	-4.126	rs2038309	-0.000824	 4.78	-2.315	494	494	blup	0.0081	0.0029	-1.661	0.09679
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CCDC198_1Mwindow.wgt.RDat	CCDC198	14	57436018	58460575	0.10494	rs7153269	 2.973	rs1092015	-0.000861	 4.82	 1.567	441	441	blup	0.00014	0.29	 0.395	0.69273
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.COX8C_1Mwindow.wgt.RDat	COX8C	14	93313528	94314702	0.05359	rs8003522	 2.074	rs17128893	-0.000965	 3.73	 0.826	400	400	blup	-0.00092	0.73	 0.566	0.57109
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TC2N_1Mwindow.wgt.RDat	TC2N	14	91746090	92833880	0.04850	rs12432529	 3.570	rs11845931	 0.002251	 4.22	-0.010	487	487	blup	0.013	0.00018	 0.357	0.72117
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHE_1Mwindow.wgt.RDat	IGHE	14	105566403	106568064	0.02201	rs3825761	-3.130	rs8022526	 0.001998	-2.46	-0.262	 84	 84	blup	0.0092	0.0017	 0.417	0.67675
