PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TMPRSS3_1Mwindow.wgt.RDat	TMPRSS3	21	43291999	44316161	0.0574	rs9978277	 4.29	rs8130564	 3.32e-02	-6.58	 0.100	767	  1	lasso	0.034	1.5e-08	-0.1000	0.9203
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MX1_1Mwindow.wgt.RDat	MX1	21	42292485	43331141	0.0591	rs2838099	 3.19	rs2838035	 2.34e-02	 4.66	 0.739	654	  1	top1	0.023	2.3e-06	 0.7390	0.4599
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.U2AF1_1Mwindow.wgt.RDat	U2AF1	21	44013066	45027688	0.1378	rs9978277	 4.29	rs2839633	 1.03e-01	-9.85	-0.896	484	  1	lasso	0.1	2e-23	 0.8960	0.3703
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PWP2_1Mwindow.wgt.RDat	PWP2	21	45027280	46051063	0.0543	rs2838464	-4.74	rs2838512	 4.53e-02	 5.26	-2.886	408	  1	top1	0.045	6.3e-11	-2.8860	0.0039
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.C2CD2_1Mwindow.wgt.RDat	C2CD2	21	42805221	43874127	0.0511	rs2838099	 3.19	rs2839482	 1.20e-03	 4.07	 1.150	808	808	blup	0.018	3.1e-05	-0.4568	0.6478
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GET1_1Mwindow.wgt.RDat	GET1	21	40252252	41300454	0.0281	rs2836768	-3.01	rs2837008	 2.75e-02	 5.39	-0.240	671	  1	top1	0.028	3.2e-07	-0.2400	0.8103
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MAP3K7CL_1Mwindow.wgt.RDat	MAP3K7CL	21	29949435	31048208	0.0801	rs2832238	-2.74	rs8129616	 8.02e-02	 8.89	 0.755	473	  1	lasso	0.087	8e-20	 0.6130	0.5399
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.HMGN1_1Mwindow.wgt.RDat	HMGN1	21	40214241	41221014	0.0435	rs2836768	-3.01	rs2854727	 2.45e-02	 5.90	-0.706	640	640	blup	0.033	2.6e-08	-1.3466	0.1781
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CCT8_1Mwindow.wgt.RDat	CCT8	21	29928647	30945969	0.0241	rs2832238	-2.74	rs6516887	 9.05e-03	 4.29	-0.332	408	408	blup	0.0094	0.002	-0.0882	0.9298
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SPATC1L_1Mwindow.wgt.RDat	SPATC1L	21	47081074	48104373	0.0526	rs11543052	 4.21	rs4818826	 2.20e-02	-5.16	-0.412	467	467	blup	0.027	4.2e-07	 1.6151	0.1063
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ITGB2_1Mwindow.wgt.RDat	ITGB2	21	45805868	46848730	0.1495	rs4818775	-3.04	rs760462	 9.87e-02	 9.48	-0.496	546	  1	top1	0.099	2.4e-22	-0.4960	0.6199
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FAM3B_1Mwindow.wgt.RDat	FAM3B	21	42188728	43229654	0.1756	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.13	8.2e-29	     NA	    NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SIK1_1Mwindow.wgt.RDat	SIK1	21	44334363	45347011	0.0576	rs415763	-2.62	rs430554	 4.09e-02	 7.43	-0.659	428	  1	lasso	0.045	9.2e-11	-0.6590	0.5099
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.UMODL1-AS1_1Mwindow.wgt.RDat	UMODL1-AS1	21	43022244	44028644	0.1762	rs2838099	 3.19	rs8127300	 9.53e-02	10.41	 0.358	823	  1	lasso	0.12	2.4e-26	 0.3580	0.7203
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.YBEY_1Mwindow.wgt.RDat	YBEY	21	47206256	48217665	0.0618	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.03	1.2e-07	     NA	    NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PRMT2_1Mwindow.wgt.RDat	PRMT2	21	47555586	48585036	0.0233	rs11543052	 4.21	rs2096509	 1.04e-02	-3.71	-0.842	254	  1	top1	0.01	0.0013	 0.8420	0.3998
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CBR3-AS1_1Mwindow.wgt.RDat	CBR3-AS1	21	37004065	38028606	0.0422	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.023	2.5e-06	     NA	    NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ITSN1_1Mwindow.wgt.RDat	ITSN1	21	34514807	35772165	0.0355	rs2248321	-2.89	rs2834253	-9.63e-05	-4.44	 0.482	533	533	blup	0.0083	0.0035	-0.0414	0.9669
