PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC01721_1Mwindow.wgt.RDat	LINC01721	20	23680403	24705224	0.0331	rs11700002	-3.94	rs6083433	 2.37e-03	 4.33	 0.254	463	  1	top1	0.0024	0.07	 0.254	7.99e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.APMAP_1Mwindow.wgt.RDat	APMAP	20	24443561	25473387	0.0588	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.0088	0.002	    NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MATN4_1Mwindow.wgt.RDat	MATN4	20	43422090	44437169	0.0165	rs11780	 3.81	rs7344269	 3.68e-03	 3.37	 0.502	473	473	blup	0.0094	0.0015	-0.356	7.22e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SLC17A9_1Mwindow.wgt.RDat	SLC17A9	20	61084061	62100937	0.0461	rs6062278	 4.58	rs4969531	-4.70e-04	 3.35	-1.624	451	451	blup	0.0088	0.002	 0.530	5.96e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SAMHD1_1Mwindow.wgt.RDat	SAMHD1	20	35018176	36080111	0.0522	rs1291117	-3.20	rs7268811	 2.79e-02	 5.03	-1.713	237	  1	top1	0.028	1e-07	-1.713	8.67e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DEFB127_1Mwindow.wgt.RDat	DEFB127	20	0	639804	0.0380	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	-0.001	0.87	    NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.STMN3_1Mwindow.wgt.RDat	STMN3	20	61771065	62784777	0.0274	rs6011058	10.67	rs6062468	 1.90e-02	 5.89	-7.075	385	  1	enet	0.026	3.2e-07	-7.075	1.49e-12
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.KIF16B_1Mwindow.wgt.RDat	KIF16B	20	15752749	17054093	0.0724	rs1080954	-3.80	rs6044134	 5.39e-02	 7.66	-0.548	965	  3	enet	0.066	3.2e-16	-0.951	3.42e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SNRPB2_1Mwindow.wgt.RDat	SNRPB2	20	16210671	17223209	0.0356	rs1080954	-3.80	rs6075116	 3.73e-04	-3.82	 0.038	709	  4	lasso	0.015	9.1e-05	-0.151	8.80e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CST3_1Mwindow.wgt.RDat	CST3	20	23107343	24118592	0.0309	rs844904	 3.11	rs6083283	 1.30e-03	 3.30	-0.750	528	  1	top1	0.0013	0.13	-0.750	4.53e-01
