PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.NBL1_1Mwindow.wgt.RDat	NBL1	1	19469723	20484945	0.1242	rs10492998	 3.60	rs10917493	 3.44e-02	 -4.60	 1.227	516	516	blup	0.037	1.6e-09	 0.959	3.37e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MDS2_1Mwindow.wgt.RDat	MDS2	1	23453824	24467058	0.0453	rs2501424	 9.83	rs34570472	 9.83e-03	  4.60	 8.396	326	326	blup	0.02	8.4e-06	 5.767	8.08e-09
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.THEM4_1Mwindow.wgt.RDat	THEM4	1	151343342	152381987	0.0354	rs1039088	 2.46	rs13320	 1.76e-02	 -4.96	 0.266	334	1	top1	0.018	2.5e-05	-0.266	7.90e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.PHACTR4_1Mwindow.wgt.RDat	PHACTR4	1	28196251	29326876	0.0134	rs157231	 3.52	rs4908398	 9.90e-03	 -4.37	 1.058	310	1	top1	0.0099	0.0012	-1.058	2.90e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ANGPTL1_1Mwindow.wgt.RDat	ANGPTL1	1	178318670	179340212	1.0	rs2761477	-2.69	rs12083856	-1.05e-03	  8.16	-0.075	416	1	top1	-0.001	0.92	-0.075	9.40e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ZNF644_1Mwindow.wgt.RDat	ZNF644	1	90880861	91987592	0.0312	rs946077	-2.33	rs1034499	 4.03e-05	  3.26	-0.482	442	442	blup	0.0069	0.0059	 1.295	1.95e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.045	rs11102212	 3.67	rs7514853	 2.58e-03	  3.77	 0.266	566	566	blup	0.011	0.00056	 1.898	5.78e-02
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.LINC01354_1Mwindow.wgt.RDat	LINC01354	1	234163637	235167525	0.0838		   NA		       NA	    NA	    NA	0	0	lasso	0.002	0.091	    NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SLC35D1_1Mwindow.wgt.RDat	SLC35D1	1	66965033	68019831	0.0268	rs11208944	-3.77	rs4655625	-1.04e-03	  3.40	-2.687	547	547	blup	0.01	0.0011	-1.150	2.50e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.0694	rs500117	-3.95	rs2239892	 1.81e-02	  4.63	-1.058	429	1	lasso	0.027	2e-07	-1.058	2.90e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GSTM4_1Mwindow.wgt.RDat	GSTM4	1	109698721	110708119	0.0725		   NA		       NA	    NA	    NA	0	0	lasso	0.06	9.6e-15	    NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.0877	rs11247729	 2.87	rs6679432	 6.17e-02	 -7.74	-1.405	224	7	enet	0.072	3e-17	-1.110	2.67e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.C1orf52_1Mwindow.wgt.RDat	C1orf52	1	85215636	86225345	0.0287	rs817473	 3.66	rs817387	-9.33e-04	 -3.31	-0.176	561	561	blup	0.0081	0.0032	 1.498	1.34e-01
