PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SNAPC4_1Mwindow.wgt.RDat	SNAPC4	9	138770023	139794622	0.0425	rs9314867	-2.73	rs13288023	-0.000663	  3.26	 0.8564	301	  3	enet	0.013	0.00018	 0.8895	0.3737
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DNAJA1_1Mwindow.wgt.RDat	DNAJA1	9	32525271	33539905	0.0405	rs6476383	-2.56	rs13300152	 0.004072	 -4.63	 0.4603	467	467	blup	0.015	6.4e-05	 0.3260	0.7444
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PTENP1-AS_1Mwindow.wgt.RDat	PTENP1-AS	9	33177266	34188009	0.0220	rs2228332	-2.21	rs16933401	 0.062480	  4.29	 1.7530	327	  1	top1	0.062	1.8e-15	 1.7530	0.0796
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MIR181A2HG_1Mwindow.wgt.RDat	MIR181A2HG	9	126920715	127960907	0.0205	rs4838131	 3.72	rs7041730	 0.001715	  3.99	 0.6039	308	308	blup	0.0094	0.0015	 0.1556	0.8764
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LCN10_1Mwindow.wgt.RDat	LCN10	9	139132622	140137392	0.0402	rs35680508	-2.99	rs6560652	-0.000459	 -3.36	 1.7213	323	323	blup	0.0077	0.0036	-0.2101	0.8336
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTNNAL1_1Mwindow.wgt.RDat	CTNNAL1	9	111204857	112275779	0.0456	rs10759298	-3.14	rs1140064	 0.001012	  5.28	 0.0440	634	634	blup	0.012	0.00045	-0.0798	0.9364
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PHYHD1_1Mwindow.wgt.RDat	PHYHD1	9	131183261	132204320	0.0344	rs4837366	 2.49	rs10819457	 0.011069	 -4.22	 0.0232	306	  1	enet	0.023	1.3e-06	-0.0672	0.9464
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPS6_1Mwindow.wgt.RDat	RPS6	9	18875713	19880234	0.0998	rs7848526	-2.78	rs10119465	 0.062672	 -8.03	-1.6381	529	  1	top1	0.063	1.6e-15	 1.6381	0.1014
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.OMD_1Mwindow.wgt.RDat	OMD	9	94674662	95686753	0.0644	rs12339442	 2.42	rs10992350	 0.056002	  7.63	 1.7464	377	  1	top1	0.056	5.2e-14	 1.7464	0.0807
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANXA1_1Mwindow.wgt.RDat	ANXA1	9	75266781	76285309	0.0780	rs4745219	-2.69	rs2795108	 0.015447	  6.01	-1.0718	367	  1	lasso	0.032	1.2e-08	-1.0718	0.2838
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ERCC6L2_1Mwindow.wgt.RDat	ERCC6L2	9	98137973	99303374	0.0246	rs419574	 3.62	rs7852346	 0.019009	 -4.41	-0.1581	569	  1	top1	0.019	9.9e-06	 0.1581	0.8744
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SIGMAR1_1Mwindow.wgt.RDat	SIGMAR1	9	34134719	35137784	0.0677	rs6476463	 3.00	rs2070074	 0.006037	 -4.72	 0.4220	358	  3	lasso	0.015	1e-04	-0.4220	0.6730
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C9orf78_1Mwindow.wgt.RDat	C9orf78	9	132089569	133097554	0.0296	rs4837366	 2.49	rs12634	 0.013776	 -4.92	 0.8636	441	  1	top1	0.014	0.00015	-0.8636	0.3878
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FBP1_1Mwindow.wgt.RDat	FBP1	9	96865415	97902545	0.0150	rs10761362	-2.19	rs6479557	 0.009808	  4.94	-0.5785	370	  1	top1	0.0098	0.0012	-0.5785	0.5629
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SNHG7_1Mwindow.wgt.RDat	SNHG7	9	139119046	140122636	0.3452	rs35680508	-2.96	rs11793962	 0.101781	 -6.56	 0.6693	322	 13	enet	0.16	4.2e-39	 0.1291	0.8973
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TLE4_1Mwindow.wgt.RDat	TLE4	9	81686880	82841797	0.0452	rs17082537	 2.30	rs4877145	 0.026974	  5.77	 0.7377	561	  1	top1	0.027	1.7e-07	 0.7377	0.4607
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AK1_1Mwindow.wgt.RDat	AK1	9	130128759	131141900	0.0285	rs10987737	 2.33	rs10819333	 0.000640	 -3.86	 1.5133	335	  7	enet	0.0021	0.081	-1.7652	0.0775
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RALGPS1_1Mwindow.wgt.RDat	RALGPS1	9	129177061	130485445	0.0300	rs1005918	-2.76	rs502352	 0.020642	  5.01	 1.2948	481	  1	top1	0.021	4.3e-06	 1.2948	0.1954
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.OLFM1_1Mwindow.wgt.RDat	OLFM1	9	137467351	138513030	0.0668	rs4072883	-3.17	rs4279676	-0.000498	  5.08	 0.0471	608	608	blup	0.0044	0.022	 0.7084	0.4787
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NPDC1_1Mwindow.wgt.RDat	NPDC1	9	139433915	140440629	0.0259	rs7045617	-2.47	rs10870177	 0.021316	  4.34	-0.4103	271	  1	top1	0.021	3e-06	-0.4103	0.6816
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTSL_1Mwindow.wgt.RDat	CTSL	9	89841034	90846384	0.0795	rs4072799	-2.69	rs9410942	 0.070795	 -8.46	 0.4671	580	  1	lasso	0.073	8.8e-18	 0.1108	0.9118
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ASTN2-AS1_1Mwindow.wgt.RDat	ASTN2-AS1	9	118766562	119824572	0.0460	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	-9e-04	0.72	     NA	    NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NUDT2_1Mwindow.wgt.RDat	NUDT2	9	33829567	34843697	0.0683	rs6476463	 3.54	rs4878564	 0.053765	  7.88	-0.3487	345	  3	enet	0.055	9.3e-14	-0.4832	0.6289
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01492_1Mwindow.wgt.RDat	LINC01492	9	105402810	106587315	0.0312	rs7875761	-3.01	rs10990353	 0.001799	  5.20	 1.0071	580	  1	top1	0.0018	0.098	 1.0071	0.3139
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PSAT1_1Mwindow.wgt.RDat	PSAT1	9	80412041	81445009	0.0373	rs11790951	 3.34	rs10123128	 0.020035	  3.73	-0.7486	433	  1	top1	0.02	5.8e-06	-0.7486	0.4541
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GRHPR_1Mwindow.wgt.RDat	GRHPR	9	36922693	37936987	0.0538	rs7020413	 3.02	rs7856656	 0.035577	  6.11	 0.4416	451	  1	top1	0.036	2e-09	 0.4416	0.6588
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CARNMT1_1Mwindow.wgt.RDat	CARNMT1	9	77095706	78143346	0.0305	rs11519	 2.41	rs1930069	-0.000824	  3.57	-0.0601	450	450	blup	0.0052	0.014	-0.1700	0.8650
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DOCK8_1Mwindow.wgt.RDat	DOCK8	9	0	965255	0.0393	rs10813156	-3.52	rs13292474	 0.018065	 -5.41	 1.8488	647	  2	lasso	0.025	5.3e-07	-1.8485	0.0645
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.HACD4_1Mwindow.wgt.RDat	HACD4	9	20499508	21531639	0.0281	rs17832135	-3.57	rs1113401	 0.024341	  5.56	-0.3749	477	  1	top1	0.024	6.4e-07	-0.3749	0.7077
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NMRK1_1Mwindow.wgt.RDat	NMRK1	9	77175493	78203071	0.0724	rs11519	 2.41	rs3752955	 0.041228	  6.48	 0.9798	441	  5	enet	0.047	5.3e-12	 0.9434	0.3455
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KCNT1_1Mwindow.wgt.RDat	KCNT1	9	138094031	139187348	0.0476	rs13292721	 3.52	rs17499507	 0.000746	  3.87	 1.1371	443	443	blup	0.00093	0.17	-0.3777	0.7056
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TTC16_1Mwindow.wgt.RDat	TTC16	9	129978358	130993869	0.0328	rs10987737	 2.33	rs10760497	 0.004264	  4.48	 0.5035	352	352	blup	0.0099	0.0011	 0.1537	0.8778
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPL12_1Mwindow.wgt.RDat	RPL12	9	129709953	130713685	0.1476	rs10987737	 2.33	rs7869023	 0.163298	-13.24	-1.4294	348	 12	enet	0.18	8e-45	 0.5295	0.5964
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NANS_1Mwindow.wgt.RDat	NANS	9	100319014	101345359	0.0330	rs965513	-3.36	rs7870926	 0.017904	 -4.83	 1.4374	549	  1	top1	0.018	1.8e-05	-1.4374	0.1506
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CENPP_1Mwindow.wgt.RDat	CENPP	9	94587750	95882811	0.0329	rs12339442	 2.42	rs10992350	 0.027022	  5.39	 1.7464	508	  1	top1	0.027	1.6e-07	 1.7464	0.0807
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ISCA1_1Mwindow.wgt.RDat	ISCA1	9	88379461	89397453	0.0280	rs353804	 2.39	rs1547629	 0.003958	  3.80	 0.6020	378	378	blup	0.0067	0.0063	 0.1926	0.8473
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.B4GALT1_1Mwindow.wgt.RDat	B4GALT1	9	32604075	33667334	0.1054	rs6476383	-2.56	rs913214	 0.085661	  9.78	-0.2164	479	  1	lasso	0.093	1.4e-22	-0.2164	0.8287
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EBLN3P_1Mwindow.wgt.RDat	EBLN3P	9	36579893	37590398	0.0265	rs7020413	 3.02	rs7047872	 0.000659	  3.51	-0.2541	423	423	blup	0.006	0.0089	 0.1562	0.8759
