PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PREPL_1Mwindow.wgt.RDat	PREPL	2	44044746	45089001	0.0402	rs13023530	-4.70	rs17032022	-9.61e-04	 -3.50	-1.4690	477	477	blup	0.0096	0.0019	-1.7243	0.084647
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.C2orf27A_1Mwindow.wgt.RDat	C2orf27A	2	131940072	133024977	0.0548	rs7561046	-2.12	rs4850224	 1.03e-02	  5.35	 0.0956	 90	 90	blup	0.016	8.8e-05	-0.4278	0.668765
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.COL5A2_1Mwindow.wgt.RDat	COL5A2	2	189396624	190544487	0.0426	rs6434355	-3.64	rs6723725	-9.04e-04	  4.38	 0.4981	340	340	blup	-2.7e-05	0.32	 0.9251	0.354910
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MEIS1-AS2_1Mwindow.wgt.RDat	MEIS1-AS2	2	66166219	67167462	0.0554	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.11	1.3e-24	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CYBRD1_1Mwindow.wgt.RDat	CYBRD1	2	171878743	172914639	0.1213	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.085	2.3e-19	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MARCO_1Mwindow.wgt.RDat	MARCO	2	119199770	120252236	0.0722	rs4849726	-3.32	rs4491733	 6.93e-02	 -8.11	-0.0730	549	  1	top1	0.069	5.4e-16	 0.0730	0.941806
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LINC02611_1Mwindow.wgt.RDat	LINC02611	2	98877526	99888361	0.0389	rs6727412	-3.60	rs995617	-5.65e-04	  4.38	 1.7456	295	295	blup	0.0041	0.031	 0.9324	0.351112
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SLC38A11_1Mwindow.wgt.RDat	SLC38A11	2	165250864	166312035	0.0389	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.0011	0.86	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PAX8-AS1_1Mwindow.wgt.RDat	PAX8-AS1	2	113493104	114524600	0.1303	rs11689813	 3.50	rs11123172	 1.34e-01	-11.12	 1.0543	465	  1	top1	0.13	3.1e-30	-1.0543	0.291746
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ATIC_1Mwindow.wgt.RDat	ATIC	2	215676782	216714487	0.0325	rs4234009	-3.24	rs12997662	 2.22e-02	  4.28	 0.5001	462	  1	top1	0.022	4.1e-06	 0.5001	0.617005
