PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CDC42EP1_1Mwindow.wgt.RDat	CDC42EP1	22	37456487	38465412	0.1149	rs10854702	 3.75	rs5756736	 7.46e-02	 8.54	-0.841	431	  7	enet	0.096	2.6e-22	-0.6848	0.49346
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PI4KA_1Mwindow.wgt.RDat	PI4KA	22	20561979	21713099	0.0282	rs9620784	 3.00	rs1771149	-5.89e-04	 3.26	 1.899	365	365	blup	0.0049	0.018	 1.8190	0.06891
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IGLV3-9_1Mwindow.wgt.RDat	IGLV3-9	22	22661622	23662249	0.0324	rs1051875	 2.40	rs3788339	-1.01e-03	 3.87	 0.117	209	  1	lasso	-0.00066	0.53	 0.2497	0.80282
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FAM118A_1Mwindow.wgt.RDat	FAM118A	22	45204841	46237836	0.1522	rs17548742	-2.83	rs136604	 1.29e-01	11.37	-0.505	586	  5	enet	0.13	2.4e-30	 0.0578	0.95391
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SCUBE1-AS1_1Mwindow.wgt.RDat	SCUBE1-AS1	22	43171948	44179836	0.2355	rs6003121	 3.36	rs9333321	-8.58e-04	 7.35	 0.250	530	  1	top1	-0.00086	0.65	 0.2497	0.80282
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CRYBB2_1Mwindow.wgt.RDat	CRYBB2	22	25115606	26127836	0.2834	rs1001445	-2.91	rs760554	 1.92e-01	13.94	-1.264	375	 11	enet	0.2	3.7e-47	-1.2127	0.22526
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LGALS2_1Mwindow.wgt.RDat	LGALS2	22	37466255	38476094	0.3142	rs10854702	 3.75	rs5756736	 2.95e-01	16.56	-0.841	431	  5	enet	0.33	6.3e-84	-0.4227	0.67251
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC02891_1Mwindow.wgt.RDat	LINC02891	22	19686252	20692441	0.0313	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.00087	0.18	     NA	     NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SMDT1_1Mwindow.wgt.RDat	SMDT1	22	41975704	42980288	0.0412	rs1062753	-3.30	rs5751204	 3.26e-02	-6.25	 0.908	308	308	blup	0.035	6.9e-09	-1.2464	0.21261
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IGLV10-54_1Mwindow.wgt.RDat	IGLV10-54	22	22069197	23069661	0.0406	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.013	0.00024	     NA	     NA
