PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.INTU_1Mwindow.wgt.RDat	INTU	4	128054112	129147892	0.0131	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.00041	0.24	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.BEND4_1Mwindow.wgt.RDat	BEND4	4	41612870	42654672	0.8900	rs17530621	-2.64	rs11934922	-0.000914	 5.09	-0.9463	452	  1	top1	-0.00091	0.7	-0.9463	0.3440
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TLR6_1Mwindow.wgt.RDat	TLR6	4	38324518	39359376	0.0321	rs1565115	-3.40	rs5743595	-0.000945	 3.63	 0.9133	506	506	blup	0.006	0.01	 1.5581	0.1192
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SNHG8_1Mwindow.wgt.RDat	SNHG8	4	118699917	119700978	0.0315	rs6853879	 2.98	rs4833571	 0.005878	 4.55	-1.5548	277	277	blup	0.019	1.7e-05	-1.3556	0.1752
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SCD5_1Mwindow.wgt.RDat	SCD5	4	83050692	84219949	0.0251	rs993380	 3.18	rs6830527	 0.023424	 5.22	 2.2018	425	  1	top1	0.023	1.6e-06	 2.2018	0.0277
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ACOX3_1Mwindow.wgt.RDat	ACOX3	4	7868009	8942450	0.0676	rs10222845	 2.78	rs13130633	-0.000389	-4.12	-1.0976	475	475	blup	0.0096	0.0016	 0.9264	0.3543
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.DDIT4L_1Mwindow.wgt.RDat	DDIT4L	4	100607027	101611625	0.0335	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	-0.00047	0.45	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.GASK1B_1Mwindow.wgt.RDat	GASK1B	4	158545626	159594177	0.1493	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.16	4.3e-37	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.GABRB1_1Mwindow.wgt.RDat	GABRB1	4	46533584	47928464	0.0931	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.00027	0.26	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.NSG1_1Mwindow.wgt.RDat	NSG1	4	3888259	4920785	0.0784	rs6846409	-2.93	rs2369105	 0.032717	-7.10	 1.3979	423	  1	lasso	0.036	3.4e-09	-1.3979	0.1621
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.KLF3_1Mwindow.wgt.RDat	KLF3	4	38165820	39203138	0.0500	rs6812414	 4.90	rs16994596	 0.009359	-3.80	 0.0963	575	  1	top1	0.0094	0.0018	-0.0963	0.9233
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PDE6B_1Mwindow.wgt.RDat	PDE6B	4	119362	1164571	0.0293	rs6840253	-2.01	rs28759200	-0.000103	 3.73	 0.3356	358	  3	enet	0.0032	0.047	-0.1361	0.8918
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.LINC02273_1Mwindow.wgt.RDat	LINC02273	4	152521905	153525872	0.0756	rs7698827	 2.82	rs1991223	 0.047396	-6.99	-0.1478	351	  1	top1	0.047	1.1e-11	 0.1478	0.8825
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.KLKB1_1Mwindow.wgt.RDat	KLKB1	4	186648661	187679625	0.0617	rs11721827	 3.73	rs11938564	 0.001396	 4.62	-0.3106	570	570	blup	0.0094	0.0017	 0.4260	0.6701
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.RPS3A_1Mwindow.wgt.RDat	RPS3A	4	151520780	152525794	0.0526	rs17590964	-2.34	rs2280283	 0.045757	-7.49	-0.6206	256	  1	top1	0.046	2.6e-11	 0.6206	0.5349
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.C4orf48_1Mwindow.wgt.RDat	C4orf48	4	1543722	2545691	0.0315	rs4374681	-2.77	rs28468452	 0.020872	-4.37	 0.0701	292	  1	top1	0.021	5.7e-06	-0.0701	0.9441
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.FAM184B_1Mwindow.wgt.RDat	FAM184B	4	17130929	18283244	0.0620	rs6854692	 3.58	rs1006722	 0.084061	 9.56	-0.7894	469	  1	top1	0.084	1e-19	-0.7894	0.4299
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TBC1D1_1Mwindow.wgt.RDat	TBC1D1	4	37392705	38640794	0.0541	rs6812414	 4.90	rs4832749	-0.000191	-4.05	-1.4307	786	786	blup	0.014	2e-04	 0.0104	0.9917
