PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PEAK1_1Mwindow.wgt.RDat	PEAK1	15	76900500	78212446	0.0194	rs869301	-4.51	rs4886883	 0.001265	  3.93	 0.0671	358	358	blup	0.0042	0.025	 1.8175	6.91e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FMN1_1Mwindow.wgt.RDat	FMN1	15	32557745	33986915	0.3179	rs8035130	 2.83	rs345781	 0.355804	 18.76	-0.1286	783	  7	enet	0.36	2.8e-95	-0.0838	9.33e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CYFIP1_1Mwindow.wgt.RDat	CYFIP1	15	22392170	23506016	0.0273	rs4778471	-2.51	rs11636068	 0.004515	  3.82	 0.8783	 68	 68	blup	0.0092	0.0016	-1.0216	3.07e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NOP10_1Mwindow.wgt.RDat	NOP10	15	34133920	35135337	0.0264	rs11072734	 3.23	rs180886	 0.002944	  4.31	 0.9293	361	361	blup	0.0092	0.0016	 1.5933	1.11e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GABPB1-AS1_1Mwindow.wgt.RDat	GABPB1-AS1	15	50146371	51150509	0.1501	rs3131584	-3.83	rs12903381	 0.167311	 13.12	 1.0416	422	  1	top1	0.17	1.5e-40	 1.0416	2.98e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SMAD3_1Mwindow.wgt.RDat	SMAD3	15	66857940	67987507	0.0271	rs1440371	 6.61	rs3825977	-0.001034	 -3.56	-3.7333	574	574	blup	0.007	0.0053	 5.6111	2.01e-08
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ADAL_1Mwindow.wgt.RDat	ADAL	15	43122549	44146767	0.0280	rs2439832	 2.49	rs570272	-0.000891	 -3.37	 2.2651	196	196	blup	0.0055	0.012	-0.3310	7.41e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RSL24D1_1Mwindow.wgt.RDat	RSL24D1	15	54973004	55989139	0.0449	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.03	3.6e-08	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01579_1Mwindow.wgt.RDat	LINC01579	15	93939288	94943828	0.0356	rs1479834	 3.90	rs2051041	-0.000684	  5.32	-0.2056	609	609	blup	0.016	4.5e-05	-0.9878	3.23e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SAXO2_1Mwindow.wgt.RDat	SAXO2	15	82055159	83077268	0.1201	rs4778945	 3.32	rs9972386	 0.137133	 11.76	 1.9434	242	  1	top1	0.14	4.8e-33	 1.9434	5.20e-02
