PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SH3PXD2A-AS1_1Mwindow.wgt.RDat	SH3PXD2A-AS1	10	105006537	106015167	0.0684	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.0059	0.011	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KCNMA1_1Mwindow.wgt.RDat	KCNMA1	10	78129360	79897566	0.0350	rs1907344	 3.87	rs816828	 0.008538	 5.77	 0.354	866	  4	enet	0.014	0.00017	 0.3693	7.12e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.VCL_1Mwindow.wgt.RDat	VCL	10	75257874	76381121	0.0214	rs10824151	-2.34	rs12220238	 0.003754	-4.01	-1.616	243	243	blup	0.0085	0.0029	 0.3322	7.40e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.HECTD2_1Mwindow.wgt.RDat	HECTD2	10	92668992	93774577	0.0357	rs3939	-3.35	rs7910115	 0.006278	 5.07	-0.397	406	  1	top1	0.0063	0.009	-0.3970	6.91e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RRP12_1Mwindow.wgt.RDat	RRP12	10	98616114	99661127	0.0262	rs3829856	-3.31	rs6584128	 0.019574	 5.46	 1.857	472	  1	top1	0.02	1.1e-05	 1.8570	6.33e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NEBL_1Mwindow.wgt.RDat	NEBL	10	20568902	22081979	0.3583	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.28	2.3e-69	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PKD2L1_1Mwindow.wgt.RDat	PKD2L1	10	101547906	102589985	0.0465	rs11190302	-3.54	rs7897454	 0.034304	 6.32	 0.849	394	  1	top1	0.034	7.9e-09	 0.8490	3.96e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LIPA_1Mwindow.wgt.RDat	LIPA	10	90473329	91511532	0.1065	rs4934425	 2.96	rs1412444	 0.091134	 9.28	-0.077	571	  2	lasso	0.094	6.1e-22	-0.2255	8.22e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IDE_1Mwindow.wgt.RDat	IDE	10	93711441	94833850	0.0217	rs7086285	 4.12	rs7067935	 0.010950	-3.59	-2.556	391	  1	top1	0.011	0.00082	 2.5560	1.06e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KIF20B_1Mwindow.wgt.RDat	KIF20B	10	90961347	92034691	0.0289	rs304502	 2.85	rs17503531	-0.000873	 3.46	-1.356	512	512	blup	0.0018	0.1	 0.6948	4.87e-01
