PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPS23_1Mwindow.wgt.RDat	RPS23	5	81069139	82074173	0.0256	rs16899359	 3.68	rs6867982	 0.011898	 -5.00	-1.555	427	  1	lasso	0.013	0.00027	 1.5550	1.20e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.P4HA2_1Mwindow.wgt.RDat	P4HA2	5	131025840	132063546	0.0400	rs11744116	-4.17	rs2074808	 0.008921	  3.69	-0.228	411	  1	top1	0.0089	0.0019	-0.2280	8.20e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02150_1Mwindow.wgt.RDat	LINC02150	5	15873470	16941211	0.7408	rs173789	-2.61	rs12187846	-0.001019	  8.84	-0.126	484	  8	lasso	-0.00036	0.42	-0.4343	6.64e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02197_1Mwindow.wgt.RDat	LINC02197	5	70116858	71242583	0.0180	rs13168712	 5.51	rs986217	 0.030844	  3.50	 0.189	221	  1	top1	0.031	2.3e-08	 0.1890	8.50e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.POC5_1Mwindow.wgt.RDat	POC5	5	74469949	75513262	0.0215	rs17564079	-2.94	rs2047059	 0.000814	  3.68	-1.254	392	392	blup	0.005	0.016	-0.3875	6.98e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPWD1_1Mwindow.wgt.RDat	PPWD1	5	64359123	65383376	0.0165	rs37018	-5.00	rs33396	 0.006950	  5.03	-1.514	407	407	blup	0.01	0.00091	 0.1847	8.53e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MSH3_1Mwindow.wgt.RDat	MSH3	5	79450471	80672634	0.0384	rs10079494	 4.11	rs12513549	-0.000919	  4.24	 1.881	586	586	blup	0.0098	0.0012	 1.1644	2.44e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SETD9_1Mwindow.wgt.RDat	SETD9	5	55705087	56724727	0.0472	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.045	1.4e-11	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.S100Z_1Mwindow.wgt.RDat	S100Z	5	75645839	76717475	0.0346	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.0018	0.099	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CAMK4_1Mwindow.wgt.RDat	CAMK4	5	110059281	111330584	0.0522	rs17842609	 7.96	rs3797755	 0.010528	 -5.12	 1.150	506	506	blup	0.018	1.8e-05	 0.6065	5.44e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SKP1_1Mwindow.wgt.RDat	SKP1	5	132984626	134012641	0.0358	rs4958241	 4.83	rs40273	 0.010166	 -5.19	 1.866	462	  1	top1	0.01	0.00098	-1.8660	6.20e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RETREG1_1Mwindow.wgt.RDat	RETREG1	5	15973162	17117106	0.0406	rs173789	-2.61	rs257174	 0.039055	 -6.33	-0.496	504	  1	top1	0.039	3.3e-10	 0.4960	6.20e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GNPDA1_1Mwindow.wgt.RDat	GNPDA1	5	140880236	141892592	0.0303	rs4912622	 5.43	rs252111	 0.010708	 -3.63	 2.132	543	543	blup	0.012	0.00045	-0.9539	3.40e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANKRD55_1Mwindow.wgt.RDat	ANKRD55	5	54895507	56029157	0.0825	rs4301182	-3.75	rs10065637	 0.103803	 -6.46	-1.372	541	  1	top1	0.1	4.9e-25	 1.3720	1.70e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.IL31RA_1Mwindow.wgt.RDat	IL31RA	5	54647185	55718678	0.0341	rs13178597	-3.68	rs6450361	-0.000987	  4.03	 0.568	395	395	blup	0.00029	0.26	-0.0307	9.75e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SNX24_1Mwindow.wgt.RDat	SNX24	5	121681308	122844900	0.0310	rs1392436	 3.75	rs2303719	-0.000557	  3.81	-1.254	507	507	blup	0.006	0.0091	-1.5737	1.16e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FST_1Mwindow.wgt.RDat	FST	5	52276459	53282964	0.5967	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.37	1e-100	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01962_1Mwindow.wgt.RDat	LINC01962	5	180118046	181118908	0.0419	rs406447	-4.22	rs254456	 0.026979	 -4.53	-3.175	209	  1	top1	0.027	1.6e-07	 3.1750	1.50e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PCDHGB5_1Mwindow.wgt.RDat	PCDHGB5	5	140277514	141392542	0.0913	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.14	6e-33	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FAM153B_1Mwindow.wgt.RDat	FAM153B	5	174990058	176054145	0.1559	rs6879584	-4.80	rs6556241	 0.180482	 12.57	-4.541	329	  1	lasso	0.18	3.6e-44	-4.0170	5.89e-05
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ATG10_1Mwindow.wgt.RDat	ATG10	5	80767842	82051952	0.0171	rs16899359	 3.68	rs2406908	 0.002598	  4.23	-1.774	522	522	blup	0.0034	0.038	-2.0743	3.81e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.HMHB1_1Mwindow.wgt.RDat	HMHB1	5	142691726	143700281	0.2197	rs2918416	-4.48	rs17100739	 0.127257	 11.00	 0.824	464	  1	top1	0.13	1.2e-30	 0.8240	4.10e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PCDHB4_1Mwindow.wgt.RDat	PCDHB4	5	140001400	141005205	0.0489	rs155817	 3.35	rs4151681	-0.000860	  6.02	-1.341	438	  1	lasso	0.0018	0.096	-1.3410	1.80e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GCNT4_1Mwindow.wgt.RDat	GCNT4	5	73821171	74848383	0.0130	rs7722905	-2.51	rs10056811	-0.000647	 -3.90	-1.440	363	363	blup	0.0064	0.0074	 1.5857	1.13e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC6A7_1Mwindow.wgt.RDat	SLC6A7	5	149069625	150090626	0.3312	rs2276982	 5.12	rs12659485	-0.001028	  6.08	-0.553	548	548	blup	-6e-04	0.52	 1.0801	2.80e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NUDT12_1Mwindow.wgt.RDat	NUDT12	5	102384556	103398490	0.0945	rs26232	10.20	rs7730302	 0.034097	 -6.55	 2.183	381	  2	enet	0.037	1e-09	-3.4693	5.22e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ENC1_1Mwindow.wgt.RDat	ENC1	5	73423234	74436553	0.0445	rs292206	 3.05	rs1039320	 0.024436	  6.10	 1.555	516	  1	top1	0.024	6.1e-07	 1.5550	1.20e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.2274	rs251318	-4.67	rs42468	 0.424286	 20.28	 0.164	424	  3	lasso	0.43	1e-120	 0.1460	8.84e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NSA2_1Mwindow.wgt.RDat	NSA2	5	73563074	74575938	0.0974	rs298370	-2.64	rs957680	 0.062432	  8.05	 0.113	448	  1	top1	0.062	1.8e-15	 0.1130	9.10e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ADAMTS6_1Mwindow.wgt.RDat	ADAMTS6	5	63944565	65277747	0.0570	rs251318	-4.67	rs42468	 0.074852	  8.89	 0.164	522	  1	top1	0.075	2.7e-18	 0.1640	8.70e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CKMT2-AS1_1Mwindow.wgt.RDat	CKMT2-AS1	5	80033384	81097388	0.0332	rs10079494	 4.11	rs4704706	-0.001018	 -3.69	 0.279	478	478	blup	0.0045	0.021	 0.9322	3.51e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EXOC3_1Mwindow.wgt.RDat	EXOC3	5	0	967405	0.0736	rs1617985	-3.32	rs11739543	 0.055340	  7.85	-0.583	304	  1	lasso	0.058	1.6e-14	 0.6740	5.00e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FAM153CP_1Mwindow.wgt.RDat	FAM153CP	5	176934693	177990589	0.1218	rs1059367	 5.67	rs7703727	 0.082239	 -8.66	-3.000	398	  1	lasso	0.092	2.8e-22	 0.7720	4.40e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANKDD1B_1Mwindow.wgt.RDat	ANKDD1B	5	74407278	75467671	0.0207	rs17564079	-2.94	rs10056811	 0.002417	 -3.81	-1.440	390	390	blup	0.0061	0.0088	 1.6365	1.02e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SMIM15-AS1_1Mwindow.wgt.RDat	SMIM15-AS1	5	59958143	61027907	0.8592	rs12187325	 4.06	rs1472616	-0.001007	  5.76	-0.539	392	392	blup	-0.00048	0.47	 0.2163	8.29e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SCGB3A1_1Mwindow.wgt.RDat	SCGB3A1	5	179517105	180518499	0.6551	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.67	9.8e-238	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GLRX_1Mwindow.wgt.RDat	GLRX	5	94649553	95658430	0.0571	rs3777162	-4.52	rs17085088	-0.000687	 -3.87	 0.935	378	378	blup	7e-04	0.2	 0.2700	7.87e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TBCA_1Mwindow.wgt.RDat	TBCA	5	76486991	77572163	0.0811	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.085	1.4e-20	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.1618	rs2290677	 4.42	rs10051637	 0.258346	 15.74	-4.189	501	  1	top1	0.26	6.2e-65	-4.1890	2.80e-05
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NAIP_1Mwindow.wgt.RDat	NAIP	5	69763993	70821166	0.0223	rs13168712	 5.51	rs7449303	 0.001136	 -3.30	 1.805	 35	 35	blup	0.0081	0.0029	-2.6668	7.66e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NDUFAF2_1Mwindow.wgt.RDat	NDUFAF2	5	59741032	60948853	0.0255	rs12187325	 4.06	rs4546329	 0.011634	  3.94	 1.514	386	386	blup	0.012	3e-04	 0.0064	9.95e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EIF4E1B_1Mwindow.wgt.RDat	EIF4E1B	5	175557676	176573645	0.0481	rs6879584	-4.80	rs12187462	-0.000920	  6.82	 0.690	389	  1	top1	-0.00092	0.74	 0.6900	4.90e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SPATA9_1Mwindow.wgt.RDat	SPATA9	5	94487885	95567806	0.1208	rs3777162	-4.52	rs213512	 0.077043	  9.06	 0.164	410	  1	top1	0.077	8.4e-19	 0.1640	8.70e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRIM23_1Mwindow.wgt.RDat	TRIM23	5	64385517	65420160	0.0165	rs37018	-5.00	rs1301451	 0.012526	  4.97	-0.674	396	396	blup	0.016	5.1e-05	 0.6041	5.46e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.JAKMIP2_1Mwindow.wgt.RDat	JAKMIP2	5	146465001	147662291	0.1283	rs12519829	 2.39	rs1016104	 0.061372	  6.50	 0.706	509	  5	enet	0.067	2e-16	 0.5911	5.54e-01
