PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RTBDN_1Mwindow.wgt.RDat	RTBDN	19	12436296	13446242	0.0393	rs16035	 2.88	rs35866106	 1.42e-03	 6.72	-1.1340	292	  1	top1	0.0014	0.13	-1.1340	0.25679
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.EPS8L1_1Mwindow.wgt.RDat	EPS8L1	19	55087237	56099291	0.0395	rs11574583	-3.00	rs588373	 5.38e-04	 4.00	 0.7387	422	422	blup	0.0076	0.0046	 0.5626	0.57369
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CYP4F3_1Mwindow.wgt.RDat	CYP4F3	19	15251707	16273635	0.0245	rs998316	 2.88	rs4808350	 8.56e-03	 5.22	 0.6907	515	  1	top1	0.0086	0.0028	 0.6907	0.48975
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SPTBN4_1Mwindow.wgt.RDat	SPTBN4	19	40472908	41582370	0.0295	rs7508604	 3.25	rs533318	-1.03e-03	 4.40	-1.7153	431	431	blup	0.0026	0.065	 0.0156	0.98758
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RHPN2_1Mwindow.wgt.RDat	RHPN2	19	32969498	34055794	0.0789	rs33850	-2.53	rs6510379	 1.58e-04	 4.10	-0.7940	461	  1	lasso	6e-04	0.21	-1.9131	0.05574
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC39A3_1Mwindow.wgt.RDat	SLC39A3	19	2232522	3240074	0.0370	rs11671754	 3.45	rs759071	-1.02e-03	 3.33	-2.7488	332	332	blup	0.0068	0.0067	-2.7245	0.00644
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ICAM4_1Mwindow.wgt.RDat	ICAM4	19	9897631	10899196	0.1260	rs11666263	 2.25	rs281437	 1.22e-01	10.79	-0.1512	370	  1	top1	0.12	3.2e-28	-0.1512	0.87982
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.VSTM1_1Mwindow.wgt.RDat	VSTM1	19	54044079	55067151	0.1780	rs6509795	 2.79	rs10500316	 9.02e-02	 9.87	-0.9357	351	  2	lasso	0.11	2.5e-26	-0.9307	0.35202
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RFPL4AL1_1Mwindow.wgt.RDat	RFPL4AL1	19	55780484	56784786	0.0769	rs4801628	 2.98	rs299190	 1.13e-02	 5.41	-1.2579	512	  1	lasso	0.021	5.8e-06	-1.2579	0.20843
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ACER1_1Mwindow.wgt.RDat	ACER1	19	5806153	6833623	0.0480	rs4807840	 3.20	rs17625356	-9.94e-04	 4.70	 0.2216	368	368	blup	-5e-04	0.46	-0.5695	0.56902
