PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.SFRP5_1Mwindow.wgt.RDat	SFRP5	10	99026508	100031756	0.0195	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.082	7.3e-20	     NA	     NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.SYT15_1Mwindow.wgt.RDat	SYT15	10	46455444	47470489	0.0132	NA	   NA	NA	       NA	   NA	    NA	 NA	  0	lasso	0.011	0.00049	     NA	     NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.BAMBI_1Mwindow.wgt.RDat	BAMBI	10	28466450	29471861	0.0438	rs788063	-5.08	rs16929394	 2.35e-03	 3.94	-0.796	618	  1	top1	0.0024	0.071	-0.7958	0.42615
B_memory	RA_only/B_memory_5pcs_all/B_memory.PLCE1_1Mwindow.wgt.RDat	PLCE1	10	95253688	96592580	0.0241	rs1416757	 4.51	rs11187842	 7.24e-04	-3.64	 2.253	496	496	blup	0.0068	0.0059	-0.0898	0.92845
B_memory	RA_only/B_memory_5pcs_all/B_memory.TCTN3_1Mwindow.wgt.RDat	TCTN3	10	96923158	97953684	0.0271	rs10509688	-2.39	rs10748643	-7.28e-04	-3.94	-0.970	513	513	blup	0.0039	0.029	 0.7661	0.44363
B_memory	RA_only/B_memory_5pcs_all/B_memory.SMC3_1Mwindow.wgt.RDat	SMC3	10	111827453	112865806	0.0433	rs7085088	 3.75	rs11195258	-8.31e-04	-3.65	 0.802	441	441	blup	0.0096	0.0013	-0.4305	0.66682
B_memory	RA_only/B_memory_5pcs_all/B_memory.ENTPD1_1Mwindow.wgt.RDat	ENTPD1	10	96971521	98137023	0.0230	rs10509688	-2.39	rs7071836	 1.36e-02	-4.65	-0.945	615	  1	top1	0.014	0.00016	 0.9451	0.34461
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS24_1Mwindow.wgt.RDat	RPS24	10	79293621	80316564	0.0409	rs10762764	 6.46	rs3740253	 7.23e-05	-3.22	 0.256	496	496	blup	0.0066	0.0066	 1.0167	0.30929
B_memory	RA_only/B_memory_5pcs_all/B_memory.VCL_1Mwindow.wgt.RDat	VCL	10	75257874	76381121	0.0196	rs16930731	 2.45	rs7909915	 6.02e-03	-4.14	-1.418	243	243	blup	0.012	0.00033	 1.8317	0.06700
B_memory	RA_only/B_memory_5pcs_all/B_memory.LNCAROD_1Mwindow.wgt.RDat	LNCAROD	10	53710637	54730293	0.0697	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.17	4.1e-41	     NA	     NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.WBP1L_1Mwindow.wgt.RDat	WBP1L	10	104003705	105076019	0.0160	rs284861	 3.14	rs10786712	 7.19e-03	-4.32	-0.513	377	377	blup	0.0079	0.0033	 1.1038	0.26966
B_memory	RA_only/B_memory_5pcs_all/B_memory.PPA1_1Mwindow.wgt.RDat	PPA1	10	71462591	72493185	0.0383	rs4746940	-4.01	rs10509321	 3.84e-02	 5.95	-2.717	702	  1	top1	0.038	5e-10	-2.7169	0.00659
B_memory	RA_only/B_memory_5pcs_all/B_memory.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0415	rs7092155	 3.57	rs17470053	 5.00e-03	 6.16	-2.838	432	  1	top1	0.005	0.016	-2.8383	0.00454
B_memory	RA_only/B_memory_5pcs_all/B_memory.MGMT_1Mwindow.wgt.RDat	MGMT	10	130765505	132069247	0.0403	rs3829195	 3.02	rs1762438	 1.19e-02	-4.93	-0.307	711	  2	lasso	0.014	0.00011	 0.4734	0.63592
B_memory	RA_only/B_memory_5pcs_all/B_memory.BMI1_1Mwindow.wgt.RDat	BMI1	10	22110028	23120413	0.0265	rs7084115	 3.32	rs11592199	-9.29e-04	 3.42	 3.003	278	  3	enet	0.012	3e-04	 2.0470	0.04066
B_memory	RA_only/B_memory_5pcs_all/B_memory.TACR2_1Mwindow.wgt.RDat	TACR2	10	70663659	71676674	0.0479	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	-5e-04	0.47	     NA	     NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.GSTO1_1Mwindow.wgt.RDat	GSTO1	10	105513931	106527213	0.0347	rs11191841	-3.55	rs7896809	 2.24e-04	 3.53	-0.808	417	  2	lasso	0.0014	0.13	-1.7750	0.07589
