PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Treg	RA_only/Treg_5pcs_all/Treg.GOLGA8B_1Mwindow.wgt.RDat	GOLGA8B	15	34317296	35375852	0.0281	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.009	0.002	    NA	    NA
Treg	RA_only/Treg_5pcs_all/Treg.NOP10_1Mwindow.wgt.RDat	NOP10	15	34133920	35135337	0.0453	rs556953	 3.37	rs2288603	 0.026548	-5.11	 0.407	361	  1	top1	0.027	2.8e-07	-0.407	0.6840
Treg	RA_only/Treg_5pcs_all/Treg.SAXO2_1Mwindow.wgt.RDat	SAXO2	15	82055159	83077268	0.0347	rs17354842	 4.44	rs9972386	 0.007609	 4.85	 0.803	242	  1	top1	0.0076	0.0042	 0.803	0.4220
Treg	RA_only/Treg_5pcs_all/Treg.GOLGA8M_1Mwindow.wgt.RDat	GOLGA8M	15	28443729	29457567	0.1508	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.054	3.5e-13	    NA	    NA
Treg	RA_only/Treg_5pcs_all/Treg.ACAN_1Mwindow.wgt.RDat	ACAN	15	88846667	89918584	0.0467	rs1879529	-3.61	rs16942267	-0.001055	 6.08	-0.810	442	442	blup	-0.001	0.81	-1.707	0.0878
Treg	RA_only/Treg_5pcs_all/Treg.RPS17_1Mwindow.wgt.RDat	RPS17	15	82705501	83709208	0.1314	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.087	1.2e-20	    NA	    NA
Treg	RA_only/Treg_5pcs_all/Treg.RAD51-AS1_1Mwindow.wgt.RDat	RAD51-AS1	15	40485932	41487303	0.0417	rs4244584	 7.06	rs17673703	 0.032967	-5.42	-0.311	290	  1	top1	0.033	1.1e-08	 0.311	0.7558
Treg	RA_only/Treg_5pcs_all/Treg.SQOR_1Mwindow.wgt.RDat	SQOR	15	45423346	46483479	0.0229	rs1648305	 3.35	rs1719247	 0.004339	-3.62	-1.824	359	359	blup	0.0048	0.019	 2.088	0.0368
Treg	RA_only/Treg_5pcs_all/Treg.WDR73_1Mwindow.wgt.RDat	WDR73	15	84682516	85697514	0.0691	rs881733	-4.08	rs3743161	-0.000989	-3.26	 0.984	382	  6	enet	0.0064	0.0081	-1.107	0.2683
Treg	RA_only/Treg_5pcs_all/Treg.GABPB1-AS1_1Mwindow.wgt.RDat	GABPB1-AS1	15	50146371	51150509	0.0551	rs2614763	 4.36	rs12903381	 0.041968	 7.00	-2.262	422	  1	top1	0.042	1.2e-10	-2.262	0.0237
Treg	RA_only/Treg_5pcs_all/Treg.TTBK2_1Mwindow.wgt.RDat	TTBK2	15	42530928	43712976	0.0147	rs12905385	 2.59	rs2241998	-0.000808	 3.45	 1.024	253	253	blup	0.00032	0.25	 0.946	0.3444
Treg	RA_only/Treg_5pcs_all/Treg.STRC_1Mwindow.wgt.RDat	STRC	15	43391761	44410998	0.0808	rs2927071	 1.95	rs28438815	-0.000830	 5.13	 0.053	220	  1	top1	-0.00083	0.64	 0.053	0.9577
