PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RBM43_1Mwindow.wgt.RDat	RBM43	2	151604454	152618377	0.02940	rs10186209	 -3.19	rs17796622	 1.46e-02	-5.01	-0.038	457	  1	top1	0.015	0.00014	 0.0380	9.70e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RAMP1_1Mwindow.wgt.RDat	RAMP1	2	238268266	239320748	0.10179	rs4663804	  3.14	rs895572	 5.89e-02	-7.52	-3.121	454	  1	top1	0.059	6e-14	 3.1210	1.80e-03
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.VIT_1Mwindow.wgt.RDat	VIT	2	36423850	37541937	0.02453	rs11694342	 -5.43	rs12997487	 5.92e-02	 4.72	-1.859	623	  1	top1	0.059	5.2e-14	-1.8590	6.30e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TMEM237_1Mwindow.wgt.RDat	TMEM237	2	201984909	203008226	0.03077	rs1035142	-11.01	rs16838316	-5.42e-04	 3.82	 1.282	436	436	blup	0.0043	0.026	-0.9755	3.29e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GNLY_1Mwindow.wgt.RDat	GNLY	2	85421481	86425975	0.13023	rs13414982	  5.73	rs1866140	 8.18e-02	-8.90	-1.405	476	  1	top1	0.082	6.5e-19	 1.4050	1.60e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.COL5A2_1Mwindow.wgt.RDat	COL5A2	2	189396624	190544487	0.03505	rs11685197	  2.63	rs13397537	-1.08e-03	 5.27	 0.075	340	340	blup	3.8e-06	0.32	 0.9984	3.18e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.C2orf74_1Mwindow.wgt.RDat	C2orf74	2	60872251	61891963	0.02862	rs3732171	  5.97	rs6545846	 3.79e-03	 4.45	-2.346	320	  1	top1	0.0038	0.035	-2.3460	1.90e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LINC02610_1Mwindow.wgt.RDat	LINC02610	2	238633754	239640318	0.02911	rs4663310	  3.26	rs7584376	-8.16e-04	 4.11	-0.151	459	459	blup	0.0083	0.0034	-1.6562	9.77e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LYG2_1Mwindow.wgt.RDat	LYG2	2	99358709	100372129	0.01818	rs7559975	 -3.89	rs737094	-1.05e-03	 4.00	 0.772	300	300	blup	0.0033	0.046	-0.6249	5.32e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ACYP2_1Mwindow.wgt.RDat	ACYP2	2	53698250	55032437	0.03109	rs10490469	 -4.42	rs1421617	 1.68e-02	 5.27	 2.097	637	637	blup	0.018	3.5e-05	 2.4289	1.51e-02
