PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.0430	rs6941396	 3.17	rs11154810	 0.008542	 -4.91	 3.0357	432	432	blup	0.027	3.7e-07	-1.4051	0.1600
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CCDC170_1Mwindow.wgt.RDat	CCDC170	6	151315152	152442328	0.0635	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.044	1e-10	     NA	    NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RAB44_1Mwindow.wgt.RDat	RAB44	6	36165603	37200961	0.0475	rs3778021	 3.22	rs6934844	 0.000295	  4.11	-0.9542	557	  5	enet	0.011	0.001	-1.1170	0.2640
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DDO_1Mwindow.wgt.RDat	DDO	6	110209524	111236778	0.0277	rs7740408	-3.24	rs9481066	 0.010141	  4.91	-0.9154	366	  1	top1	0.01	0.0014	-0.9154	0.3600
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MANEA-DT_1Mwindow.wgt.RDat	MANEA-DT	6	95507972	96525327	0.0301	rs4132301	-3.32	rs6907357	 0.008132	  3.86	-1.1031	314	  1	top1	0.0081	0.0039	-1.1031	0.2700
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NQO2_1Mwindow.wgt.RDat	NQO2	6	2500128	3519989	0.0676	rs13208786	-3.09	rs10223369	 0.023391	  6.45	-0.6588	649	  2	lasso	0.045	7.3e-11	-0.6919	0.4890
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GSTA4_1Mwindow.wgt.RDat	GSTA4	6	52342751	53360082	0.0516	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.03	1.1e-07	     NA	    NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ETV7_1Mwindow.wgt.RDat	ETV7	6	35821865	36855446	0.0243	rs9470366	 2.89	rs7766404	-0.001080	 -3.72	-1.2536	488	488	blup	0.0076	0.005	 1.0655	0.2867
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TREML4_1Mwindow.wgt.RDat	TREML4	6	40696087	41706620	0.0306	rs7753653	 3.49	rs657218	-0.001082	  5.53	 0.3585	525	  1	lasso	0.0027	0.066	-0.8064	0.4200
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CALHM6_1Mwindow.wgt.RDat	CALHM6	6	116282538	117284934	0.1660	rs1204804	 3.46	rs2637669	 0.119822	 -9.08	-0.4538	378	  1	lasso	0.13	1.4e-28	 0.4538	0.6500
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MOXD1_1Mwindow.wgt.RDat	MOXD1	6	132117194	133222614	0.1278	rs9388949	-3.06	rs8192621	-0.001049	  6.01	 0.1004	580	  1	top1	-0.001	0.81	 0.1004	0.9200
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MAP7_1Mwindow.wgt.RDat	MAP7	6	136163872	137371560	0.1682	rs4475338	 3.52	rs276515	 0.089226	  2.79	 0.7722	359	  1	top1	0.089	2.8e-20	 0.7722	0.4400
