PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.JMJD6_1Mwindow.wgt.RDat	JMJD6	17	74208918	75222688	0.0416	rs7211963	-3.05	rs407281	 0.000985	-3.67	-0.958	462	462	blup	0.012	6e-04	 0.531	5.95e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NME2_1Mwindow.wgt.RDat	NME2	17	48742897	49749105	0.0168	rs16949527	-2.92	rs12942155	 0.003582	-4.11	-1.469	420	  1	top1	0.0036	0.039	 1.469	1.42e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ELP5_1Mwindow.wgt.RDat	ELP5	17	6655043	7663259	0.0529	rs4510074	-3.47	rs2654186	 0.032640	 5.96	-0.911	447	  1	top1	0.033	2.2e-08	-0.911	3.62e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ZNF624_1Mwindow.wgt.RDat	ZNF624	17	16024048	17057164	0.0452	rs1558241	-2.52	rs17716132	-0.000346	 3.65	-0.776	268	268	blup	0.00053	0.22	-0.386	7.00e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.C17orf97_1Mwindow.wgt.RDat	C17orf97	17	0	764457	0.0482	rs7209004	-2.78	rs6565726	 0.040427	 4.47	-0.299	285	  1	top1	0.04	5.1e-10	-0.299	7.65e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GEMIN4_1Mwindow.wgt.RDat	GEMIN4	17	147661	1155504	0.0560	rs2259992	-3.83	rs2257540	 0.006701	 3.84	 1.577	340	  1	top1	0.0067	0.0076	 1.577	1.15e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LGALS9B_1Mwindow.wgt.RDat	LGALS9B	17	19852708	20870852	0.0316	rs7211535	-2.33	rs9893832	 0.029398	 5.54	-2.182	161	  1	top1	0.029	1.1e-07	-2.182	2.91e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PLXDC1_1Mwindow.wgt.RDat	PLXDC1	17	36719566	37807890	0.0274	rs9972882	-3.55	rs4795348	-0.000483	 4.07	-1.307	311	  1	enet	0.0019	0.1	-1.307	1.91e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.KCNJ2_1Mwindow.wgt.RDat	KCNJ2	17	67665673	68676185	0.0400	rs17689719	 4.03	rs16974265	-0.000437	 4.92	-1.613	397	  1	top1	-0.00044	0.44	-1.613	1.07e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LINC01976_1Mwindow.wgt.RDat	LINC01976	17	41515629	42516330	0.0358	rs231487	 2.93	rs11651676	-0.001016	 9.01	 0.020	361	  1	top1	-0.001	0.79	 0.020	9.84e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.HID1_1Mwindow.wgt.RDat	HID1	17	72446837	73468854	0.0540	rs1171208	-2.92	rs8074715	 0.005298	 4.99	 0.252	393	  1	top1	0.0053	0.016	 0.252	8.01e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ANKRD13B_1Mwindow.wgt.RDat	ANKRD13B	17	27420150	28441779	0.0359	rs4794858	 2.85	rs1517623	 0.017083	 4.38	 0.496	312	  1	top1	0.017	4.3e-05	 0.496	6.20e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RFLNB_1Mwindow.wgt.RDat	RFLNB	17	0	795731	0.0310	rs9674522	-3.46	rs3744730	 0.030142	 4.92	 0.777	303	  1	top1	0.03	7.5e-08	 0.777	4.37e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SP2-DT_1Mwindow.wgt.RDat	SP2-DT	17	45468595	46473182	0.0262	rs11079800	 3.60	rs4794225	 0.011820	-4.50	-0.240	382	  4	enet	0.014	0.00016	 0.117	9.07e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NT5C3B_1Mwindow.wgt.RDat	NT5C3B	17	39481309	40492484	0.0321	rs9909659	-5.59	rs4796729	 0.017485	 5.09	 0.722	365	365	blup	0.018	2.9e-05	 2.930	3.39e-03
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.HSD17B1-AS1_1Mwindow.wgt.RDat	HSD17B1-AS1	17	40204454	41206820	0.0743	rs11651246	 6.71	rs9910698	 0.037382	 4.02	-3.465	239	  1	top1	0.037	2.2e-09	-3.465	5.30e-04
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.XAF1_1Mwindow.wgt.RDat	XAF1	17	6158766	7178966	0.0339	rs4510074	-3.47	rs1983177	 0.015208	 5.26	-0.172	513	  1	top1	0.015	0.00011	-0.172	8.63e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TCAP_1Mwindow.wgt.RDat	TCAP	17	37321602	38322807	0.0613	rs2872507	 8.61	rs17608925	 0.006414	 4.94	 2.186	260	  1	top1	0.0064	0.0088	 2.186	2.88e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.KANSL1-AS1_1Mwindow.wgt.RDat	KANSL1-AS1	17	43770939	44774089	0.0482	rs173365	-2.01	rs17689471	 0.003943	 4.25	-1.708	 28	 28	blup	0.013	0.00034	-0.360	7.19e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.EIF5A_1Mwindow.wgt.RDat	EIF5A	17	6710318	7715782	0.1268	rs4510074	-3.47	rs4796398	 0.099330	10.03	-1.336	427	  3	lasso	0.1	3.9e-23	-1.706	8.80e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.INTS2_1Mwindow.wgt.RDat	INTS2	17	59442728	60505343	0.0411	rs4986765	-3.28	rs16945643	 0.004891	 4.09	 1.150	320	  1	top1	0.0049	0.019	 1.150	2.50e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RNF112_1Mwindow.wgt.RDat	RNF112	17	18814545	19820589	0.0990	rs9891309	-1.99	rs157396	-0.001045	 5.56	-0.045	184	184	blup	0.00037	0.25	 0.361	7.18e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.CCL3_1Mwindow.wgt.RDat	CCL3	17	33915602	34917489	0.0237	rs12601380	-3.17	rs1634523	 0.005289	 3.75	 1.049	240	240	blup	0.0087	0.0027	 1.891	5.86e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ORMDL3_1Mwindow.wgt.RDat	ORMDL3	17	37577294	38583854	0.0252	rs2872507	 8.61	rs4795400	 0.015323	-4.40	 6.803	261	  1	top1	0.015	1e-04	-6.803	1.02e-11
