PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CTNS_1Mwindow.wgt.RDat	CTNS	17	3039753	4066397	0.0365	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0025	0.064	     NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SLFN5_1Mwindow.wgt.RDat	SLFN5	17	33070091	34100674	0.0290	rs16970400	 2.58	rs10512468	 5.45e-03	 4.74	 0.7465	360	  1	enet	0.0088	0.0021	 0.7465	0.4554
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.DHX33-DT_1Mwindow.wgt.RDat	DHX33-DT	17	4872412	5873680	0.0659	rs2535589	 3.24	rs11867720	-1.04e-03	 6.73	-0.5260	519	519	blup	-0.00089	0.71	-0.0381	0.9696
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ALOX12_1Mwindow.wgt.RDat	ALOX12	17	6399368	7414073	1.0003	rs2285998	-4.66	rs2075759	-9.74e-04	 7.25	 1.5310	476	  1	top1	-0.00097	0.8	 1.5310	0.1258
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TANC2_1Mwindow.wgt.RDat	TANC2	17	60543596	62005064	0.0232	rs4311	-2.93	rs3817182	 1.27e-02	 4.35	 2.3430	361	361	blup	0.014	0.00018	 2.2829	0.0224
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.NBR2_1Mwindow.wgt.RDat	NBR2	17	40777574	41805688	0.0304	rs12450913	-3.38	rs4793018	-6.92e-04	 3.19	 1.7810	268	268	blup	0.0087	0.0022	-0.5552	0.5788
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CCDC57_1Mwindow.wgt.RDat	CCDC57	17	79559346	80670718	0.0205	rs8068796	-3.26	rs4789671	 3.36e-03	-3.95	 0.5530	323	323	blup	0.0097	0.0013	-0.5925	0.5535
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.NME2_1Mwindow.wgt.RDat	NME2	17	48742897	49749105	0.0390	rs12941299	-2.82	rs6504708	 1.24e-02	 6.22	-0.0100	420	420	blup	0.024	6.6e-07	-0.8210	0.4116
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ELP5_1Mwindow.wgt.RDat	ELP5	17	6655043	7663259	0.0611	rs858520	 3.15	rs12601936	 4.53e-02	 7.09	-1.6010	447	  1	top1	0.045	1.5e-11	-1.6010	0.1094
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CCDC103_1Mwindow.wgt.RDat	CCDC103	17	42477097	43482758	0.8733	rs9908517	 3.02	rs9906813	-9.81e-04	 6.90	-0.7970	366	  1	top1	-0.00098	0.81	-0.7970	0.4255
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.FN3KRP_1Mwindow.wgt.RDat	FN3KRP	17	80174582	81185889	0.0413	rs6502044	 3.09	rs3859206	 1.40e-03	 4.47	 0.3800	359	359	blup	0.008	0.0032	 1.0387	0.2990
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SPATA20_1Mwindow.wgt.RDat	SPATA20	17	48124535	49133213	0.0265	rs2428684	 4.07	rs989128	 4.42e-03	-4.99	-1.5635	434	  4	enet	0.009	0.0019	 1.8540	0.0637
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.C17orf97_1Mwindow.wgt.RDat	C17orf97	17	0	764457	0.0899	rs11247553	-2.85	rs11150882	 2.54e-02	 7.28	 0.2650	285	  1	lasso	0.036	1.5e-09	 1.0500	0.2937
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.MIF4GD-DT_1Mwindow.wgt.RDat	MIF4GD-DT	17	72767380	73769976	0.0343	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0054	0.013	     NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CRLF3_1Mwindow.wgt.RDat	CRLF3	17	28609702	29651710	0.0137	rs7503922	-2.87	rs4141117	 1.05e-02	-3.93	-0.0102	233	  1	lasso	0.011	0.00073	-0.0700	0.9442
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.EIF5A_1Mwindow.wgt.RDat	EIF5A	17	6710318	7715782	0.1640	rs858520	 3.15	rs4796398	 1.56e-01	12.35	-0.1300	427	  1	top1	0.16	2.2e-37	-0.1300	0.8966
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.HOXB2_1Mwindow.wgt.RDat	HOXB2	17	46120017	47122471	0.0422	rs8073596	 3.31	rs1042815	 1.93e-02	-6.45	 0.0570	410	  9	enet	0.035	3e-09	 0.2252	0.8218
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TBKBP1_1Mwindow.wgt.RDat	TBKBP1	17	45271429	46289429	0.0298	rs3805364	 2.61	rs4267364	 4.20e-04	 3.71	-0.4870	414	414	blup	0.0036	0.034	-0.4874	0.6260
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.OR1R1P_1Mwindow.wgt.RDat	OR1R1P	17	2789224	3790168	0.0524	rs11658685	-3.04	rs11657606	-5.37e-04	 5.94	-0.4969	480	  1	top1	-0.00054	0.49	-0.4969	0.6192
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.NT5C3B_1Mwindow.wgt.RDat	NT5C3B	17	39481309	40492484	0.0187	rs2019231	 2.88	rs1529933	 1.95e-02	 5.00	-1.2129	365	  1	top1	0.02	8e-06	-1.2129	0.2252
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RUNDC3A_1Mwindow.wgt.RDat	RUNDC3A	17	41885969	42896038	0.0425	NA	   NA	NA	       NA	   NA	     NA	335	  0	top1	-0.00085	0.66	     NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SP2-DT_1Mwindow.wgt.RDat	SP2-DT	17	45468595	46473182	0.0273	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.019	1.3e-05	     NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RNFT1_1Mwindow.wgt.RDat	RNFT1	17	57529601	58542101	0.0252	rs6503921	-3.73	rs345166	 3.77e-03	-3.54	-1.1890	226	226	blup	0.01	0.0011	 0.1961	0.8445
