PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KLRC1_1Mwindow.wgt.RDat	KLRC1	12	10094863	11107284	0.0280	rs2120602	-3.75	rs12819066	-0.000971	 3.70	-1.573	490	490	blup	0.00053	0.22	-0.9832	3.26e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TMTC3_1Mwindow.wgt.RDat	TMTC3	12	88036084	89093664	0.0279	rs3905718	-2.86	rs12816164	-0.000351	 3.31	-0.635	285	285	blup	0.0045	0.021	-0.2950	7.68e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KLRD1_1Mwindow.wgt.RDat	KLRD1	12	9891560	10982207	0.0582	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.032	1.2e-08	     NA	      NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RAB35_1Mwindow.wgt.RDat	RAB35	12	120032903	121054557	0.0508	rs7132865	-4.06	rs278124	 0.003392	-4.62	 1.042	367	367	blup	0.0087	0.0022	-2.5782	9.93e-03
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KLRC2_1Mwindow.wgt.RDat	KLRC2	12	10083198	11088609	0.0456	rs2120602	-3.75	rs4548707	 0.000177	-3.93	-0.132	497	497	blup	0.0083	0.0027	-0.9970	3.19e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PRH2_1Mwindow.wgt.RDat	PRH2	12	10581835	11587444	0.0327	rs2120602	-3.75	rs319284	-0.000860	 3.41	 0.879	368	  1	top1	-0.00086	0.68	 0.8788	3.80e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ALDH1L2_1Mwindow.wgt.RDat	ALDH1L2	12	104913568	105978236	0.0435	rs17812685	-3.04	rs11829326	 0.004625	 7.86	 0.990	746	  1	top1	0.0046	0.02	 0.9903	3.22e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.A2M-AS1_1Mwindow.wgt.RDat	A2M-AS1	12	8717773	9720651	0.0253	NA	   NA	NA	       NA	   NA	    NA	 NA	  0	enet	0.034	5.1e-09	     NA	      NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PRB3_1Mwindow.wgt.RDat	PRB3	12	10918847	11922641	0.0191	rs6488331	-2.76	rs16925785	-0.000725	 3.48	-1.183	364	  1	top1	-0.00072	0.58	-1.1835	2.37e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CLLU1_1Mwindow.wgt.RDat	CLLU1	12	92315307	93324778	0.0552	rs4760490	-4.32	rs28399543	 0.000998	 6.06	-0.172	467	  1	top1	0.001	0.16	-0.1719	8.64e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SDSL_1Mwindow.wgt.RDat	SDSL	12	113360185	114376081	0.0593	rs1426441	-4.51	rs7960943	 0.039449	 7.57	 0.714	479	  1	top1	0.039	3.1e-10	 0.7141	4.75e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TMCC3_1Mwindow.wgt.RDat	TMCC3	12	94460898	95544333	0.0374	rs1317613	 4.73	rs1548116	-0.000459	 4.10	-0.973	681	681	blup	4e-04	0.24	-0.0266	9.79e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.MAP3K12_1Mwindow.wgt.RDat	MAP3K12	12	53373453	54393242	0.0187	rs11170516	-7.76	rs10876431	 0.011718	 5.57	-5.621	387	  1	enet	0.018	1.6e-05	-5.6212	1.90e-08
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TAPBPL_1Mwindow.wgt.RDat	TAPBPL	12	6060815	7071482	0.0226	rs1057510	-8.68	rs2534715	 0.001643	 3.63	 3.924	384	  1	top1	0.0016	0.11	 3.9236	8.72e-05
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KRT1_1Mwindow.wgt.RDat	KRT1	12	52568520	53574191	0.2158	rs17653752	 3.16	rs591357	 0.180955	13.44	 0.122	749	  3	lasso	0.19	7e-47	 0.0360	9.71e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.OVCH1-AS1_1Mwindow.wgt.RDat	OVCH1-AS1	12	29042227	30140257	0.0426	rs6487867	 3.26	rs16934752	 0.001671	 4.70	-0.651	605	  5	enet	0.013	0.00022	 0.4781	6.33e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TMTC2_1Mwindow.wgt.RDat	TMTC2	12	82580685	84028645	0.0281	rs2645979	 5.21	rs10778908	 0.018052	 4.99	-0.523	506	  1	top1	0.018	1.7e-05	-0.5232	6.01e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KRT7_1Mwindow.wgt.RDat	KRT7	12	52127027	53142705	0.0356	rs17653752	 3.16	rs10876333	 0.002752	 4.02	 0.890	724	  1	top1	0.0028	0.056	 0.8905	3.73e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KRT74_1Mwindow.wgt.RDat	KRT74	12	52459566	53467627	0.0462	rs17653752	 3.16	rs2360648	-0.000311	 6.94	 1.798	771	  1	top1	-0.00031	0.4	 1.7981	7.22e-02
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.FAM186A_1Mwindow.wgt.RDat	FAM186A	12	50221092	51290392	0.5889	rs10783388	-6.75	rs613066	-0.000891	 5.96	-2.098	322	  1	top1	-0.00089	0.7	-2.0975	3.59e-02
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CELA1_1Mwindow.wgt.RDat	CELA1	12	51222226	52240463	0.0224	rs10876108	-6.20	rs3858624	 0.017503	 5.12	 2.192	396	  1	top1	0.018	2.3e-05	 2.1919	2.84e-02
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RPS26_1Mwindow.wgt.RDat	RPS26	12	55935702	56938481	0.6024	rs11171710	-6.17	rs10876864	 0.745034	26.34	 5.899	257	  1	top1	0.75	2.3e-287	 5.8990	3.66e-09
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.DDX11_1Mwindow.wgt.RDat	DDX11	12	30726794	31757733	0.0527	rs10843822	-4.45	rs11219	 0.060408	-7.61	-2.148	457	  1	top1	0.06	6.4e-15	 2.1476	3.17e-02
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC02446_1Mwindow.wgt.RDat	LINC02446	12	10205978	11228287	0.0468	rs2120602	-3.75	rs7305642	 0.020261	-5.34	 1.143	479	  2	lasso	0.021	3.4e-06	-0.1951	8.45e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.OR6C75_1Mwindow.wgt.RDat	OR6C75	12	55256759	56263063	0.0297	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	-0.00093	0.75	     NA	      NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KRR1_1Mwindow.wgt.RDat	KRR1	12	75384643	76405389	0.0266	rs10879888	 3.37	rs15513	 0.014855	 5.05	 1.365	510	  1	lasso	0.018	1.7e-05	 1.3650	1.72e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KLRK1-AS1_1Mwindow.wgt.RDat	KLRK1-AS1	12	10016368	11051105	0.0364	rs2120602	-3.75	rs11053802	 0.006744	-4.10	-1.318	517	517	blup	0.012	0.00047	 0.9797	3.27e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CHPT1_1Mwindow.wgt.RDat	CHPT1	12	101591418	102622852	0.0462	rs1012306	-5.43	rs2695284	 0.044400	-7.17	-1.035	450	  1	top1	0.044	2.4e-11	 1.0351	3.01e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.P3H3_1Mwindow.wgt.RDat	P3H3	12	6437572	7449011	0.0345	rs1057510	-8.68	rs2240867	 0.019795	 5.04	-1.725	215	  1	top1	0.02	7e-06	-1.7254	8.45e-02
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC02156_1Mwindow.wgt.RDat	LINC02156	12	47308791	48313962	0.0385	rs7974410	 4.88	rs6580623	 0.005764	 5.45	 0.786	497	  1	top1	0.0058	0.011	 0.7865	4.32e-01
