PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CDA_1Mwindow.wgt.RDat	CDA	1	20415590	21445396	0.07847	rs532545	 -6.18	rs532545	 0.011851	  4.91	-6.180	482	482	blup	0.029	1.1e-07	-4.3861	1.15e-05
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC02474_1Mwindow.wgt.RDat	LINC02474	1	221639752	222658306	0.04327	rs4240927	  4.62	rs17011440	-0.000325	  4.93	-1.670	439	439	blup	0.0041	0.028	-0.7062	4.80e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NOS1AP_1Mwindow.wgt.RDat	NOS1AP	1	161539481	162840265	0.03277		    NA		       NA	    NA	    NA	0	0	enet	-0.00031	0.4	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.21727	rs17262006	 -9.17	rs4471263	 0.309103	-16.94	 1.341	391	4	lasso	0.31	6.1e-77	-1.3195	1.87e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CRYZ_1Mwindow.wgt.RDat	CRYZ	1	74671170	75698734	0.09391	rs525693	 -3.08	rs1409785	 0.068205	  7.03	-0.722	369	1	top1	0.068	3.7e-16	-0.7220	4.70e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NDUFS5_1Mwindow.wgt.RDat	NDUFS5	1	38992022	40000287	0.05681	rs7553434	 -5.31	rs4147753	 0.045698	 -6.98	-0.038	367	1	top1	0.046	2.8e-11	 0.0380	9.70e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FUCA1_1Mwindow.wgt.RDat	FUCA1	1	23671567	24694780	0.02191	rs9424398	 -4.68	rs9424398	 0.016684	 -4.76	-4.678	365	1	top1	0.017	4.7e-05	 4.6780	2.90e-06
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.UTS2_1Mwindow.wgt.RDat	UTS2	1	7407672	8413551	0.3492	rs8627	  4.43	rs161827	 0.364352	 18.61	-0.860	441	1	top1	0.36	2e-93	-0.8600	3.90e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TMEM88B_1Mwindow.wgt.RDat	TMEM88B	1	861251	1865635	0.08248	rs11260577	 -5.12	rs34054191	-0.001076	  3.52	-2.543	197	197	blup	-0.0011	0.91	-0.2314	8.17e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.C1orf122_1Mwindow.wgt.RDat	C1orf122	1	37773462	38775126	0.0393	rs4415526	  4.23	rs4072980	 0.002365	 -3.19	-0.613	412	412	blup	0.012	0.00045	-1.9997	4.55e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ELF3-AS1_1Mwindow.wgt.RDat	ELF3-AS1	1	201469179	202479481	0.04466	rs12385740	 -2.85	rs2735784	 0.006898	 -4.44	-0.164	410	410	blup	0.013	0.00023	-0.1781	8.59e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.DCAF8_1Mwindow.wgt.RDat	DCAF8	1	159685510	160732339	0.03813	rs523130	 -4.76	rs4656250	 0.000881	 -3.54	-0.279	460	460	blup	0.011	0.00097	 2.8027	5.07e-03
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CDC42BPA_1Mwindow.wgt.RDat	CDC42BPA	1	226677559	228006193	0.03838	rs3738725	-10.55	rs1124034	-0.001054	  3.08	 1.311	601	601	blup	0.003	0.051	-1.6513	9.87e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LEPR_1Mwindow.wgt.RDat	LEPR	1	65386335	66607242	0.05577	rs6678033	-11.34	rs6672992	 0.000999	 -4.04	 3.826	540	540	blup	0.013	0.00028	-2.1494	3.16e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.HPCAL4_1Mwindow.wgt.RDat	HPCAL4	1	39644320	40657105	0.03585	rs784619	 -3.83	rs41373150	-0.000314	  4.61	 0.215	359	1	lasso	0.0049	0.018	-2.4840	1.30e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.03952	rs4660786	 -3.32	rs3911861	 0.006253	 -3.85	-0.305	328	1	enet	0.014	0.00014	 0.3050	7.60e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FCGR1A_1Mwindow.wgt.RDat	FCGR1A	1	149254250	150272165	0.00917	rs12023231	 -6.82	rs7532876	 0.006918	  4.06	 3.216	78	1	top1	0.0069	0.0064	 3.2160	1.30e-03
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.STX6_1Mwindow.wgt.RDat	STX6	1	180441861	181492006	0.04531	rs17302632	  4.08	rs10798774	 0.003712	 -3.96	 0.440	461	461	blup	0.0067	0.0073	 0.5480	5.84e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.VWA1_1Mwindow.wgt.RDat	VWA1	1	871070	1878262	0.03113	rs11260577	 -5.12	rs6683520	-0.000894	  4.85	-2.601	199	1	top1	-0.00089	0.68	-2.6010	9.30e-03
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.GSTM2_1Mwindow.wgt.RDat	GSTM2	1	109710679	110726619	0.07021	rs333947	 -3.38	rs1021880	 0.009020	  5.28	-2.005	434	434	blup	0.011	0.00075	 1.5100	1.31e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.S100A12_1Mwindow.wgt.RDat	S100A12	1	152846187	153848097	0.02887	rs3006475	 -6.60	rs6659104	 0.004741	  5.02	-6.587	430	3	enet	0.036	3.7e-09	-4.2330	2.31e-05
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LRRC8B_1Mwindow.wgt.RDat	LRRC8B	1	89490388	90563420	0.03394	rs6428496	 -3.53	rs10801744	 0.025267	  6.11	-0.164	363	2	enet	0.039	7.1e-10	-0.1586	8.74e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FGR_1Mwindow.wgt.RDat	FGR	1	27438575	28461696	0.04696	rs11586015	  3.90	rs11548323	-0.001071	 -3.48	-0.954	235	235	blup	0.0062	0.0092	-0.4144	6.79e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ZNF436-AS1_1Mwindow.wgt.RDat	ZNF436-AS1	1	23195464	24198332	0.03655	rs4655138	 -4.03	rs1757044	 0.003269	 -4.39	-2.326	309	309	blup	0.0096	0.0017	 2.3979	1.65e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.S100A8_1Mwindow.wgt.RDat	S100A8	1	152862508	153895059	0.04358	rs3006475	 -6.60	rs3014885	 0.025381	  5.09	-6.580	440	3	lasso	0.028	1.7e-07	-5.4503	5.03e-08
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ZNF593_1Mwindow.wgt.RDat	ZNF593	1	25996399	26997364	0.02013	rs11247860	 -3.66	rs11577318	 0.003470	  3.97	 0.772	429	429	blup	0.0084	0.003	-1.2975	1.94e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ITGB3BP_1Mwindow.wgt.RDat	ITGB3BP	1	63406441	64488896	0.05712	rs1353799	  3.30	rs17391823	 0.040415	  6.70	 1.888	551	1	top1	0.04	3.9e-10	 1.8880	5.90e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.OTUD3_1Mwindow.wgt.RDat	OTUD3	1	19708888	20739438	0.03865	rs17394376	  3.79	rs12726742	-0.001080	  3.52	 0.553	542	542	blup	0.0011	0.15	 1.0295	3.03e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.GBP7_1Mwindow.wgt.RDat	GBP7	1	89097425	90141686	0.02064	rs12043361	 -3.79	rs6428494	-0.000722	 -3.29	-0.524	352	352	blup	0.0075	0.0047	-0.5205	6.03e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FHAD1_1Mwindow.wgt.RDat	FHAD1	1	15073719	16224824	0.0373	rs3856275	 -4.97	rs6670516	-0.000794	  4.37	 0.202	568	568	blup	0.0042	0.027	-2.2641	2.36e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CAP1_1Mwindow.wgt.RDat	CAP1	1	40005912	41038320	0.03775	rs784619	 -3.83	rs10889022	 0.000857	 -3.06	-1.175	397	397	blup	0.0016	0.11	-0.5205	6.03e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PTGS2_1Mwindow.wgt.RDat	PTGS2	1	186140923	187149555	0.03441	rs12407206	 -2.97	rs6683363	-0.000581	  3.11	-0.113	365	365	blup	0.013	0.00032	 1.7418	8.16e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CACYBP_1Mwindow.wgt.RDat	CACYBP	1	174468571	175481163	0.02019	rs12065854	 -3.93	rs6669560	 0.003827	  4.09	 1.805	426	1	top1	0.0038	0.033	 1.8050	7.11e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.HHLA3_1Mwindow.wgt.RDat	HHLA3	1	70320494	71333706	0.02218	rs270491	 -2.31	rs12037173	 0.001135	  3.69	-0.440	404	404	blup	0.004	0.03	-1.0344	3.01e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.XCL1_1Mwindow.wgt.RDat	XCL1	1	168045843	169051307	0.04094	rs2235180	 -4.38	rs7355223	-0.001039	  3.25	-0.824	529	529	blup	0.011	0.00096	-0.4905	6.24e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LMNA_1Mwindow.wgt.RDat	LMNA	1	155552364	156609872	0.09305	rs6427299	 -3.22	rs584025	 0.072073	  8.58	-2.807	337	1	top1	0.072	5.3e-17	-2.8070	5.00e-03
