PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.YTHDC1_1Mwindow.wgt.RDat	YTHDC1	4	68676105	69715808	0.0251	rs3924021	 2.76	rs4694270	-0.000759	 -3.36	 1.0327	184	184	blup	0.0071	0.0051	 0.443	0.6579
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ANXA5_1Mwindow.wgt.RDat	ANXA5	4	122089101	123118135	0.0275	rs4833219	-2.96	rs882568	-0.000671	  3.27	-0.4520	455	455	blup	0.0054	0.013	 2.233	0.0256
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CFAP97_1Mwindow.wgt.RDat	CFAP97	4	185580819	186625154	0.0215	rs9997745	-3.33	rs10024068	 0.000448	  4.14	-0.4907	518	518	blup	0.011	0.00066	-0.379	0.7049
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SNHG8_1Mwindow.wgt.RDat	SNHG8	4	118699917	119700978	0.0960	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.066	2.8e-16	    NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.DBET_1Mwindow.wgt.RDat	DBET	4	190485657	191489019	0.0225	rs2256069	-2.03	rs2739558	 0.000206	  3.93	 0.3551	 53	 53	blup	0.012	5e-04	-0.430	0.6673
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.FAM184B_1Mwindow.wgt.RDat	FAM184B	4	17130929	18283244	0.0896	rs16895971	 6.29	rs1006722	 0.181289	 13.21	 2.4109	469	  1	top1	0.18	7.3e-44	 2.411	0.0159
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RPS3A_1Mwindow.wgt.RDat	RPS3A	4	151520780	152525794	0.0880	rs7655373	 3.59	rs6839157	 0.126902	-11.36	 1.9382	256	  1	top1	0.13	2.2e-30	-1.938	0.0526
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.NSG1_1Mwindow.wgt.RDat	NSG1	4	3888259	4920785	0.1270	rs10034377	-3.60	rs6843595	 0.111545	-10.61	-0.4415	423	  2	enet	0.11	7.7e-27	 1.525	0.1272
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PCDH10_1Mwindow.wgt.RDat	PCDH10	4	133570449	134615855	0.0916	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.16	1.3e-39	    NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.MAB21L2_1Mwindow.wgt.RDat	MAB21L2	4	151003303	152005845	0.5482	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.00092	0.17	    NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC02273_1Mwindow.wgt.RDat	LINC02273	4	152521905	153525872	0.1312	rs11724208	 4.02	rs1991223	 0.098571	-10.02	-0.9860	351	  7	lasso	0.12	2e-28	 1.254	0.2098
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC02562_1Mwindow.wgt.RDat	LINC02562	4	75507135	76509918	0.0468	rs10014147	 3.85	rs17199779	-0.000430	  5.17	-3.0333	404	404	blup	0.0085	0.0024	 0.146	0.8836
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ERVMER34-1_1Mwindow.wgt.RDat	ERVMER34-1	4	53108720	54117592	0.0793	rs11943964	 5.45	rs17082301	 0.000173	  4.94	-0.1793	283	  1	top1	0.00017	0.28	-0.179	0.8577
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.EXOC1_1Mwindow.wgt.RDat	EXOC1	4	56219814	57271252	0.0245	rs11133377	-5.07	rs6832769	-0.000484	 -3.67	 1.6150	456	456	blup	0.0048	0.018	-2.034	0.0420
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SCD5_1Mwindow.wgt.RDat	SCD5	4	83050692	84219949	0.0346	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.037	9.7e-10	    NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.GPRIN3_1Mwindow.wgt.RDat	GPRIN3	4	89657534	90728951	0.0260	rs11733183	-3.78	rs6532118	-0.000930	  3.57	-0.5722	446	446	blup	0.0065	0.007	-0.414	0.6792
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.WWC2-AS2_1Mwindow.wgt.RDat	WWC2-AS2	4	183518174	184520352	0.0594	rs1467097	-2.83	rs34691926	-0.000906	  5.45	 0.5190	449	449	blup	0.0019	0.091	-0.965	0.3345
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.G3BP2_1Mwindow.wgt.RDat	G3BP2	4	76067970	77149621	0.0290	rs6534849	-3.11	rs1871114	 0.002365	 -3.95	-1.6170	484	484	blup	0.0094	0.0015	 0.404	0.6864
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TMEM156_1Mwindow.wgt.RDat	TMEM156	4	38468365	39534029	0.0555	rs1962053	 4.12	rs2566104	 0.023077	 -6.15	 0.4304	501	  2	enet	0.029	6.5e-08	-0.390	0.6965
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SMIM31_1Mwindow.wgt.RDat	SMIM31	4	165175283	166224947	0.1536	rs4079693	 2.74	rs4145327	-0.001003	  4.63	 0.1953	425	425	blup	-0.00036	0.42	 1.416	0.1568
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CC2D2A_1Mwindow.wgt.RDat	CC2D2A	4	14971489	16103180	0.0439	rs7435318	 5.96	rs2604547	 0.000110	  3.84	-0.9578	581	581	blup	0.0023	0.073	 0.933	0.3507
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SEPSECS-AS1_1Mwindow.wgt.RDat	SEPSECS-AS1	4	24662294	25700128	0.0287	rs908056	 4.11	rs4459977	 0.001107	 -3.63	-0.0491	524	524	blup	0.0035	0.036	-1.935	0.0530
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PPEF2_1Mwindow.wgt.RDat	PPEF2	4	76281020	77323605	0.0500	rs907446	-3.55	rs10021313	-0.000969	  7.50	 0.7839	474	  1	lasso	0.0074	0.0044	 0.784	0.4331
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.FAM90A26_1Mwindow.wgt.RDat	FAM90A26	4	8672135	9678456	0.0338	rs4696925	-2.13	rs6448858	 0.008774	  2.51	 0.9680	 30	  1	top1	0.0088	0.0021	 0.968	0.3330
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ATP8A1_1Mwindow.wgt.RDat	ATP8A1	4	41910390	43159122	0.0391	rs7675881	 4.01	rs1460347	 0.003246	  4.59	-0.4103	581	  2	enet	0.02	7.5e-06	 0.538	0.5906
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KLHL8_1Mwindow.wgt.RDat	KLHL8	4	87581255	88641770	0.0194	rs13435811	-3.99	rs6531935	-0.000393	  3.25	-1.5997	400	400	blup	0.0037	0.032	-1.664	0.0960
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SPP1_1Mwindow.wgt.RDat	SPP1	4	88396866	89404563	0.0446	rs6821589	 3.44	rs2046134	-0.001031	  5.68	 1.7051	486	486	blup	-0.00098	0.8	-0.428	0.6689
