PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PTGDR_1Mwindow.wgt.RDat	PTGDR	14	52234416	53243442	0.0268	rs17853446	 3.20	rs10129786	 0.026198	-5.15	 0.4627	548	  1	top1	0.026	5.1e-07	-0.4627	0.64360
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TPPP2_1Mwindow.wgt.RDat	TPPP2	14	20998376	22000974	0.1396	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	-0.00024	0.38	     NA	     NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SEL1L_1Mwindow.wgt.RDat	SEL1L	14	81437891	82500197	0.0264	rs12894167	-2.70	rs17111691	 0.000434	 3.81	-1.1909	441	441	blup	0.0026	0.067	 0.3669	0.71372
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PLEK2_1Mwindow.wgt.RDat	PLEK2	14	67353701	68378882	0.0280	rs1315730	 2.79	rs9788517	-0.001035	 5.09	 0.0137	342	  1	lasso	-0.00098	0.75	 0.0137	0.98910
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TRAV24_1Mwindow.wgt.RDat	TRAV24	14	22073620	23074123	0.0478	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0043	0.026	     NA	     NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ASB2_1Mwindow.wgt.RDat	ASB2	14	93900512	94942916	0.0645	rs17129285	 3.48	rs17129110	 0.000675	 3.70	-0.0345	610	610	blup	0.00093	0.17	 0.3949	0.69292
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SLC25A29_1Mwindow.wgt.RDat	SLC25A29	14	100257453	101272781	0.0579	rs8012782	 3.29	rs1059264	 0.055754	 7.34	-0.4185	405	  1	top1	0.056	2.8e-13	-0.4185	0.67560
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GALNT16_1Mwindow.wgt.RDat	GALNT16	14	69226875	70323759	0.2087	rs10873217	 2.75	rs8008869	-0.001043	 5.80	 1.9570	488	  1	top1	-0.001	0.83	 1.9570	0.05035
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PRORP_1Mwindow.wgt.RDat	PRORP	14	35091758	36246828	0.0225	rs8904	 3.35	rs712306	 0.017706	 4.75	-1.6798	408	  1	top1	0.018	3.2e-05	-1.6798	0.09300
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TRAV12-3_1Mwindow.wgt.RDat	TRAV12-3	14	21933736	22934290	0.0811	rs17183103	 2.91	rs1041857	-0.000961	 4.05	 2.6773	644	  1	top1	-0.00096	0.73	 2.6773	0.00742
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.IGHV3-30_1Mwindow.wgt.RDat	IGHV3-30	14	106291003	107291456	0.1966	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	-0.00084	0.63	     NA	     NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LINC00239_1Mwindow.wgt.RDat	LINC00239	14	101696774	102698862	0.0334	rs2152372	 2.73	rs11624822	-0.000622	 4.13	-1.9150	358	358	blup	0.0038	0.035	-2.5145	0.01192
