PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.INPP5K_1Mwindow.wgt.RDat	INPP5K	17	897871	1919906	0.0300	rs7222425	 4.41	rs16946807	-1.02e-03	-3.97	 1.0617	394	394	blup	0.0081	0.0029	-0.589	5.56e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NUFIP2_1Mwindow.wgt.RDat	NUFIP2	17	27082857	28121166	0.0251	rs2289629	-3.55	rs4795480	 1.15e-03	-3.34	-0.6052	333	  3	enet	0.0046	0.02	-0.551	5.82e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.P2RX5_1Mwindow.wgt.RDat	P2RX5	17	3076521	4099449	0.0248	rs10521125	 3.43	rs224503	 5.07e-04	 4.04	 0.7875	469	469	blup	0.0031	0.047	 2.040	4.14e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ITGB3_1Mwindow.wgt.RDat	ITGB3	17	44831193	45891109	0.0317	rs199529	 6.56	rs10775405	-6.36e-04	 3.56	-1.0882	359	  1	lasso	0.0018	0.1	-1.088	2.77e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SCRN2_1Mwindow.wgt.RDat	SCRN2	17	45415058	46418639	0.0393	rs3809868	-4.86	rs2074185	 3.11e-02	-5.77	 2.8980	387	  1	top1	0.031	2.1e-08	-2.898	3.76e-03
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NME2_1Mwindow.wgt.RDat	NME2	17	48742897	49749105	0.0403	rs17585461	14.77	rs12946936	 1.66e-02	 4.55	-2.3395	420	420	blup	0.019	9e-06	-1.737	8.25e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ELP5_1Mwindow.wgt.RDat	ELP5	17	6655043	7663259	0.0552	rs9902027	 4.72	rs222835	 4.03e-02	 6.40	-0.1532	447	  1	top1	0.04	1.9e-10	-0.153	8.78e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MARCHF10-DT_1Mwindow.wgt.RDat	MARCHF10-DT	17	60385863	61413732	0.0134	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.044	3e-11	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ZBTB4_1Mwindow.wgt.RDat	ZBTB4	17	6862697	7887568	0.0409	rs10852892	 6.33	rs1565816	 4.49e-03	 3.51	 3.6677	454	  1	lasso	0.006	0.009	 3.668	2.45e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.EIF5A_1Mwindow.wgt.RDat	EIF5A	17	6710318	7715782	0.1750	rs9902027	 4.72	rs4796398	 1.63e-01	12.56	 0.4860	427	  1	top1	0.16	2.3e-39	 0.486	6.27e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ORMDL3_1Mwindow.wgt.RDat	ORMDL3	17	37577294	38583854	0.0397	rs903507	-3.21	rs9303281	 3.16e-02	 6.76	 1.8363	261	  1	top1	0.032	1.7e-08	 1.836	6.63e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RDM1_1Mwindow.wgt.RDat	RDM1	17	33745084	34757777	0.0580	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.032	1.3e-08	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SP2-DT_1Mwindow.wgt.RDat	SP2-DT	17	45468595	46473182	0.0288	rs3809868	-4.86	rs882163	 8.29e-03	-4.20	 2.3290	382	382	blup	0.012	0.00034	-1.677	9.36e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ARL17B_1Mwindow.wgt.RDat	ARL17B	17	43851550	44939153	0.0602	rs17689882	 7.33	rs169201	 6.78e-03	 4.50	 6.8798	 81	 81	blup	0.016	5e-05	 6.407	1.49e-10
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.EVI2A_1Mwindow.wgt.RDat	EVI2A	17	29143428	30148640	0.0361	rs770521	 4.18	rs2525563	 1.45e-02	-5.44	-1.3309	325	325	blup	0.026	3.7e-07	 0.885	3.76e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NME1_1Mwindow.wgt.RDat	NME1	17	48730920	49739529	0.0206	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0034	0.039	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.KANSL1-AS1_1Mwindow.wgt.RDat	KANSL1-AS1	17	43770939	44774089	0.0420	rs17689882	 7.33	rs17689471	 2.04e-02	 4.14	 7.2724	 28	  1	top1	0.02	5e-06	 7.272	3.53e-13
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NTN1_1Mwindow.wgt.RDat	NTN1	17	8424827	9647317	0.0523	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0069	0.0056	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LGALS9_1Mwindow.wgt.RDat	LGALS9	17	25458214	26476586	0.0182	rs1600326	 4.19	rs4239242	 5.71e-03	-4.31	-0.2463	299	  4	enet	0.006	0.0094	-0.668	5.04e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TACO1_1Mwindow.wgt.RDat	TACO1	17	61178254	62185725	0.0184	rs4362	-4.15	rs2854218	 2.01e-03	 3.54	-0.6577	255	255	blup	0.0091	0.0018	 0.946	3.44e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.C17orf97_1Mwindow.wgt.RDat	C17orf97	17	0	764457	0.0371	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.017	3.6e-05	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RFLNB_1Mwindow.wgt.RDat	RFLNB	17	0	795731	0.0264	rs7224163	-4.11	rs7207469	 1.93e-02	 4.07	 0.8918	303	  1	top1	0.019	9e-06	 0.892	3.73e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.GPRC5C_1Mwindow.wgt.RDat	GPRC5C	17	71928227	72947797	0.0389	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.018	1.7e-05	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NEK8_1Mwindow.wgt.RDat	NEK8	17	26555806	27570473	0.0228	rs7207327	 2.94	rs7221773	 1.96e-02	-4.79	-0.5371	305	  2	enet	0.025	5.3e-07	 0.534	5.94e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CD79B_1Mwindow.wgt.RDat	CD79B	17	61506100	62509691	0.0911	rs4362	-4.15	rs8080651	-5.00e-04	-4.05	 1.6789	311	311	blup	6.2e-05	0.3	-0.102	9.19e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.JUP_1Mwindow.wgt.RDat	JUP	17	39410861	40442963	0.0628	rs2239710	-3.13	rs7216034	 2.54e-02	 5.60	-0.6119	376	  3	enet	0.035	3.1e-09	-0.686	4.93e-01
