PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MAJIN_1Mwindow.wgt.RDat	MAJIN	11	64205702	65239580	0.1859	rs1621277	-10.19	rs607969	 0.013870	  6.61	 -1.9708	339	  1	lasso	0.059	1.2e-14	 -1.971	 4.87e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SLC22A18_1Mwindow.wgt.RDat	SLC22A18	11	2420921	3446476	0.0369	rs463924	 -6.61	rs450208	 0.007735	  4.24	  5.6822	468	  1	top1	0.0077	0.0036	  5.682	 1.33e-08
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.IFITM2_1Mwindow.wgt.RDat	IFITM2	11	0	809395	0.2045	rs11602954	 42.36	rs10398	 0.090984	  7.66	 -5.7453	302	  3	enet	0.11	1.7e-26	 -2.674	 7.49e-03
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.HBG2_1Mwindow.wgt.RDat	HBG2	11	4774418	5776011	0.0394	rs11601507	-11.03	rs1498555	-0.000681	  3.55	 -3.7131	920	920	blup	0.0012	0.14	 -0.986	 3.24e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NUCB2_1Mwindow.wgt.RDat	NUCB2	11	16798286	17853758	0.1173	rs7123301	  7.44	rs214092	 0.136133	 11.58	  6.0865	560	  1	lasso	0.14	5.8e-34	  6.087	 1.15e-09
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FOLR2_1Mwindow.wgt.RDat	FOLR2	11	71427838	72432994	0.0344	NA	    NA	NA	       NA	    NA	      NA	  0	  0	enet	0.00037	0.24	     NA	       NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.P4HA3_1Mwindow.wgt.RDat	P4HA3	11	73477702	74522685	0.0610	rs7939907	 -5.85	rs4944036	 0.060700	  8.24	 -0.3847	433	  1	top1	0.061	4.5e-15	 -0.385	 7.00e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PPFIBP2_1Mwindow.wgt.RDat	PPFIBP2	11	7035230	8179372	0.0560	rs973108	  3.35	rs11601436	 0.042506	  4.46	 -0.0179	716	  5	enet	0.05	1.5e-12	  2.126	 3.35e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TSPAN32_1Mwindow.wgt.RDat	TSPAN32	11	1823243	2839434	0.0651	rs463924	 -6.61	rs11022157	 0.025281	 -5.66	  1.8127	454	  2	lasso	0.029	5e-08	  0.413	 6.80e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SIGIRR_1Mwindow.wgt.RDat	SIGIRR	11	0	917397	0.0442	rs11602954	 42.36	rs7123948	-0.001035	 -3.51	  0.7499	352	352	blup	0.0013	0.13	  4.452	 8.50e-06
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TNNT3_1Mwindow.wgt.RDat	TNNT3	11	1440933	2459932	0.0344	rs10734456	 -3.96	rs10839203	-0.000379	 -3.59	 -1.0343	452	  2	enet	0.0076	0.0039	  0.284	 7.76e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC02696_1Mwindow.wgt.RDat	LINC02696	11	44876922	45878208	0.0514	rs11038356	  3.58	rs11601710	 0.033384	  6.07	 -1.0399	493	  2	enet	0.043	3.4e-11	 -1.061	 2.89e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DKK3_1Mwindow.wgt.RDat	DKK3	11	11484583	12530883	0.0342	rs16910152	 -4.48	rs10741564	-0.000957	 -4.13	  1.3850	783	783	blup	0.0078	0.0035	 -0.391	 6.96e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ATM_1Mwindow.wgt.RDat	ATM	11	107593794	108739829	0.0289	rs10431061	 11.17	rs4623864	 0.009274	  4.60	-10.5682	363	363	blup	0.016	5.7e-05	 -9.227	 2.79e-20
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.IFITM1_1Mwindow.wgt.RDat	IFITM1	11	0	815272	0.0667	rs11602954	 42.36	rs11246108	 0.039855	  6.33	 -2.3343	306	  1	top1	0.04	2.2e-10	 -2.334	 1.96e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FAT3_1Mwindow.wgt.RDat	FAT3	11	91457984	93129639	0.0636	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.013	0.00027	     NA	       NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.HSPA8_1Mwindow.wgt.RDat	HSPA8	11	122428197	123432844	0.0462	NA	    NA	NA	       NA	    NA	      NA	  0	  0	enet	0.012	0.00034	     NA	       NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RIC3_1Mwindow.wgt.RDat	RIC3	11	7614512	8690572	0.0331	rs7114477	 -4.10	rs7127684	-0.000699	  3.61	  0.2513	638	638	blup	0.0027	0.056	 -1.541	 1.23e-01
