PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPS23_1Mwindow.wgt.RDat	RPS23	5	81069139	82074173	0.0256	rs1476741	-3.04	rs6867982	 0.011898	 -5.00	 1.0316	427	  1	lasso	0.013	0.00027	 -1.0316	 3.02e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.P4HA2_1Mwindow.wgt.RDat	P4HA2	5	131025840	132063546	0.0400	rs2706381	-6.68	rs2074808	 0.008921	  3.69	 0.8306	411	  1	top1	0.0089	0.0019	  0.8306	 4.06e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02150_1Mwindow.wgt.RDat	LINC02150	5	15873470	16941211	0.7408	rs256881	 3.62	rs12187846	-0.001019	  8.84	 0.4918	484	  8	lasso	-0.00036	0.42	 -0.1587	 8.74e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02197_1Mwindow.wgt.RDat	LINC02197	5	70116858	71242583	0.0180	rs2037202	 3.01	rs986217	 0.030844	  3.50	-0.3770	221	  1	top1	0.031	2.3e-08	 -0.3770	 7.06e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.POC5_1Mwindow.wgt.RDat	POC5	5	74469949	75513262	0.0215	rs12916	30.17	rs2047059	 0.000814	  3.68	14.5674	392	392	blup	0.005	0.016	  2.8188	 4.82e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPWD1_1Mwindow.wgt.RDat	PPWD1	5	64359123	65383376	0.0165	rs16894435	 2.46	rs33396	 0.006950	  5.03	 1.5365	407	407	blup	0.01	0.00091	  1.0174	 3.09e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MSH3_1Mwindow.wgt.RDat	MSH3	5	79450471	80672634	0.0384	rs259028	-4.47	rs12513549	-0.000919	  4.24	 0.5976	586	586	blup	0.0098	0.0012	  2.0671	 3.87e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SETD9_1Mwindow.wgt.RDat	SETD9	5	55705087	56724727	0.0472	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.045	1.4e-11	      NA	       NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.S100Z_1Mwindow.wgt.RDat	S100Z	5	75645839	76717475	0.0346	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.0018	0.099	      NA	       NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CAMK4_1Mwindow.wgt.RDat	CAMK4	5	110059281	111330584	0.0522	rs6873138	 2.39	rs3797755	 0.010528	 -5.12	-0.3627	506	506	blup	0.018	1.8e-05	  0.2795	 7.80e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SKP1_1Mwindow.wgt.RDat	SKP1	5	132984626	134012641	0.0358	rs13178130	-3.31	rs40273	 0.010166	 -5.19	 0.2474	462	  1	top1	0.01	0.00098	 -0.2474	 8.05e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RETREG1_1Mwindow.wgt.RDat	RETREG1	5	15973162	17117106	0.0406	rs256881	 3.62	rs257174	 0.039055	 -6.33	-2.2527	504	  1	top1	0.039	3.3e-10	  2.2527	 2.43e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GNPDA1_1Mwindow.wgt.RDat	GNPDA1	5	140880236	141892592	0.0303	rs11167778	 4.85	rs252111	 0.010708	 -3.63	-1.8275	543	543	blup	0.012	0.00045	 -0.2529	 8.00e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANKRD55_1Mwindow.wgt.RDat	ANKRD55	5	54895507	56029157	0.0825	rs3843467	 6.50	rs10065637	 0.103803	 -6.46	 0.2204	541	  1	top1	0.1	4.9e-25	 -0.2204	 8.26e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.IL31RA_1Mwindow.wgt.RDat	IL31RA	5	54647185	55718678	0.0341	rs2897834	 3.56	rs6450361	-0.000987	  4.03	 0.5197	395	395	blup	0.00029	0.26	 -0.6779	 4.98e-01
