PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CFAP97D2_1Mwindow.wgt.RDat	CFAP97D2	13	114444732	115488560	0.0508	rs7317882	 4.38	rs9590467	 0.057035	 7.01	-3.990	217	  1	top1	0.057	5.4e-14	-3.9896	6.62e-05
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.COMMD6_1Mwindow.wgt.RDat	COMMD6	13	75599350	76623575	0.0447	rs583368	-3.45	rs4885302	 0.030459	-6.13	-0.553	545	  1	top1	0.03	3.7e-08	 0.5528	5.80e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.TRIM13_1Mwindow.wgt.RDat	TRIM13	13	50071178	51092603	0.0371	rs9562960	 4.22	rs9316498	 0.002290	 4.28	 2.249	411	411	blup	0.013	0.00022	 1.2002	2.30e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.DNAJC15_1Mwindow.wgt.RDat	DNAJC15	13	43097722	44188349	0.0361	rs2147366	-2.97	rs17553284	 0.038057	-6.53	 1.145	624	  1	top1	0.038	8.2e-10	-1.1449	2.52e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.EBPL_1Mwindow.wgt.RDat	EBPL	13	49734810	50765623	0.0641	rs2057414	-4.37	rs3809325	 0.014470	 5.84	-2.475	401	401	blup	0.038	7.7e-10	-0.9979	3.18e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GJB6_1Mwindow.wgt.RDat	GJB6	13	20296101	21306458	0.0540	rs1323946	 3.67	rs9552200	 0.021688	 5.91	-0.320	424	  1	top1	0.022	3.1e-06	-0.3198	7.49e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CCDC122_1Mwindow.wgt.RDat	CCDC122	13	43910488	44953876	0.0594	rs1330100	-3.45	rs12866387	 0.004798	-4.73	 0.262	541	541	blup	0.0092	0.0018	 0.0565	9.55e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ELF1_1Mwindow.wgt.RDat	ELF1	13	41006055	42135522	0.0232	rs17532413	-5.65	rs12865518	 0.000371	-3.55	 2.825	367	367	blup	0.0053	0.014	-3.5031	4.60e-04
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.LINC00330_1Mwindow.wgt.RDat	LINC00330	13	44873640	45883766	0.0490	rs17066209	-3.59	rs9533925	-0.000610	 4.33	 0.101	361	361	blup	0.004	0.029	 0.1841	8.54e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CDK8_1Mwindow.wgt.RDat	CDK8	13	26328266	27479375	0.0689	rs9507713	 4.41	rs9670785	 0.000108	-3.75	 0.629	572	572	blup	0.033	1.1e-08	-0.9610	3.37e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.EPSTI1_1Mwindow.wgt.RDat	EPSTI1	13	42960524	44066377	0.0445	rs2147366	-2.97	rs3825511	 0.026318	 4.93	-0.457	626	  1	top1	0.026	3e-07	-0.4569	6.48e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SOX1-OT_1Mwindow.wgt.RDat	SOX1-OT	13	112126624	113262329	0.0349	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	-0.00041	0.44	     NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.EEF1AKMT1_1Mwindow.wgt.RDat	EEF1AKMT1	13	20802870	21848100	0.0301	rs3858744	 3.74	rs4111077	-0.000438	 3.51	-2.793	484	484	blup	0.012	0.00041	-0.6081	5.43e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GAS6-AS1_1Mwindow.wgt.RDat	GAS6-AS1	13	114018583	115045814	0.1054	rs7317882	 4.38	rs7996145	 0.052489	 7.43	 1.214	341	  3	enet	0.057	6.3e-14	 1.3422	1.80e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ALOX5AP_1Mwindow.wgt.RDat	ALOX5AP	13	30787622	31838563	0.0636	rs4603405	 4.31	rs4075131	 0.036227	-5.66	 1.255	538	  1	top1	0.036	2.1e-09	-1.2549	2.10e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CBY2_1Mwindow.wgt.RDat	CBY2	13	45776455	46788694	0.0998	rs12585700	 3.23	rs17066627	-0.001046	 5.09	-1.218	492	  1	lasso	0.17	3.1e-39	-0.4162	6.77e-01
